se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.60523218,.60123271,.61595899,.60106784,.58494002,.58272886,.59940273,.58441025,.58201492,.57292944,.58240795,.57758462,.57089734,.57720262,.56897169,.56117254,.56571531,.56248403,.56925887,.52182728,.54371691,.54455429,.56902653,.5114975
.59292692,.58924019,.58699137,.58044571,.58006775,.58231723,.59000391,.57188439,.56425637,.57201636,.57298297,.56423008,.5715782,.55204892,.55868471,.55744797,.54772747,.56856477,.53951925,.53521681,.51687133,.53987426,.50080925,.53432328
.68440968,.68144453,.68101156,.67372453,.6728037,.66887558,.66175908,.66315138,.65601653,.65449631,.66064942,.65269315,.64485478,.64039302,.64120692,.63164407,.63264197,.62555033,.6165188,.62785447,.62188435,.62164062,.60236216,.61350513
.58671969,.58697844,.57882273,.58339316,.58133423,.56750089,.57524955,.57289976,.56081796,.55269861,.54725361,.54281777,.55544001,.53715158,.55333441,.54703969,.54096138,.53779763,.54352826,.53427178,.50780934,.53233141,.53784436,.51679116
.62089646,.61920017,.61001378,.60295182,.60627246,.60044664,.60896623,.59503645,.59121698,.59970319,.60063642,.59330493,.57843781,.58570743,.58218056,.56225073,.56349915,.57454842,.58003175,.56270379,.55623031,.55359155,.56189758,.54040468
.58408362,.58367646,.57723302,.5808509,.56957686,.56404239,.5685249,.56516707,.55231196,.56353217,.56447405,.53936017,.55824506,.55687493,.54433674,.53076839,.53620183,.51980972,.53011388,.51276296,.53608191,.53529978,.52714628,.51157188
.59339541,.58926773,.59071553,.57895005,.58055067,.57326627,.5662514,.57427901,.56596762,.57054967,.59466487,.55367303,.55884922,.55414629,.56427848,.57156241,.56393689,.56205255,.55275917,.54904997,.5443421,.5205276,.52786881,.51035124
.66809475,.66336733,.67307317,.64879501,.65656173,.66805083,.64367324,.64273268,.6602065,.63825697,.64065838,.62936538,.64333701,.6248346,.6115011,.61858964,.60567778,.60652232,.58848089,.60863781,.59662908,.62664241,.6098395,.58856732
.56182051,.56045526,.55766571,.55848044,.53976005,.54376382,.54200393,.53978014,.53671861,.54466444,.53571165,.52611214,.52849054,.51534855,.50941229,.52346504,.52983415,.52753842,.49184433,.49742469,.52883822,.50494909,.50687808,.50161707
.59265381,.59029335,.58204937,.58818972,.58004928,.57246912,.57396299,.57709992,.58619958,.5667119,.56804156,.55826241,.5576269,.55962598,.56149077,.55565888,.55492097,.53819704,.55737877,.52999133,.5447163,.5321303,.53632408,.52353799
.59605575,.59187567,.59297609,.5838151,.57002246,.57871085,.56701016,.56865048,.57145911,.57022345,.56718135,.56751031,.57881427,.54034966,.56116652,.54309934,.5634287,.54071325,.54540145,.5478524,.53559101,.5415768,.52885586,.53822917
.54073942,.5391587,.53615183,.53884625,.53886855,.53468359,.509197,.52171659,.54715914,.51828086,.52172202,.51215476,.5063377,.52513707,.48828307,.51500434,.49815622,.4954336,.50710428,.46139047,.50178564,.49669042,.48233965,.50874978
.63705719,.64224827,.62662423,.62760848,.62633598,.61518312,.61157125,.61959827,.60539091,.61560392,.59404343,.57955414,.60066807,.58591032,.58224511,.60380232,.58072084,.58591866,.61551636,.56227469,.57032675,.58991265,.5615021,.57295966
.66883969,.66458088,.65957838,.65793329,.65517652,.65801817,.65461975,.64698249,.63878876,.63961327,.63961631,.64070511,.62911898,.62438059,.61916953,.61059928,.62729967,.61994994,.61611354,.61358517,.60111111,.61227757,.61781758,.59920317
.52670491,.52540988,.52259743,.51841575,.52109611,.51171142,.51072317,.50028068,.51120496,.50917286,.50147164,.49303907,.49093005,.49951503,.50917184,.47107586,.49108157,.48605582,.47178,.48269752,.45725691,.46248439,.47709885,.47581124
