se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.98530859,.9779368,.97433704,.97007293,.96027315,.96238059,.96287459,.93293083,.94952279,.95115751,.94107896,.93465447,.91506636,.92923445,.91210502,.92497945,.91400158,.90750837,.90711498,.91403079,.90149444,.87929422,.86569875,.86774999
1.0973005,1.0909514,1.0902579,1.0791616,1.0773957,1.06954,1.0674137,1.0593247,1.0515751,1.047393,1.0406249,1.0322632,1.0242904,1.0028747,1.032599,1.0077273,.98467559,.97926098,.99334103,.99593031,.98918104,.98271108,.9771741,.9929359
2.0057175,1.9958953,1.9866145,1.9749178,1.9681768,1.9579072,1.9479219,1.9355354,1.9236965,1.9182186,1.9034868,1.8937689,1.8878782,1.8748709,1.8607354,1.8616183,1.8492346,1.8316336,1.8249073,1.8153274,1.8039874,1.7868036,1.7877197,1.7769935
1.1139115,1.1098063,1.1005582,1.0953119,1.0969197,1.0850173,1.0808103,1.0700936,1.078084,1.0710738,1.0640122,1.0670278,1.0439556,1.0628757,1.0272971,1.0385388,1.0257725,1.0250196,1.0263658,.99421036,1.0277761,.98409563,1.0058694,.99139255
1.1205527,1.1139314,1.1085818,1.106167,1.0992395,1.095855,1.0874939,1.0848707,1.0805855,1.0691804,1.0654863,1.0609683,1.0510955,1.0481322,1.0425584,1.0361185,1.0277569,1.0333172,1.0136585,1.0173659,1.0169857,.99331009,1.0120236,.98695952
1.0166593,1.0151193,1.0035751,.99764675,.9937855,.98989588,.98270369,.9803524,.96977824,.97425634,.95757556,.95604408,.95490277,.94346052,.94746417,.95102692,.92155594,.930507,.92208302,.92815691,.94011188,.89660269,.9002282,.89752752
.9955169,.9944557,.98317033,.98376989,.97192597,.9695766,.96776444,.95894539,.96593273,.94912028,.94793224,.93170428,.9343906,.93169951,.9367134,.91714686,.91559857,.92549634,.89781445,.92033929,.8834483,.89520591,.88083541,.87988454
.98922616,.98074341,.98215485,.97008002,.97504371,.96845275,.95937866,.96048671,.95259446,.92501009,.92898673,.92407829,.95794088,.91734779,.94438398,.9150877,.90844864,.8881163,.89515251,.92502666,.91135901,.86879474,.88622874,.88306677
.95280129,.9519015,.94505906,.93741232,.93036813,.92227167,.92509836,.91653794,.92268372,.91408592,.8993929,.90680289,.89479601,.88933611,.89204532,.89372563,.86756891,.88036114,.86827272,.85727322,.87565857,.83088958,.85160232,.85461396
.67820853,.67447877,.66852146,.67149615,.65975547,.67942661,.65223616,.66053104,.65265864,.64848804,.66600978,.64549631,.65385896,.62634206,.64576483,.62535155,.62350386,.61750937,.63597786,.62646431,.61920851,.58124936,.60934091,.60076541
1.1193062,1.1152936,1.1095804,1.0973645,1.0892984,1.0925272,1.0841429,1.0873466,1.0705128,1.0622386,1.0659859,1.07002,1.0571853,1.0645758,1.0568094,1.0460639,1.0346771,1.0193553,1.0010335,1.0073097,.99199617,1.013588,.9933362,.99142843
1.1248896,1.1208667,1.1133122,1.110788,1.106528,1.1063013,1.085644,1.0855088,1.0854175,1.0783166,1.0712702,1.0600168,1.0590798,1.0586423,1.0517879,1.0460466,1.0398042,1.0300095,1.0237033,1.0159715,1.0189129,1.0069262,1.0036327,.99960423
1.1345291,1.1367646,1.1231235,1.115062,1.1159176,1.1135705,1.112661,1.0841035,1.0961514,1.0878665,1.0898744,1.0706805,1.0611743,1.0441597,1.0515788,1.0583509,1.0401568,1.0525825,1.0229594,1.0435992,1.0305771,.99331176,1.0138139,1.0079826
.94423389,.93894207,.93450242,.92298245,.92869538,.91746831,.92742467,.91865563,.91458654,.90999895,.90300471,.88631129,.88275713,.88032091,.89511758,.87746161,.88634908,.87139881,.85825247,.83754581,.8501308,.82875425,.84361261,.84280568
1.1732656,1.1700398,1.1619532,1.1609669,1.1495908,1.150133,1.1386147,1.1421881,1.1182969,1.119646,1.1167476,1.1091021,1.1098444,1.0983391,1.0919399,1.0889075,1.087015,1.0825388,1.0684043,1.0544928,1.0510844,1.0374012,1.0520103,1.043367
1.0096902,1.00282,1.0056839,.99017137,.9899413,.97697604,.96373683,.97430944,.96208578,.95700288,.96516269,.98212069,.93526852,.93134826,.94162124,.91601366,.91406816,.93394905,.92256677,.91400409,.92414814,.92008114,.91735393,.88393396
1.0031391,1.0008727,.99423349,.98307979,.98498327,.98098618,.9734028,.97177941,.96539497,.96312547,.95988935,.94256264,.94657618,.94009715,.92752904,.92869198,.92311597,.90363288,.90163511,.90484643,.89854652,.87718803,.88794202,.89030468
1.3518056,1.344308,1.3346469,1.3311267,1.3266095,1.3137289,1.3170203,1.3111029,1.3046163,1.2875896,1.2697613,1.2755326,1.2759883,1.2667719,1.2578709,1.2467283,1.2455915,1.250263,1.2329437,1.2330589,1.2057801,1.2081094,1.1942271,1.2047716
.72407407,.72660947,.70380104,.7076143,.70568681,.69678503,.69606459,.69204956,.7054345,.6930213,.6986503,.67662728,.65635222,.68547988,.67596668,.6582644,.66389495,.68815809,.68402982,.65042192,.64959437,.64719701,.65295762,.66900122
1.3829355,1.3746634,1.3652518,1.3551714,1.3573226,1.3433384,1.3350279,1.3355047,1.3295184,1.3338788,1.3171644,1.2914474,1.2991593,1.2989477,1.2947419,1.2694712,1.2826315,1.2671995,1.2509872,1.2470684,1.2329811,1.2369225,1.2381619,1.2355069
.88685483,.88299286,.87311077,.86893398,.86783063,.85990608,.87339962,.85126156,.84639025,.82842809,.83215827,.83681977,.83083397,.8545894,.82796973,.83025783,.81923121,.81906193,.82056522,.80593085,.80784357,.78604704,.7703824,.77602524
.818681,.81193256,.8110947,.81452596,.79538131,.79482698,.78782791,.80248195,.7783094,.78211176,.77706605,.7735824,.75934291,.75345868,.7658242,.75875622,.74029553,.73727506,.7508024,.7339927,.73848951,.70964426,.72063124,.71420771
1.2247964,1.2163904,1.2181379,1.2016613,1.2019148,1.197571,1.1906592,1.18681,1.1687268,1.1741707,1.157027,1.1569037,1.1538302,1.1457224,1.143504,1.1490935,1.1315962,1.1169244,1.1167479,1.1106387,1.1234492,1.1095901,1.124182,1.0923327
.75518638,.7561233,.7502346,.74718994,.73565727,.73514497,.73827726,.72764146,.72636795,.73739535,.73077953,.74503773,.71177495,.73408151,.70030516,.72962338,.71807635,.69626522,.68494123,.70812374,.69857717,.67467713,.6819911,.69267589
.89638561,.89563733,.89284045,.88293707,.89080918,.87077123,.87429804,.85968465,.85667664,.84202021,.85797369,.84984118,.82958257,.84583455,.83735567,.83046186,.82710922,.81974322,.82872266,.81816953,.79395342,.81938106,.79937983,.79364628
1.0818882,1.0770546,1.0688963,1.0705861,1.0623752,1.056375,1.0430588,1.0551552,1.0354469,1.0401727,1.0263153,1.0214533,1.0198616,1.0197573,1.0068059,.9921273,.99968594,.99669302,1.000173,.99431145,.97778964,.96085393,.94999933,.96784985
.95822209,.95298767,.94337225,.9384656,.9376362,.93144053,.93313348,.91524649,.91659343,.90139717,.91590577,.90380579,.91159767,.89461714,.89668518,.88370848,.8848213,.87047833,.87599236,.8933847,.85096365,.86292696,.85565144,.86932981
1.0940759,1.0899985,1.0799088,1.0683725,1.077574,1.0697021,1.0607673,1.0571942,1.0539526,1.0437118,1.0389893,1.0404278,1.0328546,1.0271889,1.0362934,1.0135494,1.0144458,.99419045,.99167621,.97323388,.99356061,.97642958,.95310181,.97567004
.84408599,.8375082,.83644217,.8323456,.82019871,.8204428,.81422311,.82399982,.80638146,.79611677,.80780715,.80545038,.78990901,.7853719,.78417957,.78842074,.76500416,.77554655,.77890712,.78865123,.76603913,.73524731,.74754006,.74637175
.89860481,.89311838,.89316207,.88518494,.87845761,.87593269,.88472998,.8629725,.84880137,.86525953,.84942591,.84223884,.84792417,.86340171,.83571857,.82853121,.83308023,.816302,.81059396,.82765311,.82596803,.79337949,.81001055,.81756252
