se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0037435,1.0005648,.99672973,.99201661,.98596597,.97911096,.99026698,.97293854,.97217125,.96220505,.94135791,.98148119,.93598312,.95034242,.92501694,.9169662,.92547977,.94371587,.92927176,.92443681,.90637183,.90024245,.90179789,.91074002
1.4941068,1.4887897,1.4767606,1.467245,1.4546235,1.4487644,1.448631,1.4428841,1.4152963,1.4213593,1.4106011,1.3872882,1.394178,1.3970085,1.37325,1.3716998,1.3666854,1.3658878,1.3436881,1.3596808,1.3198245,1.3165395,1.3057483,1.3070794
1.9415679,1.9323111,1.919624,1.9112383,1.9044894,1.900093,1.8816701,1.8787042,1.8655915,1.8553045,1.8393749,1.8405193,1.8256005,1.809338,1.7921246,1.7932019,1.7802504,1.7727027,1.7699015,1.7579875,1.7494824,1.7311766,1.7264429,1.7120469
1.4721043,1.4638116,1.4583374,1.4410664,1.4346402,1.4329844,1.4278834,1.4102054,1.4259642,1.4070923,1.3897718,1.4029468,1.3779382,1.3642313,1.3538326,1.3518511,1.3519977,1.3650156,1.348874,1.3269598,1.3121108,1.3165555,1.2959615,1.307225
.94714606,.94388038,.93410933,.93533069,.92717528,.92259312,.92468452,.90624022,.91283125,.909105,.87335598,.88903892,.88633227,.86752445,.91190815,.87160516,.88074684,.8608222,.85536873,.84272993,.8504957,.82671845,.84310758,.82987797
1.0617642,1.0583763,1.0435587,1.0406116,1.0389022,1.0306828,1.0411836,1.0242879,1.0155042,1.0206716,1.005955,1.0034518,.9973188,.99116045,.98474246,.9858923,.96731567,.9648748,.93782198,.9346025,.9455297,.93954849,.93177003,.9356066
.92988026,.93001032,.91572881,.91486818,.90502834,.91289604,.90075701,.9006502,.89069307,.89403003,.88592452,.87072563,.85670751,.8477686,.85953796,.83586138,.84087032,.83166492,.81072122,.83392507,.84882164,.81501245,.80591083,.82294023
1.1433831,1.1296434,1.1371351,1.1364758,1.1344625,1.1186515,1.0930341,1.0911206,1.0762088,1.1003289,1.0545548,1.0834514,1.0633485,1.0616124,1.0747498,1.0114163,1.0390811,.99680942,1.0185924,1.0475489,1.039107,.98939949,1.0477458,.97854328
1.2078539,1.2035433,1.200424,1.1852295,1.1901015,1.1778215,1.1584973,1.1579887,1.1563592,1.1415428,1.1473211,1.1236289,1.1244777,1.126996,1.1142222,1.1296102,1.1116956,1.1040351,1.0989615,1.0921526,1.0767221,1.0879998,1.0701375,1.0624834
1.0631875,1.0580567,1.0490102,1.0349933,1.0381066,1.0466247,1.020654,1.019042,1.0093676,1.0351887,1.0166732,1.0148865,.99311191,1.0037444,.98257309,.96839881,.97123051,.99143708,.94602942,.96823078,.95837379,.94251859,.95290977,.91892159
1.2279687,1.2251248,1.2076167,1.2134819,1.1972921,1.2058234,1.1881747,1.1970357,1.1701492,1.1573106,1.1766679,1.168925,1.1540856,1.1521547,1.1349863,1.1073989,1.1150211,1.1153159,1.1216025,1.1280875,1.0946997,1.0968239,1.0982945,1.0840164
2.0833368,2.0736756,2.0609183,2.0556905,2.0450211,2.0290565,2.0170927,2.0087132,1.9977279,1.9944018,1.9842237,1.9702758,1.9566715,1.948882,1.9382049,1.9388269,1.9100199,1.894538,1.8992188,1.8783001,1.8820368,1.8727338,1.8624058,1.8367704
1.0362111,1.0355968,1.0319269,1.0245819,1.0114837,1.026073,1.013777,.99810112,1.0020401,.98866665,.97225565,.95919454,.9756965,.96042985,.96137142,.96455586,.9524141,.94710469,.93475944,.96880764,.93279916,.92271149,.87794328,.90987617
1.2677577,1.2600931,1.25313,1.2437098,1.2446994,1.2327586,1.2398394,1.2305478,1.2175363,1.2191802,1.2043394,1.1913929,1.1878258,1.1688573,1.1794056,1.1733779,1.1518312,1.1847281,1.1462102,1.1471394,1.1324793,1.1296587,1.1277325,1.128859
.98115772,.97743803,.97255999,.95397264,.96058422,.96026099,.93574357,.96292031,.94169372,.9309746,.93151557,.91034907,.8962822,.90637726,.92265666,.91182911,.88230437,.86887467,.85474402,.87564278,.86806196,.84882939,.8684721,.8611781
1.1542001,1.1479173,1.1430285,1.1332018,1.1349348,1.1212798,1.1152335,1.0920029,1.0994362,1.0836242,1.0878466,1.1084946,1.0800668,1.0621165,1.0584419,1.0649558,1.0758029,1.0416914,1.0610659,1.0529858,1.035206,1.0022686,1.003765,1.0256814
1.2254111,1.2238764,1.2109538,1.2022655,1.1989759,1.1879026,1.1820358,1.1786236,1.1783675,1.167946,1.1656389,1.1560065,1.1548949,1.139601,1.1528844,1.1317142,1.1289222,1.1067291,1.091637,1.1069186,1.1108116,1.0987495,1.0857595,1.0691042
1.4104983,1.4069755,1.3908749,1.3869885,1.3946249,1.3681744,1.3731827,1.3687637,1.3589942,1.3397256,1.3529942,1.3223796,1.3328234,1.3259748,1.3064381,1.3171492,1.314816,1.3122349,1.2797362,1.2823045,1.266746,1.2595752,1.2559382,1.2378051
1.1622347,1.1548506,1.1440836,1.1357462,1.1336944,1.1281756,1.1402037,1.1344548,1.1154754,1.1208417,1.0934776,1.091771,1.0861548,1.0775832,1.0537324,1.0583589,1.0388767,1.0549957,1.0561533,1.0534742,1.0410963,1.0576696,1.0277737,1.0147622
.98308992,.97943425,.97403765,.97386521,.96790129,.95880663,.94303972,.95108539,.9310534,.92944479,.94570756,.92360276,.92528915,.9034332,.900653,.9146111,.90076321,.86933178,.90569884,.89568162,.85503054,.85866582,.89090478,.86390185
1.8182467,1.8117048,1.7978635,1.7927864,1.775286,1.7674842,1.7626126,1.7517973,1.7459033,1.7317096,1.7231731,1.721648,1.7004212,1.6930765,1.6904981,1.690451,1.678244,1.6651856,1.6670564,1.639069,1.6406891,1.6185708,1.6226701,1.6107401
1.0493354,1.0438802,1.0375077,1.0351434,1.0285561,1.0320625,1.0009934,1.0122851,1.0131456,1.0139672,1.0037162,.97665751,.99434298,.98167974,.98888904,.96963787,.97402042,.95594591,.94206733,.94362092,.93521118,.94450253,.9188419,.91903144
1.7384,1.7296056,1.721089,1.7123691,1.7048681,1.6962389,1.6815145,1.6717664,1.6736208,1.6582375,1.6599165,1.6435294,1.6336771,1.6225768,1.607836,1.6176263,1.5860683,1.582914,1.5779499,1.5696497,1.5641103,1.5456886,1.5461729,1.5268397
.89671361,.89932913,.88925457,.88343096,.88029832,.86548758,.86191124,.87345672,.85442168,.86060822,.8655681,.83990169,.81082433,.842848,.83058268,.79992747,.83853751,.82140696,.82755297,.81220132,.80835778,.79183602,.78332394,.80146259
.9113732,.90859383,.90625709,.90105361,.89700818,.89431298,.88578814,.88586098,.87594807,.85349929,.86268032,.84854645,.85976815,.83441275,.85143042,.82986164,.81738371,.80567873,.79136074,.82751399,.8618933,.79975921,.81377882,.78101963
1.3878088,1.3790021,1.3887861,1.3626562,1.3576542,1.3583847,1.344689,1.3171949,1.323469,1.2993915,1.3159586,1.3253641,1.282953,1.305479,1.276471,1.277279,1.2685913,1.2546086,1.2462467,1.2423972,1.2255183,1.2278709,1.2310102,1.2470196
.91090846,.9079302,.90929919,.88906515,.89209777,.89138663,.87009037,.89124799,.87143242,.84714854,.85503721,.83886993,.86780798,.85626811,.88274193,.8310504,.7911526,.83096254,.85201573,.82357728,.8532117,.82078546,.79083711,.79643178
.89378846,.89543748,.88105208,.87026596,.87231702,.87105614,.86255723,.85857362,.84669089,.83262008,.83365309,.84925401,.83740532,.83034217,.82318366,.82886201,.84390742,.82151753,.79485732,.78495115,.8039723,.79307806,.75411445,.77837622
.93740487,.93541646,.92606878,.92351091,.91951394,.91783136,.91037381,.91100097,.89380884,.90681088,.87959051,.89317745,.87601745,.89196897,.86794233,.88596165,.85913551,.85508263,.86956501,.81609541,.87291807,.83839041,.82293141,.83479482
.85392696,.84831309,.84962475,.83961838,.84321612,.83506024,.83274698,.81282991,.79219651,.80886805,.80844021,.78885776,.82280433,.77998126,.79455513,.79500854,.78269708,.76537812,.76040941,.74648887,.73942667,.75756949,.74985588,.71516103
.8280372,.82605124,.81743878,.82308638,.79859269,.80414546,.79378402,.81613451,.78119677,.78669757,.77881366,.76503968,.75898272,.79318231,.75552654,.76182824,.74416488,.75207883,.76256502,.73894113,.71940267,.73689908,.72230887,.7308982
.90350997,.89862221,.89947778,.88471532,.88028818,.87865585,.86808199,.85839182,.87870657,.86459923,.85682821,.84740853,.85527182,.84749347,.83126193,.83273965,.81344372,.81386238,.79337209,.78744304,.80398494,.78725702,.80832648,.77695483
1.1073302,1.0998539,1.0840583,1.082412,1.0859289,1.0820826,1.062821,1.0611306,1.0771497,1.0576403,1.0563501,1.0336106,1.0355033,1.0206362,1.0285394,1.0099788,1.0305865,1.0137324,1.0202999,1.0147513,1.0346944,.98171681,1.0126549,.99287093
.89389753,.89190376,.88429636,.88112915,.88056934,.88018662,.87391967,.86039376,.82457358,.83147973,.83596849,.84632504,.8512519,.81499869,.839719,.82118225,.8003388,.79100037,.7792412,.80342281,.77691048,.79810739,.77313358,.78937942
1.0671413,1.0650578,1.0570998,1.05542,1.037913,1.0346403,1.0265625,1.0279838,1.0231595,1.0098106,.99286437,.98260683,1.0199646,.98564053,.98830962,.99436891,.97241163,.9808706,.94569904,.94449145,.95130962,.93689084,.95570868,.92644638
1.5499967,1.54062,1.5352777,1.5271664,1.5247396,1.5012158,1.4972824,1.4880153,1.4984939,1.4757868,1.4685627,1.4654704,1.4490983,1.4432337,1.4331738,1.4296732,1.4208208,1.4257331,1.3992951,1.4001521,1.3857011,1.3835813,1.3600531,1.3723791
1.0882062,1.0833743,1.0811354,1.064145,1.0656374,1.0624951,1.0485311,1.0515081,1.033303,1.038435,1.0283896,1.0263888,1.0108989,1.0091292,1.0097531,.99211115,1.0201151,.9952786,.97693944,.96781927,.96988368,.97864765,.96543461,.94012809
1.5684452,1.5591873,1.5523807,1.5509944,1.533004,1.5262711,1.5198416,1.5059316,1.498356,1.4922249,1.4735099,1.4790037,1.4618319,1.4494854,1.4493554,1.4510988,1.4264112,1.4323879,1.4157848,1.412601,1.4139918,1.3830997,1.386176,1.3848667
1.1285826,1.1223401,1.1275532,1.1127325,1.1025368,1.0978638,1.1017767,1.0985892,1.0811865,1.0737172,1.063975,1.0754813,1.0730215,1.0607635,1.0328749,1.0139102,1.0301777,1.019111,1.0605958,1.0136505,1.0190755,1.0220394,.99057585,1.0299251
1.1037376,1.0960909,1.0909837,1.0823404,1.0874329,1.0761528,1.0640489,1.048249,1.0624936,1.0473907,1.0362692,1.0423411,1.0295364,1.0308112,1.0141373,1.0031384,.98480546,.9813152,.98431867,1.0006021,.95464367,.99884427,.97805971,.94837111
.78322446,.77794302,.77170491,.76276916,.75048918,.74339616,.74513769,.7253921,.71991104,.72746158,.73419946,.7402302,.72424459,.72370362,.7075491,.71777678,.71062458,.69753313,.69863576,.65873259,.68458223,.64903623,.67628348,.65301079
1.3202995,1.3119621,1.3083287,1.2926601,1.2899283,1.2850316,1.2816801,1.2807455,1.2551043,1.253116,1.2565881,1.2363294,1.2249219,1.2447424,1.2249388,1.2145586,1.1965894,1.2101126,1.2016723,1.1776437,1.190008,1.1947,1.1763165,1.1829824
.8949303,.88722503,.88756645,.89044923,.87311363,.85756779,.86801094,.87422794,.88354051,.8617785,.85803664,.8307218,.8472423,.83620054,.83599949,.83982396,.82651103,.85178643,.80595577,.79631281,.80851793,.85638577,.7857163,.8109985
1.032297,1.0313566,1.0167775,1.0167894,1.0065231,1.0075834,.99293387,.99786413,.98883361,.96508586,.96360874,.97384065,.97184324,.95325869,.9557451,.96879762,.95361859,.93583542,.91792578,.94111443,.93981242,.91260499,.92142445,.92041624
1.2424335,1.2420353,1.2299645,1.2273854,1.2144705,1.213167,1.2053353,1.1918482,1.1926031,1.2034284,1.1775532,1.1826473,1.1697432,1.1493183,1.1471652,1.1443282,1.1570207,1.1328676,1.1177644,1.1221027,1.1348089,1.0937928,1.1206257,1.1028218
1.0860019,1.0778151,1.0753003,1.0642099,1.0626035,1.0626749,1.0561602,1.0373793,1.0299524,1.0190731,1.0268753,1.022445,.99920899,.99091339,1.0155135,.99506563,1.0151271,.97204733,.98201144,1.0115879,.9879961,.97242194,.94130367,.96348387
1.3716751,1.3620081,1.3520927,1.350877,1.3399843,1.324531,1.3167827,1.3045454,1.3059889,1.2965834,1.2836462,1.2961478,1.2742375,1.2854174,1.2889837,1.2502835,1.2571974,1.2299683,1.2218202,1.2196082,1.2241333,1.2053542,1.208631,1.1774218
.77250338,.76566732,.76559192,.75403237,.75544655,.74259555,.74966848,.74736738,.73419255,.72791135,.74223739,.76262772,.74159652,.7365272,.69828105,.69069815,.71401942,.71874774,.71865249,.70609432,.68830311,.67199463,.69966012,.66709197
1.0218847,1.0156226,1.0113512,1.0092794,.99939853,1.0001979,.99793082,.99204278,.98724049,.9769333,.97260904,.9677211,.95845926,.95833373,.94793403,.93121213,.93907762,.92637044,.93998581,.93782914,.91447628,.91178846,.91028696,.92649192
.92202413,.91790944,.90941691,.89979303,.89587951,.88442171,.88004869,.88224202,.88161397,.89243901,.88127989,.8795653,.85793239,.84770185,.85015452,.83448553,.83553022,.80848783,.82148951,.81865871,.82036096,.81559086,.80483359,.79602838
1.0646418,1.0633841,1.0507334,1.0466478,1.0399302,1.0308635,1.0208853,1.029914,1.0117379,1.0177872,1.0057724,.99054444,.99897188,.98554105,.9755286,.94870782,.9619984,.96703887,.94131243,.9507767,.94607329,.94316375,.91746211,.94604117
