se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.4040079,1.3848913,1.3925489,1.3763299,1.3673142,1.3596057,1.3707548,1.3475735,1.3327543,1.3596592,1.3222136,1.316389,1.3191125,1.2666693,1.2943468,1.2950718,1.2715206,1.2904714,1.2506766,1.2309977,1.237269,1.2125006,1.2170236,1.2258782
.91018766,.90719026,.90336519,.89259261,.90014702,.87330228,.87460935,.88222307,.86477757,.87652522,.85996604,.85777217,.82429945,.86237603,.825665,.82935488,.82186651,.82792044,.79306078,.77787089,.80966079,.8017565,.79260349,.77932048
.66655916,.67568338,.67258734,.65893692,.65394682,.65063417,.63143706,.65147579,.64031506,.63150436,.6482985,.62457782,.61323208,.66220301,.62588865,.6466518,.62477773,.63305795,.61558414,.60876119,.60482293,.61381274,.59711051,.62170863
1.1139601,1.1120706,1.1006594,1.1024586,1.094577,1.0792184,1.0723516,1.0846515,1.0604569,1.0455048,1.0727605,1.0597876,1.0514637,1.063006,1.0105932,1.0089896,1.004603,1.0012025,1.0166028,1.003227,1.014411,1.0078506,.98030764,.96225435
1.4904745,1.4832598,1.4799463,1.4598297,1.4660707,1.4478004,1.4509363,1.444084,1.4441538,1.422428,1.420382,1.404665,1.399502,1.3957338,1.3699682,1.3761759,1.3576522,1.3634299,1.3752294,1.3591064,1.3307894,1.3207967,1.3464456,1.337159
.91613883,.91028935,.90680975,.89597774,.88427234,.88460749,.87890905,.88505554,.85353589,.86360449,.86417586,.84274465,.85794318,.85392785,.81442636,.82341087,.84270793,.82313406,.81482214,.81687433,.80209267,.81942254,.79300445,.81630933
.93016076,.92077041,.91862929,.91017324,.91038746,.91152877,.90180808,.90337443,.89507866,.89514053,.88726604,.87149626,.86923397,.85300231,.87439942,.85902953,.84366375,.84951204,.8529945,.83823603,.83060592,.85464662,.80967468,.81193799
1.1530994,1.1486484,1.1396217,1.1289699,1.1295179,1.1230934,1.1256567,1.1060648,1.0818269,1.0979873,1.0798223,1.0801195,1.0822612,1.104443,1.0698676,1.0593431,1.0816408,1.0429915,1.0442171,1.0503114,1.0529659,1.079958,1.0484117,1.0271292
.86421168,.86435771,.85251904,.82799494,.84784853,.85499376,.83782828,.84532142,.82142448,.82331496,.81994921,.8124842,.80012453,.79020858,.78634799,.80220777,.78495967,.7837323,.77354568,.76880109,.76206636,.81701511,.78898978,.75115442
.81402504,.81264699,.82284731,.80433202,.80995899,.80887234,.78520888,.76096481,.77845454,.76545703,.75657415,.74222958,.77393293,.7331624,.75865543,.76923221,.74786419,.74461251,.74968165,.72819161,.73473179,.75968492,.74986142,.69474125
.98673689,.98177356,.98294252,.97608662,.97651219,.94836175,.95970428,.94811213,.94489127,.93176109,.95326442,.93916667,.92080402,.90596771,.90095651,.90676183,.89446175,.90642118,.89899689,.91960979,.88417518,.8542763,.85817736,.88992745
3.2307191,3.2161002,3.1974056,3.1790247,3.167347,3.1464243,3.1324799,3.1175351,3.1027169,3.0780401,3.0722184,3.0478623,3.0305343,3.0172462,2.9909883,2.9807858,2.9660516,2.9557707,2.9388692,2.9318423,2.9121683,2.8766496,2.8632927,2.8516383
1.0044262,1.0054964,.9852224,.9832145,.9815498,.97913569,.95167828,.95930636,.96531671,.94724417,.95616978,.93039256,.93513584,.94142395,.91969824,.94781125,.90656233,.8992579,.86182177,.90133029,.9435131,.90109432,.88338709,.9150176
1.0247834,1.0158272,1.016906,1.0135037,1.0062408,1.0044097,.98135597,1.0069879,.97239006,.96261275,.97348726,.96424013,.97310537,.95533091,.93848526,.92890698,.93570793,.92380536,.92066199,.92113721,.90339124,.89168203,.89925325,.92200041
1.5446397,1.5344121,1.5278929,1.5224825,1.5142592,1.5023406,1.4982772,1.4876407,1.4860716,1.4754617,1.4667989,1.4686815,1.4529104,1.4367639,1.4246829,1.4254407,1.4298992,1.3843483,1.4044867,1.3871375,1.3905253,1.3775427,1.3499889,1.3505111
.99040914,.99121392,.96895385,.96264154,.97815394,.9622649,.95399106,.92892945,.9025836,.91253608,.92996627,.96586496,.92023879,.95819062,.91500968,.87858868,.86830473,.85558188,.89466,.87032759,.85897315,.8337298,.88074738,.88673538
