se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
3.0759368,3.0651338,3.0469642,3.0237358,3.0024705,3.0005479,3.0058312,2.9579949,2.9630368,2.9095562,2.9211702,2.9344976,2.8653126,2.8395865,2.8394618,2.866981,2.813844,2.8377156,2.7911727,2.7473233,2.7662797,2.7456262,2.6889727,2.7326138
2.4824915,2.470927,2.4512804,2.4258473,2.4305141,2.4138026,2.4130454,2.3936844,2.3939593,2.2833052,2.3107259,2.4088624,2.2379959,2.2809007,2.2548571,2.2525177,2.3623941,2.187705,2.2218301,2.317153,2.2040336,2.1127746,2.3693943,2.1891913
2.6500924,2.6433866,2.6087501,2.5934272,2.6013744,2.5805833,2.5601876,2.5204184,2.5532284,2.490644,2.4694092,2.458154,2.4544363,2.4357307,2.3965564,2.3552439,2.3190742,2.4161284,2.4129288,2.3567231,2.3273394,2.3264594,2.3174119,2.3083422
2.6360729,2.6230466,2.6048472,2.5275621,2.6166215,2.5908656,2.5838025,2.5686452,2.5383625,2.4829156,2.4749665,2.4809742,2.5409315,2.4658203,2.3503377,2.4256387,2.4079275,2.4090931,2.4005926,2.3350878,2.370306,2.3109851,2.3304508,2.3297005
2.6459007,2.6376586,2.6157548,2.5842907,2.5985525,2.5667348,2.5783648,2.5629241,2.5297539,2.5136316,2.5095782,2.5154634,2.4879043,2.4516578,2.4316437,2.4552779,2.3678417,2.4250813,2.3752854,2.4018757,2.3375733,2.3604994,2.369555,2.3447366
2.4642787,2.4606915,2.4238393,2.4371831,2.3980181,2.3769362,2.3739676,2.3489239,2.3820267,2.3119562,2.3415363,2.343889,2.2962196,2.3159854,2.3235939,2.2430675,2.2681324,2.2473056,2.2554095,2.2338266,2.1855967,2.2066863,2.2201159,2.1917348
3.1626234,3.1514981,3.1435666,3.1366856,3.0912192,3.0478978,3.0460885,3.0553663,3.0025129,2.9874334,2.9836514,2.962451,2.9232838,2.9211817,2.908237,2.8849642,2.8566883,2.8786805,2.8713489,2.8192155,2.7549224,2.8272679,2.737118,2.7084081
3.0291717,3.0165396,2.9684677,2.9748828,2.9986663,2.914717,2.9637446,2.9365737,2.9066622,2.9174728,2.9027393,2.7989979,2.8338902,2.8635585,2.7936397,2.7912703,2.8438699,2.7612262,2.8965092,2.6643882,2.7397385,2.6591351,2.7855544,2.5048842
2.7664742,2.7384996,2.7224336,2.7041562,2.7047358,2.6677492,2.6831405,2.6160674,2.6481616,2.5885899,2.5485375,2.577167,2.6054258,2.4373846,2.5081103,2.5834816,2.4658101,2.5041974,2.5242062,2.4574616,2.4618964,2.4187624,2.4138665,2.3804848
2.035733,2.012223,2.0362215,1.9942443,1.9576079,1.9367912,2.0266278,1.956377,1.9416728,1.9931391,1.8831581,1.9177625,1.8381803,1.8875594,1.8613291,1.9267515,1.7955894,1.8370539,1.8155718,1.9102559,1.8078018,1.7228167,1.7347597,1.6726862
2.181416,2.1637592,2.1365349,2.1645172,2.1788154,2.1370926,2.1269851,2.1153164,2.1041644,2.1070538,2.0093613,2.0835366,2.0518184,2.0270083,1.9945251,1.9689766,2.069164,1.9563497,1.9025439,1.8590345,1.9944426,1.9371667,1.9872026,1.8444598
2.8962443,2.8985953,2.8428929,2.8665755,2.840976,2.7987278,2.8336728,2.7747536,2.7566791,2.7277305,2.726907,2.7713602,2.7583339,2.6213257,2.7005196,2.6942866,2.7149422,2.694499,2.6023619,2.6310437,2.5852966,2.6364207,2.4929872,2.597487
3.010257,2.9969285,2.9776397,2.9200902,2.902596,2.8914037,2.9319289,2.9123988,2.8768327,2.8495121,2.8534541,2.8328643,2.7917821,2.7956977,2.8472579,2.794874,2.7959173,2.7502124,2.6387446,2.7442875,2.7640109,2.722223,2.6639082,2.7512379
2.9927247,2.9893918,2.9520373,2.9464574,2.919518,2.9134395,2.9001758,2.8671889,2.8540165,2.8512316,2.8247905,2.7655973,2.8086703,2.8123207,2.7818384,2.7826064,2.7260878,2.7655759,2.7684753,2.6849227,2.6843493,2.685369,2.6487224,2.6717043
