se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
4.092134,4.0987859,4.0316725,4.0998268,4.074338,4.0815015,4.1625218,3.9864502,4.1934271,4.0671377,3.8818533,4.0495591,4.1608124,3.9959791,4.1310978,3.980154,4.4005332,4.3168478,4.0218763,4.0098071,4.0526276,4.1051402,3.9597671,4.2454052
4.5174584,4.520031,4.4590545,4.516181,4.4111128,4.4837289,4.4424906,4.5083909,4.4288292,4.4390893,4.3907232,4.3914409,4.5087328,4.3265281,4.3837161,4.4072866,4.4293571,4.341516,4.4772496,4.3210831,4.3404579,4.3048377,4.3510756,4.2661963
8.1257591,8.1208744,8.0776958,8.0708742,8.0324411,8.0979137,7.981885,7.9730296,8.0219812,7.9705138,7.8566656,7.8209872,7.8651185,7.8797688,7.8134551,7.8467407,7.8234091,7.8027596,7.7718759,7.8151369,7.8168173,7.738874,7.7845502,7.712687
3.5281863,3.5312316,3.5727193,3.483784,3.5547049,3.4868259,3.4723904,3.4186528,3.5144424,3.4538491,3.5434701,3.4458985,3.359005,3.5439172,3.4370794,3.5794108,3.5093153,3.3807504,3.3929446,3.6789994,3.389569,3.6462755,3.4300578,3.5905902
8.0510664,8.0291929,8.0302916,8.0313072,7.952498,7.9928174,7.981319,7.9353929,7.9062781,7.8958611,7.8065376,7.8478413,7.9230905,7.8157253,7.8055549,7.8468614,7.8994274,7.8014345,7.6413984,7.6832371,7.5702066,7.8173556,7.691535,7.5570126
4.2425365,4.2274904,4.2341986,4.1864204,4.1883016,4.2134299,4.3319154,4.2084856,4.2049217,4.055366,4.2364078,4.1949534,4.184484,4.1490417,4.2033567,4.1245775,4.0734992,4.3703623,4.23804,4.2254047,4.2594757,4.1679292,4.3838329,4.1338034
4.001462,3.9986403,4.0156717,3.9544594,3.9796262,4.1235642,4.0172591,3.9166543,3.9203689,3.857106,3.9571359,4.0375872,3.9539721,4.0012116,3.8161507,4.1332746,3.89133,3.9036081,4.0339818,3.8199222,3.7929032,3.949882,3.8871093,3.6605129
4.5633783,4.5919089,4.5017886,4.5540638,4.5716019,4.595315,4.484427,4.5495996,4.4396553,4.412004,4.5510764,4.3812466,4.4595551,4.4393859,4.5164857,4.3921227,4.4601793,4.5290227,4.4123344,4.6108389,4.2951198,4.6543174,4.6225848,4.3283582
4.7853141,4.7634945,4.7939053,4.7591043,4.7421112,4.7658939,4.685534,4.7090797,4.7579637,4.6733069,4.714025,4.6172562,4.5876055,4.6550369,4.6476598,4.6711636,4.6868854,4.5097313,4.6053748,4.6250873,4.495326,4.5021462,4.5999184,4.6599388
3.1205466,3.1083431,3.118566,3.110707,3.1133227,3.1161575,3.0359652,3.0419898,3.1041634,3.1590111,3.1374111,3.1939027,3.0792916,3.1552732,3.1703913,3.0738935,2.995203,3.0165,2.958849,3.2435334,3.0270875,3.323421,3.2766116,2.8802595
