se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
2.449729,2.4338546,2.4359965,2.4151387,2.3871133,2.3865905,2.4084766,2.3599668,2.3566792,2.3056865,2.3312998,2.2883224,2.3024647,2.3244112,2.2612913,2.2278426,2.2180338,2.1817122,2.225544,2.1998107,2.2485061,2.1811945,2.1513002,2.1687744
1.7451478,1.7340982,1.7345399,1.7262509,1.6906151,1.694329,1.6320192,1.6603793,1.6879147,1.7129514,1.7075423,1.6810819,1.6324034,1.6543912,1.5828069,1.6085006,1.5928662,1.5526295,1.6226188,1.5826066,1.5464648,1.5771474,1.6157829,1.4936705
1.4712522,1.4686443,1.4541812,1.4414673,1.4272521,1.4352114,1.4502621,1.3826841,1.3981276,1.4195482,1.3820219,1.3670964,1.3781084,1.3482411,1.3580511,1.3768346,1.359745,1.3144923,1.3042371,1.3336514,1.2887416,1.3386502,1.2926508,1.2657874
2.3363707,2.3040729,2.334409,2.2830603,2.2929051,2.2703016,2.2940917,2.2392714,2.2359791,2.2115221,2.2261512,2.1922011,2.133853,2.1481426,2.1830049,2.1734524,2.0795779,2.0778942,2.0617492,2.0819812,1.9965423,2.0775561,2.0474648,2.0737224
2.9548244,2.9422233,2.9186814,2.9032576,2.8835819,2.8657916,2.853497,2.8444448,2.807852,2.8126845,2.7813814,2.7942147,2.7783532,2.7383802,2.7150617,2.6913652,2.7115786,2.6983402,2.6960204,2.6805015,2.6340258,2.6528504,2.6408989,2.5940659
2.2420082,2.2363043,2.2235222,2.214102,2.2239413,2.1876469,2.1999216,2.1535392,2.1610193,2.1478417,2.1357329,2.0787137,2.1532412,2.0460625,2.0482061,2.0785198,2.0361233,2.0370879,2.0178895,1.9935184,1.9788228,1.9738202,1.9561315,2.0250823
2.4399564,2.4255562,2.4111233,2.4160471,2.3963995,2.3658559,2.3792884,2.3560336,2.3316324,2.3293483,2.303417,2.3184931,2.2622015,2.2936246,2.2478547,2.2692928,2.2628889,2.2161479,2.1973855,2.174366,2.1871181,2.1801257,2.1296306,2.17152
2.3873124,2.3562164,2.3386211,2.3327951,2.3274813,2.3255961,2.3152504,2.1820114,2.2980356,2.1973827,2.2591479,2.2940373,2.2089932,2.2750478,2.1841578,2.1714153,2.1295571,2.1539924,2.116596,2.12591,2.0211539,2.1287603,2.0515018,2.1127524
1.4388011,1.4267114,1.3955092,1.4334919,1.4223338,1.426707,1.3507062,1.3359975,1.3897672,1.4125526,1.3298746,1.3030102,1.3391827,1.3485116,1.2854878,1.28711,1.196883,1.3612659,1.2690456,1.3450248,1.247364,1.2755891,1.2785653,1.2113409
2.7819149,2.7435722,2.7713337,2.7411115,2.7420235,2.7682052,2.6566777,2.6387291,2.6326082,2.6651649,2.5767152,2.5677359,2.5709908,2.6134269,2.5867336,2.5546274,2.5296741,2.4465029,2.512486,2.4753077,2.471288,2.5493162,2.4677613,2.3794293
1.7050477,1.6803747,1.6789565,1.6864563,1.666526,1.6753607,1.676125,1.6284875,1.6744729,1.6256075,1.6079354,1.6146951,1.5654067,1.6094645,1.6166812,1.5330395,1.6078516,1.5421869,1.5438849,1.5332066,1.556717,1.5561094,1.5410086,1.4319388
1.8742996,1.863773,1.8339057,1.8137919,1.8086753,1.7740456,1.7908466,1.82233,1.7279587,1.8247645,1.7707225,1.7792192,1.8098302,1.6898174,1.8002684,1.7009968,1.7132093,1.6481677,1.7258496,1.6734533,1.6711257,1.6882951,1.5808117,1.6615877
2.7371182,2.7207432,2.699918,2.6889317,2.6738076,2.6797035,2.6567316,2.6374555,2.6184545,2.5822804,2.5742922,2.5391126,2.5429492,2.5248852,2.5287457,2.512059,2.4698846,2.4853246,2.425992,2.4370186,2.4581521,2.3863046,2.3827856,2.3437901
