se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11
.34322855,.34569576,.34063202,.34420627,.34061497,.33601522,.35011771,.34687912,.33094946,.33700168,.33575726
.2794624,.28029707,.2737112,.27571508,.28215694,.28025821,.25496814,.27876315,.27787617,.26848155,.2800352
.20300362,.20193782,.20009612,.21241415,.20536225,.21294428,.20229369,.21275595,.21210036,.20275041,.20330222
.23818457,.23684187,.23691915,.23833865,.23619524,.23478276,.22786835,.23371482,.23643741,.25257364,.22907808
.23581979,.23447026,.23402323,.23600538,.22949356,.2419153,.2240486,.23660168,.23676267,.22593589,.22757262
.27873614,.27779123,.27246112,.2745986,.2731826,.2807036,.30122679,.26671237,.27205664,.2772769,.268924
.43313408,.42715782,.42729601,.42988509,.42393741,.43452999,.43808976,.41034546,.42193645,.4129211,.41346821
.3087025,.30949,.31020632,.3045755,.2956197,.29699475,.31161439,.29647028,.30702034,.31068107,.28881615
.28781828,.28781447,.27957964,.29097092,.27368301,.28338969,.28045389,.26779133,.27091634,.27252424,.26980847
.3537215,.35463426,.35124159,.34875765,.34083462,.33825788,.36095905,.3428894,.35306945,.33435011,.33148673
.27877626,.2734257,.27877793,.28314513,.27645776,.28057578,.27256253,.27963477,.27959999,.27761862,.25421715
.28060949,.28006336,.28692639,.27724093,.28087819,.2698274,.28399113,.27535054,.27544755,.29055431,.25413054
.43758711,.43134138,.43308118,.44082481,.4379091,.44891733,.41264585,.44104421,.42876083,.43671396,.42154545
.30738881,.30393356,.30592832,.3067266,.31948569,.30814829,.31743452,.30006403,.32707933,.3105022,.33219087
.2391416,.23520194,.23665194,.2377741,.23702605,.23992483,.23543225,.23742038,.23542872,.23422597,.25526455
.32010773,.31855398,.32117835,.3151201,.30807117,.3287347,.30603594,.31150967,.31764519,.29300886,.27673247
.23160821,.22638464,.23924409,.22630671,.22071034,.22028126,.22913712,.24732414,.22024824,.22330746,.22261958
.31384876,.31167728,.30841228,.31114048,.30306551,.31140986,.30990246,.30644503,.30875102,.30186519,.29041192
.39129516,.38439754,.3835358,.38822916,.38307557,.3804794,.38996693,.39266485,.37332851,.39161754,.40444624
.2918807,.2882936,.2900483,.28346124,.28254947,.29267529,.28453377,.29127318,.28467959,.28277221,.30565515
.3202987,.32093292,.30764773,.31488308,.33168024,.31631422,.30340376,.28878409,.30033222,.29930425,.33381066
.31883341,.31723148,.31573445,.31358528,.31577405,.31487688,.31141865,.31164134,.31667992,.29138494,.31324196
.3235561,.32402107,.31888187,.32081538,.3203766,.34013912,.31293923,.30756733,.30940029,.33417985,.30649361
.28621101,.27861246,.28178069,.28043652,.28124231,.28088325,.27830189,.25892961,.2904762,.27212951,.28777409
.24807309,.24461173,.24921919,.24300402,.24956785,.25947616,.26053634,.22846738,.23470047,.23960225,.26201823
.39137056,.39518774,.39446199,.38767841,.37684107,.37224796,.38069296,.36902559,.38028443,.3815378,.36488828
.24956092,.24716377,.25026819,.2566776,.24588527,.24062897,.25531718,.23794115,.24227248,.24374777,.25083417
.2252827,.22357754,.22529393,.22763419,.22884683,.2213216,.21973006,.21893351,.20645081,.22097017,.22099525
.34571677,.34530154,.34804472,.34703436,.3463397,.33759558,.33012789,.31971997,.33963761,.37102631,.33743316
.22813027,.22852035,.2371103,.22793272,.22623318,.23504557,.23439537,.24286304,.22688919,.21823348,.21437316
.36439362,.35995206,.36660936,.36872855,.34965432,.36792195,.37234792,.35043079,.35657495,.35510859,.33365059
.29085988,.29164839,.29403776,.30428681,.28101045,.27949196,.28546801,.28818539,.27490765,.26238933,.2915028
.29544523,.29761428,.28725973,.30154365,.28890201,.29757321,.28777939,.27638784,.27807578,.29580078,.29372728
.21862155,.2151407,.21210279,.22134601,.21693775,.21485673,.23498285,.2174089,.22279188,.21554485,.24594666
.33904725,.34052393,.33559436,.3326171,.33790642,.34201193,.33244288,.32509792,.31497458,.33205271,.3326723
.2634156,.26452991,.26315114,.25688666,.26216918,.26225561,.25530705,.26460075,.27116841,.25666016,.25630531
.29460993,.29671666,.29009476,.28671989,.30568981,.3005777,.30020872,.28996435,.28845635,.30378726,.29791963
.40525013,.40700901,.40378541,.39687461,.39034316,.39967635,.38402054,.41194797,.39011252,.38870403,.39624888
.35427976,.35192317,.35710397,.37471855,.35118946,.34682235,.33880627,.33487257,.36474124,.33457527,.33312869
.27969977,.28226605,.27510339,.2886821,.27598837,.27970782,.25520682,.27929103,.28809667,.27170667,.27617756
.27548265,.26863244,.26637071,.26733685,.26712516,.2843059,.27490196,.27447689,.27304357,.27938497,.27828738
.18642348,.17971538,.191283,.18599811,.18643379,.18515205,.18080784,.18262921,.19665629,.17658371,.19700837
.28280944,.28502789,.28006786,.28348383,.29677379,.28732818,.2786366,.27582154,.28938207,.27742425,.28170851
.21815066,.22528654,.21950902,.22430508,.22072257,.21731068,.21538836,.21977352,.23084557,.22334981,.2008591
.22415388,.2216107,.22169158,.20836613,.2207976,.22243729,.22663572,.22794405,.22627561,.22816262,.22585748
.20627794,.20488173,.20601864,.20006527,.2033783,.21068013,.21405996,.20535581,.19267111,.21140805,.20197156
.39247063,.39749068,.39277157,.39333585,.38796893,.401021,.40488181,.40860891,.36945891,.37973818,.3831073
.19707081,.19850862,.1905261,.18559511,.2029082,.18443386,.201233,.19960122,.20898922,.18611309,.19101384
.19365624,.19657049,.20013347,.19071501,.18751103,.18808863,.1962703,.19124369,.19851774,.20701271,.20423838
.27857083,.27329448,.2762014,.27151078,.27405939,.27971163,.27957129,.27683115,.28885621,.26766023,.26582474
.35027108,.35303855,.3470042,.34982425,.34294501,.34529266,.33096835,.34901497,.33511102,.33533335,.36458284
.23625295,.2370064,.23004162,.2341356,.23818842,.21599697,.23978414,.22225073,.21840094,.23412775,.21416977
.25090563,.25286588,.2499353,.26278794,.24756944,.25325343,.24025688,.2575087,.25335076,.24810793,.21975596
.33163831,.32969809,.32981738,.31742477,.32721344,.33267131,.32436743,.3370069,.32483348,.32399911,.34310168
.2501893,.2485016,.24900991,.25490206,.25070325,.25231624,.24142987,.26516786,.23601834,.26026168,.24686608
.27749041,.27342805,.27082136,.27686402,.28211439,.27602112,.2599327,.27075332,.26767394,.28421757,.28532475
.24037063,.23628242,.23891532,.24469231,.24651319,.23858261,.24192384,.23402977,.21925962,.26080152,.23917834
.24233918,.24892835,.24463058,.23358437,.23804598,.23946957,.24488091,.2449141,.23805588,.2341397,.22542037
.28469321,.28274146,.28409982,.29085737,.28519958,.28119713,.28184852,.28271466,.27555802,.28925642,.27799657
.35633534,.34843209,.35755309,.35544971,.35104626,.3572869,.35811085,.34667179,.36339185,.34970072,.34708992
.27109429,.28167161,.26299751,.26875228,.27887517,.27417088,.28202954,.2789126,.2880404,.29543784,.26467839
.28010452,.28194556,.28607073,.28195494,.28958911,.27529433,.29064313,.27239084,.29515421,.28423899,.2887691
.22829098,.23032784,.22661267,.21704318,.23006642,.21521533,.22740446,.22578149,.22051811,.22066103,.19843985
.32160532,.31687358,.32014686,.314944,.30627537,.31920475,.31757396,.32729483,.31805289,.3296614,.33403334
.3365936,.33381361,.33401269,.33577994,.34910032,.3333779,.32517633,.33973658,.33338866,.33778474,.33471152
.22620127,.22554383,.22066061,.21900776,.22862595,.22037463,.2316644,.22056983,.21258023,.24291587,.21813567
.23630394,.23921806,.24115375,.23562413,.24185906,.22837304,.2478262,.24013539,.2342401,.22759598,.22762345
.25347728,.25580096,.25366402,.24679774,.25270215,.25154826,.25048068,.25290099,.24592252,.25229824,.26832929
.233777,.22927469,.22645643,.23107493,.22723296,.23484939,.23955064,.24330556,.25864297,.2220861,.23146567
.28555775,.28436178,.28122196,.27720946,.27945706,.28698424,.27196199,.28198859,.2892963,.28066686,.27569366
.21277963,.2137825,.2128281,.2028257,.21557653,.20765573,.20102127,.21951182,.20280468,.21870355,.21884263
.22071819,.22571386,.21849801,.22722775,.21543267,.23325881,.20561831,.19938993,.22015549,.22030057,.22523737
.31261927,.31284618,.3119067,.32164654,.2923061,.30384129,.30591935,.30749381,.31433249,.3019841,.28977811
.42813212,.43079951,.42648998,.405696,.43838188,.42311889,.42218721,.40161014,.419673,.42099965,.37499571
.19433047,.1929135,.19219756,.18936576,.19065647,.20034482,.19468251,.19110753,.1969344,.19370928,.19199209
.23282875,.23076698,.23141161,.22871354,.23367222,.23033449,.23107682,.24077158,.23418032,.23066626,.22856478
.25097921,.24997127,.25456384,.2521458,.23558958,.25681409,.2568548,.24890286,.24984734,.2584174,.22906658
.21910214,.21452911,.21581736,.21855821,.21671812,.21532089,.21795264,.21654892,.21609834,.23365667,.19285165
.28904405,.29273397,.28030217,.28879526,.28117514,.28447413,.28305349,.29939127,.2868365,.28106308,.28805807
.24829233,.2486369,.25599363,.24995154,.23709676,.24667332,.25003219,.23821558,.25707167,.26311097,.2431199
.24472304,.25246754,.23706137,.2459757,.2535589,.25772318,.24453993,.24107243,.23166411,.24646486,.25952482
.26079008,.25572848,.25306356,.2548112,.25646955,.27311704,.25217566,.26554987,.27088547,.25448659,.24680971
.37738705,.37673479,.38190258,.36698183,.37180349,.37648389,.36957511,.36563456,.38052648,.36009622,.35720009
.33456841,.33676794,.33042824,.32606804,.32951671,.34120896,.34072605,.33665439,.323347,.31235927,.33258927
.26895353,.26991624,.2706871,.26447687,.27007508,.27124661,.26417014,.26435828,.2599031,.2667523,.26974833
.33227333,.33426502,.32723272,.33396521,.33803698,.3169457,.31739441,.32150242,.32465151,.3226074,.30730632
.31334344,.31116939,.31024656,.31425685,.31343928,.29863736,.29739767,.31025827,.31620681,.30941725,.30075464
.25707099,.25449958,.25647828,.26405418,.24980143,.26299763,.25639883,.25178701,.27278358,.25556865,.25072384
.21899715,.21635461,.21932413,.22050308,.21368118,.21865357,.20192492,.21700327,.21876334,.20449097,.23650816
.2342,.23594359,.23861089,.23084728,.23323931,.2370242,.23730715,.24034902,.22500139,.22515182,.23795117
.20754816,.20411426,.20502372,.2112015,.21919554,.21358733,.20561673,.20546593,.1980015,.20977376,.20876537
.29041839,.28999165,.29017395,.2827034,.30079451,.27592045,.28716549,.28419977,.2820369,.28692132,.28585565
.2431246,.245032,.24593438,.24654783,.24915783,.23887534,.24052171,.24169613,.24745892,.24656041,.24039464
.36342484,.36263579,.3569465,.36349404,.35623264,.36417121,.36361182,.34345499,.36371377,.36307555,.35015514
.27783972,.27730373,.27939963,.27928194,.28209037,.26724496,.27458328,.2905257,.27899149,.27543545,.27621391
.33525068,.33963016,.33454758,.33804446,.33742133,.3312628,.33157504,.32853416,.32419094,.3212519,.32255727
.37016895,.36870104,.36250573,.35465577,.37069952,.37553814,.36313999,.34638637,.38184533,.35330546,.34724614
.28097397,.28779516,.28522468,.27324745,.27720875,.28646562,.26973817,.28419286,.2728605,.26271042,.29675543
.1805758,.18152727,.17934151,.18484844,.17487668,.18472265,.17250939,.17366886,.18197188,.17164555,.17089593
.32435837,.32201341,.31887773,.33325726,.3061884,.33097884,.29987037,.324779,.32382327,.28137088,.28144968
.22092357,.2201893,.22633012,.21237846,.20813181,.21873324,.22375385,.22318447,.21852358,.21724899,.21666414
