se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
.88786042,.88439608,.86808062,.85789835,.85137641,.82682401,.81938374,.79878885,.78943682,.79151165,.77184194,.77162218,.73456204,.73370302,.73932219,.70997715,.72702932,.74166912,.68642408,.66892713
.66301066,.65631586,.63462633,.62489277,.63787884,.62842411,.62268114,.61872143,.60693729,.58854836,.59843951,.58449769,.58398283,.55328149,.54676509,.57240921,.55412364,.5078485,.58778399,.54603916
2.4114437,2.3868425,2.369211,2.3432274,2.3253136,2.2886171,2.2709289,2.2331953,2.2176473,2.1931901,2.187628,2.1512368,2.1292291,2.1220956,2.0686069,2.0639935,2.0301685,2.0181909,1.9706699,1.9739243
.91797721,.91534591,.89001161,.87758732,.86495858,.87369502,.85469723,.8370173,.83306116,.80785066,.82009262,.83871287,.80587816,.77280259,.77152616,.76321679,.7388441,.72051358,.73625439,.7101934
5.9292622,5.8668823,5.810163,5.7480454,5.6860085,5.6337876,5.5753675,5.5056481,5.4472389,5.3993034,5.3393888,5.2663083,5.2104096,5.1447196,5.0973611,5.0296655,4.9723272,4.8967366,4.8520565,4.7974486
2.2605379,2.243674,2.2174823,2.1882036,2.1680918,2.1473358,2.1196463,2.0874534,2.0697625,2.063818,2.0368807,2.0228457,1.9875636,1.9644226,1.9435816,1.9253803,1.8879613,1.8529954,1.8522563,1.8261429
4.0477633,4.0127501,3.9523551,3.9197567,3.8806102,3.8357308,3.8018525,3.7566459,3.7150576,3.6710291,3.612905,3.599462,3.5969009,3.5188503,3.4678338,3.4162147,3.3733311,3.3778939,3.3036551,3.2322176
1.1582626,1.1452771,1.1388589,1.1175692,1.1085088,1.1241642,1.091359,1.0692897,1.0603081,1.0685391,1.0409946,1.0506752,1.0277487,.9870609,.99941862,.98511165,.99093109,.96517593,.95783252,.9578265
1.4106005,1.400123,1.3870119,1.3778329,1.349122,1.3407667,1.333612,1.3059301,1.3168405,1.2947744,1.2922506,1.2619865,1.2409551,1.2320929,1.2219889,1.1871557,1.1855989,1.1832744,1.163939,1.1637299
1.6578547,1.6384242,1.6064051,1.597474,1.5951855,1.5551221,1.5476507,1.548838,1.5271376,1.5065098,1.5034269,1.4491655,1.4413157,1.405781,1.3970995,1.3783312,1.4143825,1.4216827,1.3680258,1.3544722
