se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
3.7108221,3.6646891,3.6169596,3.5745864,3.528934,3.4878099,3.5337646,3.4052563,3.3582652,3.3182089,3.2635105,3.2160547,3.1732843,3.1172216,3.0576251,3.1251059,2.9930735,3.0260253,2.9930632,2.8441346
10.793961,10.687278,10.571318,10.473127,10.365216,10.257811,10.148055,10.039967,9.9222813,9.8167067,9.7123642,9.6119061,9.5007229,9.3784771,9.2642279,9.1752615,9.0800171,8.9391384,8.8396931,8.7304487
3.3645279,3.3291078,3.3051472,3.2619021,3.2422502,3.1965818,3.1547689,3.1206603,3.0990469,3.0590923,3.0377519,3.0168467,2.9586194,2.9220536,2.9070797,2.8391693,2.8206036,2.777777,2.7592483,2.7408924
18.202866,18.02438,17.847908,17.658314,17.467606,17.278784,17.103811,16.911388,16.747461,16.555647,16.363308,16.179989,15.984473,15.832098,15.630399,15.457563,15.272241,15.083655,14.905753,14.710404
2.830369,2.7951117,2.7529132,2.7497575,2.6977456,2.6553874,2.6416006,2.6250696,2.5567296,2.550189,2.5251541,2.4689746,2.4869661,2.4481812,2.3730817,2.3266027,2.3426552,2.3069096,2.28426,2.2529545
1.730461,1.7139144,1.706369,1.677654,1.6702367,1.6521934,1.6296946,1.6030238,1.6010607,1.5959637,1.577752,1.5218067,1.5370334,1.4969893,1.5153937,1.5008882,1.4716885,1.4376408,1.4316472,1.4287407
3.4922888,3.4499462,3.4152503,3.3830481,3.339941,3.3001511,3.309762,3.2432206,3.2027578,3.1359658,3.1604536,3.1038384,3.0372992,3.0072329,3.0057118,2.9710059,2.908874,2.8901401,2.846539,2.7815704
12.330486,12.206719,12.084913,11.964793,11.850308,11.721665,11.592896,11.475347,11.350094,11.244237,11.112512,10.967695,10.870258,10.749632,10.637523,10.50551,10.386555,10.261159,10.128904,10.023784
1.9278448,1.9058721,1.8828281,1.858423,1.8211203,1.7899599,1.799726,1.7655985,1.7532315,1.7283819,1.6966364,1.6843659,1.6632551,1.6003792,1.6160674,1.5973575,1.5408111,1.5799334,1.5353808,1.5108138
6.7809114,6.7132287,6.6480608,6.5716333,6.5082421,6.441432,6.3718562,6.3117185,6.2368832,6.1679902,6.09934,6.0311832,5.9651289,5.8950605,5.8280315,5.7674341,5.6980777,5.617228,5.5500655,5.5102701
2.1950088,2.1769383,2.1373398,2.1353714,2.08812,2.0679691,2.0635397,2.0246265,1.9715546,1.9616941,1.9218222,1.883793,1.8971833,1.8384943,1.863063,1.827363,1.8076749,1.7738153,1.7429786,1.6802976
4.2175322,4.182879,4.1376171,4.1155305,4.0504045,4.0078497,3.9302297,3.9398212,3.9120398,3.8082938,3.7919168,3.7633548,3.6992776,3.658757,3.6493704,3.5948405,3.5352633,3.5151236,3.4186804,3.4354939
2.3551323,2.3345902,2.3070509,2.2854545,2.2525537,2.2106667,2.1879659,2.1704228,2.144994,2.1257846,2.0929818,2.0991971,2.056886,2.0070817,1.9770415,1.9640189,1.944968,1.8997663,1.867227,1.8647768
2.4463372,2.4187713,2.4015579,2.3738277,2.3511279,2.3264933,2.2966352,2.2940509,2.2435107,2.2329581,2.1942744,2.183953,2.1584308,2.1458282,2.1233568,2.0856524,2.0836127,2.0476105,1.9902775,1.9801927
2.2837663,2.2599242,2.2412148,2.2083302,2.1915109,2.1557422,2.1409996,2.1217368,2.0805044,2.0814376,2.0439746,2.0389738,2.0072503,1.9776995,1.9453497,1.9438835,1.9175134,1.8893238,1.8592478,1.8339354
6.9860024,6.9160509,6.8490238,6.7754283,6.7111111,6.6351914,6.5623813,6.4962735,6.4234962,6.3491907,6.2866402,6.2227178,6.1444993,6.061902,5.9963584,5.9319606,5.8534961,5.7942014,5.7288523,5.6549129
2.6868908,2.659539,2.6400905,2.6047165,2.5783575,2.5500159,2.5282516,2.4963317,2.4633555,2.4397643,2.4271657,2.3858457,2.3784046,2.3468006,2.2855325,2.2818863,2.2757728,2.2373483,2.2066319,2.1700399
6.1135273,6.05088,5.9930234,5.9240303,5.8647609,5.8081994,5.7347312,5.6951408,5.6321821,5.5743537,5.4921632,5.4331384,5.3667545,5.3170781,5.2508426,5.1991177,5.1267366,5.057384,5.016305,4.949626
3.9411609,3.9037676,3.8625727,3.8087227,3.7596962,3.707721,3.6747065,3.6300013,3.5855796,3.5284975,3.4940813,3.4631634,3.4439013,3.368293,3.3214939,3.2858515,3.26091,3.1944342,3.1447916,3.0838804
