se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.43594575,.44329023,.42414102,.43472326,.42668322,.4188512,.43661776,.42881009,.41043702,.40296802,.42377761,.40313265,.41567251,.41135308,.41651386,.40630537,.39254326,.41892377,.40204084,.37896404,.40376064,.34766006,.3852731,.38463357
.56553781,.56532836,.55546349,.55041367,.55148017,.55013269,.54842329,.56440139,.53784353,.54778659,.53625536,.54262906,.51398504,.54303306,.53701943,.51854241,.52040797,.50263178,.50217551,.50610417,.5090757,.49468631,.4945125,.50042582
.4186801,.41270906,.41246325,.41605127,.41249216,.40951711,.42634842,.42174017,.39697346,.39432129,.40709716,.39715421,.4002564,.39167753,.38946816,.37073612,.38940257,.37913573,.38319257,.3947826,.37887496,.37273523,.38071129,.37297547
.40072137,.39792052,.40430167,.39566979,.38631359,.38339284,.39150453,.38930038,.38388669,.38811404,.38175866,.3797375,.37019834,.37366042,.37910348,.36233532,.37896034,.37980965,.35130611,.35480532,.35779423,.37905195,.3577134,.39658067
.31722599,.32417396,.31366917,.3098987,.31353846,.32221442,.31561947,.31652296,.294144,.31647468,.30202669,.29890636,.31083432,.28478655,.3016583,.30357274,.30955905,.30249426,.26614556,.2950184,.29947567,.28508535,.24784297,.26413643
.32333088,.31782907,.32166436,.3073785,.3183172,.29783309,.32114345,.33232334,.3088921,.31322414,.31831062,.2920346,.30174583,.29053569,.32629463,.30154881,.30028754,.27939567,.30865449,.31570873,.27088171,.30888578,.2802799,.32087749
.39993253,.39856553,.39772066,.39066651,.39396039,.39340356,.39948815,.38261846,.37739742,.37771693,.37147126,.37342483,.38774157,.38235301,.38884425,.37032712,.36574733,.34972951,.36899155,.36983761,.37149507,.35532475,.35879859,.34386706
.2664668,.26710284,.26948264,.26931405,.25115097,.26497895,.26751411,.2481411,.26468673,.25101697,.26457977,.2393343,.25697625,.26417527,.23852105,.24375141,.24280314,.26826784,.23429561,.22828023,.24383046,.22869168,.23064178,.21901618
.34928212,.34801871,.3607623,.33628023,.34507987,.35254177,.33706376,.34172589,.34176016,.32220015,.30158612,.34974554,.32224423,.34116656,.32705337,.30191776,.33689898,.31781122,.2835246,.3065908,.35331243,.31701404,.33423933,.26872876
.29155946,.29196954,.28769019,.28664944,.28785986,.28481072,.28773555,.27882347,.28188935,.28273338,.27341482,.27898365,.27563247,.26981163,.27488625,.25913307,.26764047,.28449568,.25804487,.26881114,.25546822,.27171922,.26202509,.27085477
.22751319,.22295269,.2255441,.2280504,.22668709,.22205397,.22618374,.22154035,.21328062,.21602647,.2063521,.21484672,.21296777,.21863002,.22331393,.2160975,.20825192,.20158564,.21345872,.21303225,.20638998,.19698872,.21664779,.22442473
.60753471,.60554272,.60550082,.60115868,.6012544,.60201579,.57354951,.572312,.58806205,.57987505,.57885224,.57675815,.56648588,.5582068,.56849098,.57005006,.56891149,.56295002,.56002432,.53732908,.56076854,.53902566,.54740822,.53398579
.19691522,.20142567,.18422616,.20838067,.20890225,.20207642,.18117073,.18682522,.17793718,.20137407,.19032715,.19574748,.20270456,.17252305,.18180934,.18925472,.17249946,.18343189,.19918035,.18051399,.16709028,.19159462,.20393576,.20014906
.59444785,.59365082,.58673739,.59221327,.57359076,.56162852,.57507408,.56946987,.58881444,.57193583,.56520993,.54953033,.56448925,.55780387,.55668235,.55411023,.53468615,.5694986,.55429351,.50795585,.5280183,.52510232,.49125403,.52174312
.36042517,.35305148,.35633934,.34714723,.36559501,.36202317,.3340286,.35008538,.33760202,.36538789,.36372119,.31808573,.35168591,.33738175,.34440348,.28632051,.35238713,.3491765,.32753184,.37643749,.32588798,.31544033,.28994855,.29831463
.46403202,.45964548,.46728948,.46221727,.45981836,.45502165,.43777168,.43504536,.44753423,.46120891,.4361383,.43663126,.435936,.43865791,.42997143,.4396925,.43326953,.4300898,.39950219,.423062,.43150181,.42968017,.39731234,.3958388
.22355045,.22032699,.21335974,.2162611,.21827962,.21282136,.20884787,.2177489,.20646311,.21849236,.20779927,.23300877,.23925219,.20644918,.24258135,.17460591,.22829512,.2153869,.17877293,.20096689,.20623438,.19537503,.20342001,.18834205
.62890965,.62911028,.63484854,.62284732,.60229647,.61807114,.60571808,.61302042,.59374666,.58624804,.57768518,.61239034,.58768523,.59791797,.60049564,.55768281,.6014483,.59581321,.57120442,.55771184,.54060203,.54450911,.54448795,.55287087
.41714478,.41590199,.41387349,.40883085,.41081446,.41499111,.40174809,.39912957,.39697126,.38865784,.39862552,.40052781,.3850278,.38556665,.40036723,.40038851,.38250175,.39827105,.38397041,.39341372,.38039303,.37388909,.38097125,.35886148
.27187109,.2653814,.27672982,.27406028,.26889259,.25990993,.26290897,.253741,.25839436,.25448179,.26084512,.26258451,.26598549,.2631382,.26050287,.22911951,.24944636,.27041233,.25142285,.26528853,.26179814,.22773415,.25766915,.23820481
.21417709,.21457984,.2164578,.21214077,.21524116,.21433592,.20595191,.20664315,.20117749,.20011652,.18905053,.18685879,.20422055,.20053653,.19269477,.18773803,.18847428,.20860347,.20270799,.18279605,.18716671,.19897133,.18782869,.2104498
.35561469,.35344654,.35014331,.35890236,.36438012,.3695187,.35204455,.34085867,.34783697,.3304469,.34132919,.33311084,.31905219,.3373313,.308184,.32200733,.31403375,.35210076,.29834083,.31551811,.33125758,.33033952,.30710775,.31824064
.2184349,.22431381,.22264417,.22654149,.20658022,.22673264,.2084579,.21278454,.2048021,.21631585,.21883079,.20990907,.20972489,.20365922,.20434248,.21977654,.19232528,.19566028,.20148271,.19492775,.18878925,.21092096,.20491652,.17980242
