se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.67813092,.67542255,.66932571,.66491222,.66661125,.65653098,.66215432,.66292536,.65030748,.6567173,.6427502,.64907205,.63252527,.64400214,.64847159,.61030549,.61931294,.62357438,.64075953,.59983677,.61209077,.56843299,.5986985,.59248662
.64799982,.64588934,.64617658,.62655181,.64017743,.6308226,.63500625,.63633591,.61937219,.62647152,.63476807,.59779787,.58069241,.61332947,.60393691,.61478013,.61178368,.57858634,.55066484,.60507846,.60118252,.60274947,.55320662,.58212411
.28211811,.27502722,.27717584,.27610388,.27765319,.27562061,.27736893,.27691141,.25712025,.2469829,.26596135,.2548399,.2563538,.28452343,.28058794,.24737655,.27621174,.24540244,.25555801,.26401958,.26211441,.28988999,.2315585,.2635822
.75301564,.75442666,.73884636,.7293303,.74390393,.72835845,.75240552,.73536903,.70941621,.74317867,.72717792,.69587028,.70956808,.74096966,.69143862,.67599809,.69315487,.70669436,.67043507,.68283254,.65525442,.70663494,.65475851,.67017657
.65079719,.65114206,.65512794,.63908428,.62544596,.64946103,.61771226,.64076775,.62155318,.66490436,.6395601,.61923546,.62017393,.62030053,.61019051,.58119512,.60942179,.59654462,.55756497,.60171533,.53136641,.55834234,.56088221,.57769501
.55953825,.56205338,.55970049,.56821096,.54080015,.55466199,.54699558,.54248667,.5317446,.52740741,.52085853,.55418944,.52362961,.51590967,.51920426,.52772838,.49089482,.5065406,.54997289,.46737966,.51023108,.52882463,.48161691,.4793826
.82601297,.82406539,.8163318,.81568766,.81361938,.80809391,.79684407,.81878072,.801588,.80236834,.75714922,.75191826,.75122255,.7779544,.79069895,.75775224,.76122028,.73772037,.74613434,.72361261,.73953271,.68820244,.76039582,.70744556
.30708861,.30744424,.31339568,.30048683,.28287074,.3165389,.30315745,.27583894,.31281552,.296013,.30154237,.27552652,.27931398,.27948162,.29749599,.2894789,.27355096,.31229964,.27423456,.2823858,.2565285,.27610096,.25572878,.26909441
.50204402,.4948948,.50680071,.49219158,.49192992,.49554759,.47956485,.48825201,.47352758,.48075864,.49352732,.48142332,.50088447,.46337029,.46256283,.47470799,.47304428,.45330453,.48127681,.44385362,.47427011,.46173573,.48023164,.44167221
.26125491,.26082781,.25557175,.26361629,.26584235,.24876361,.24669459,.24617709,.23761901,.26839554,.25496188,.23723909,.24958564,.24058942,.24845029,.20842811,.24696511,.25589952,.23659474,.23080485,.22637716,.2375216,.24792063,.2396844
.80643725,.81126434,.79266989,.80110502,.7929489,.79169339,.7875126,.78473794,.77824414,.76860952,.7381987,.74454856,.75414205,.76210213,.75109625,.73841113,.75195277,.74204886,.76899487,.75198531,.73185253,.7157079,.74096012,.75915098
.4102127,.4037005,.40522876,.41463917,.3962926,.39470103,.38278422,.39160317,.39005786,.38983023,.37618801,.37324503,.36511961,.37592408,.39956054,.37873799,.36129752,.40435603,.3873103,.375595,.37936082,.35271949,.36521977,.35169941
.41608393,.41250402,.42302012,.40590981,.40517867,.38920864,.39999178,.41306841,.40836719,.37771618,.39254108,.39574903,.37945771,.40440571,.3845773,.38296834,.41982657,.3626363,.3627992,.38061306,.36869016,.36771855,.30920815,.3409667
.9346965,.93250453,.91758251,.92344934,.92846304,.92207414,.91822278,.87241912,.86212963,.88844347,.87955737,.88942474,.85568476,.87030077,.84729624,.86714709,.85839468,.91247982,.87037683,.80107951,.84396976,.81730509,.8060891,.82384151
