se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.1428696,1.1343806,1.1329156,1.1323905,1.1264646,1.1187073,1.115219,1.1069331,1.1006639,1.102852,1.0815369,1.071279,1.0883334,1.0560808,1.0554289,1.0660638,1.0519394,1.0446612,1.0216689,1.0317113,1.0270756,1.0296736,1.0012131,1.0328971
1.2198293,1.2141918,1.2083795,1.2104406,1.1944188,1.1898279,1.1760944,1.1878778,1.1752104,1.1706136,1.159451,1.1496621,1.1456105,1.1537277,1.1313826,1.1273308,1.1022623,1.1181924,1.1157824,1.1013889,1.0927601,1.1060102,1.0870161,1.0901817
.997015,.99178451,.9901523,.98045021,.9793179,.9713853,.97047561,.96767265,.96634334,.96101671,.94369686,.93641591,.94145012,.942545,.92571342,.92282283,.92924583,.90170032,.90426779,.89605254,.89726532,.89473987,.89471912,.88868612
1.1776204,1.168987,1.1606218,1.161803,1.1485069,1.160754,1.1371832,1.1414102,1.1180271,1.1257617,1.1245148,1.1197085,1.0948006,1.0949682,1.0921667,1.0947893,1.0876884,1.0812627,1.0828973,1.0591639,1.0520167,1.0477308,1.0586226,1.0478331
1.0246512,1.0166142,1.0181255,1.0005866,1.0097665,.99691278,.99277389,.98947597,.98132622,.98610145,.9751671,.97163963,.95740867,.9593997,.96991855,.94528043,.95025569,.94838142,.92937636,.94388407,.92589819,.93005478,.92305541,.92382663
1.0073948,1.0078465,.99599612,1.0016165,.98884988,.99261647,.99598259,.98192924,.9675945,.96924424,.97450191,.95310688,.93432432,.96202582,.93178684,.93223697,.932055,.91545743,.91763037,.92592913,.91541892,.89738005,.88520592,.88229334
1.2931132,1.2872342,1.2792277,1.2697624,1.2638052,1.2598585,1.250982,1.2560827,1.2453858,1.2383314,1.2338978,1.2259437,1.2166661,1.212648,1.2037966,1.2025297,1.2006298,1.1939762,1.1942422,1.1581702,1.156682,1.1677021,1.160797,1.1413491
1.5972708,1.5897466,1.578271,1.5691007,1.5675118,1.5625837,1.5539671,1.5487713,1.5390543,1.5288786,1.5153657,1.4998981,1.4970388,1.4903213,1.4946406,1.4783527,1.4570712,1.4555473,1.4417491,1.4567399,1.4369004,1.4470607,1.4378929,1.4141165
1.5367186,1.5294309,1.5218406,1.5113912,1.5087708,1.4997635,1.4929621,1.4898913,1.4754786,1.4602886,1.4588604,1.4431473,1.4504257,1.4369018,1.4282672,1.4264894,1.4114243,1.395974,1.4007083,1.3891151,1.3786495,1.3844081,1.3737445,1.3601798
1.2872945,1.2827655,1.276082,1.2642146,1.2581882,1.2587857,1.2503246,1.2479711,1.241117,1.2203306,1.2297807,1.2131352,1.2010566,1.2220274,1.2068853,1.1779948,1.1681446,1.1947719,1.1746241,1.1619232,1.1496065,1.1719083,1.1390094,1.1228749
.99049354,.98217547,.9805848,.97665936,.98487347,.96189636,.96105087,.9526422,.94356161,.95287228,.94875956,.9312166,.93213964,.93167973,.91543019,.92525047,.93994421,.89229321,.91443676,.90580386,.89957649,.89009553,.89377075,.89692271
1.3296171,1.3225728,1.315377,1.3096058,1.3065617,1.2983651,1.2859509,1.2845012,1.2804289,1.2689672,1.2613764,1.2461456,1.2422662,1.2457218,1.2411585,1.2344285,1.2236669,1.2273301,1.2035478,1.2087331,1.195585,1.1894335,1.1760619,1.1756229
1.1684068,1.1657803,1.1540741,1.1533145,1.1522411,1.1485337,1.1361301,1.1191719,1.1306565,1.1214395,1.1104722,1.0984001,1.0949955,1.0924288,1.0817959,1.0741956,1.0914388,1.0794245,1.0676533,1.059509,1.0522548,1.0528954,1.0545868,1.03219
1.0214765,1.0210249,1.014578,1.0049921,.99146312,.99397427,.99473333,.98502767,.98310375,.9767825,.96915692,.9693653,.95826888,.95093632,.95452929,.95598316,.94376695,.9366017,.92781383,.9306559,.92981011,.90522408,.90350598,.90568405
1.1590974,1.1527375,1.1482444,1.1386275,1.1431724,1.1352936,1.1212265,1.1261698,1.1053641,1.1050246,1.0951239,1.1054775,1.1003735,1.0922316,1.0737234,1.0760825,1.0726278,1.0669793,1.0510279,1.0661049,1.0445358,1.0392087,1.0206268,1.0282321
1.0930747,1.0897479,1.0860246,1.0677059,1.0801852,1.0685509,1.0471916,1.0629263,1.0521349,1.0436597,1.0557936,1.0164652,1.0259188,1.0046456,1.0097662,1.0108291,1.0284618,.98924017,.99103135,1.0141038,.99740541,.97425026,.98325443,.9685719
1.4321846,1.4241685,1.418011,1.4112889,1.4059428,1.3989885,1.3840364,1.3857231,1.3750709,1.3664401,1.3590338,1.3512125,1.3514099,1.3381703,1.3355013,1.3293536,1.3175418,1.3010418,1.3083249,1.2978412,1.2877508,1.277866,1.2800565,1.2678684
.95673102,.95145434,.94737452,.94273067,.93949836,.92922145,.92638326,.9200232,.91821259,.91128504,.90547174,.90409505,.90449774,.89282364,.88779467,.88588071,.87597382,.87650132,.87420559,.86091584,.8622511,.87267452,.84252703,.85858995
.98627955,.9838376,.97540015,.9682436,.96572596,.96515751,.95716274,.9545489,.94409919,.94879836,.9303869,.93011183,.92985672,.92141968,.93576461,.92120552,.92566228,.89982396,.89320803,.89762914,.89036113,.88820583,.85531783,.87850159
