se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.83298582,.82795411,.82936525,.82692695,.8197822,.81804651,.80987412,.80267316,.81818938,.79996824,.79078293,.78994757,.79187059,.76574391,.77918386,.76899505,.77196038,.75321329,.75380927,.76898485,.75058389,.7429806,.73261094,.7578941
.96724075,.96239763,.95773679,.94870597,.94458419,.942936,.93138641,.93963701,.94042856,.93217897,.91886866,.9104749,.91507751,.91162145,.89333844,.88238543,.88985205,.88632709,.87022781,.87686414,.8722949,.86211914,.86109006,.86076027
.84519696,.84115076,.83704907,.83192462,.82888824,.82236695,.82189298,.82363433,.82422811,.81828517,.80653656,.80014747,.7926445,.79725188,.78848249,.7787466,.78748584,.76715368,.77110451,.76193315,.75493425,.76154393,.75809789,.74800444
.86894369,.8619073,.85889614,.85688436,.85659945,.85762697,.83756053,.84098923,.81666541,.83577573,.82881349,.82307696,.80499047,.81241822,.80753785,.81410199,.80412316,.78846395,.79072398,.78600466,.7703979,.77464718,.781977,.7802825
.9138248,.90654904,.90255487,.89379656,.89922005,.88944602,.8852244,.88709939,.87754351,.87107408,.87922752,.86366135,.85470867,.84831446,.8575415,.8501004,.84794974,.84454912,.83385032,.84236091,.81948262,.83175516,.81235439,.82899106
.74829,.74912006,.74446082,.74417603,.73807365,.73273265,.73651338,.72651106,.72080344,.71981716,.72324514,.7060234,.70084637,.7158277,.69623023,.68612599,.69448119,.69408011,.67455649,.68164092,.68127638,.67103451,.66172421,.65897483
.75366634,.75095457,.74145776,.73749644,.73625565,.73542023,.72869998,.74114048,.72599357,.72780138,.71674645,.7109887,.71025497,.7100473,.70476478,.70247883,.70433646,.70027918,.70983618,.66191918,.66532171,.68312091,.68064576,.6594429
1.2131901,1.2058007,1.2012563,1.1948777,1.1834286,1.1863396,1.1905955,1.1660596,1.1678694,1.1550661,1.1531613,1.1473219,1.146221,1.1356652,1.1335007,1.1269646,1.1181337,1.0997798,1.1028943,1.1110111,1.1023163,1.0834675,1.0810664,1.0579486
.99081987,.98823416,.98008114,.98378605,.96996921,.96762639,.95411128,.95702523,.95389134,.95152384,.93743539,.94097471,.93151462,.92501986,.93246067,.90913248,.91443938,.9048627,.8955887,.90916014,.88940954,.89391381,.89127731,.88657582
.7704109,.76689482,.75934196,.75451082,.74936962,.75404286,.75603515,.75376594,.73885077,.7253145,.74445564,.72011536,.71666181,.74100429,.72337389,.70914656,.68371421,.71456027,.7006036,.70434499,.67648858,.7178551,.68266642,.67386526
.79080743,.78539962,.78309441,.77815777,.78733534,.76769561,.76498967,.76055288,.75905758,.75395739,.75793719,.74365282,.74225718,.73588955,.73172796,.73240781,.75593948,.70810205,.72943705,.71542174,.71578741,.71459526,.70776373,.71496111
.84493256,.83766776,.83347762,.8337552,.82591081,.82552499,.81657547,.81662881,.81881273,.80760807,.79493988,.78221267,.78827763,.7928074,.78443801,.77769482,.78355098,.78859836,.76067072,.76669824,.7564013,.74691576,.74628383,.75328761
.90554589,.90114295,.89215112,.8964386,.89114743,.89146262,.87921339,.86615103,.87322193,.87285852,.85466194,.84586823,.83534455,.83697581,.82695907,.83325428,.84856445,.83594221,.82160366,.81884921,.81189728,.81407619,.82184643,.80807179
.83716124,.8320263,.83255613,.82104576,.813811,.81371987,.80999988,.80856502,.80419862,.801094,.79478747,.78821731,.79220825,.78385228,.77810591,.78338987,.76369309,.76378787,.7604121,.75757217,.7540471,.72903574,.74925488,.73223591
.88106924,.87874722,.87424797,.86445844,.86827177,.86064297,.850133,.8567462,.84322137,.83693027,.83417189,.85137087,.8353892,.82320946,.80652189,.81769651,.83053428,.80310255,.79595488,.80537212,.80079967,.78466928,.78030866,.77855778
.96283734,.95971096,.95246792,.943928,.95569724,.93976074,.92093217,.93019217,.91654027,.92026603,.93256414,.88935053,.90728992,.89849836,.88918281,.89723712,.90000385,.87123936,.8720361,.8837139,.87363511,.85961503,.8677898,.84748322
