se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.72735578,.7217105,.72251248,.7238813,.71607196,.71281749,.71091133,.70321077,.70821309,.70546675,.68360227,.68416381,.69330639,.66263556,.67621243,.67440921,.67242104,.65598428,.65416831,.66242003,.65980124,.654827,.62668628,.67521691
.85343426,.85057229,.84523678,.83821535,.83418697,.82855684,.82482094,.83071637,.83405828,.82664245,.80861962,.80321968,.79982311,.81408381,.78936481,.77199805,.77765048,.77736026,.76663345,.77456832,.76834428,.76457787,.75957787,.76780427
.87651092,.87168717,.86765808,.86283821,.85765493,.8534261,.85311091,.85109711,.84983385,.84866858,.83686197,.83185714,.82571113,.83092594,.81388301,.80747002,.81861055,.79028368,.79884094,.78768742,.78423303,.7867682,.79389578,.77286226
.8249824,.81801122,.81331366,.81386691,.80872262,.81727916,.79403478,.80030692,.77485532,.79407787,.78860915,.78576797,.76108617,.7708593,.76617873,.77243537,.76420426,.75441718,.75759041,.741943,.73320329,.73197842,.74607402,.73702395
.79962784,.79289901,.78912646,.78059912,.78824484,.77601421,.77517509,.77814317,.76928008,.76547146,.76946115,.75608331,.74172366,.74174839,.75112659,.74074918,.74126685,.7403512,.72594446,.74483305,.72065681,.73186678,.71165669,.73502421
.75000393,.75117427,.74555022,.74570596,.73926806,.73512977,.73735011,.72769368,.72169352,.72050673,.72584337,.70617503,.69905096,.71839309,.69557357,.68784547,.69606531,.69355208,.67311227,.68268079,.68286604,.67132169,.66425866,.6603058
.7090885,.70705217,.69818914,.69363052,.69010055,.69236988,.6861648,.69680309,.68426454,.68340266,.67672807,.67008567,.66571254,.6664623,.66355515,.65838373,.66344583,.6582278,.66381413,.62149203,.62651193,.638919,.64186686,.61829323
.79228777,.78894138,.78408939,.78149325,.76717639,.77551836,.78739297,.76496458,.76269686,.75846905,.76199794,.74923444,.74619246,.73831588,.74113995,.74701494,.72972149,.71568775,.71743131,.72491425,.71956301,.71534699,.71099937,.69266671
.77051109,.76919812,.76232135,.76055026,.75566685,.75804204,.74473065,.75022644,.7375896,.73788756,.73055446,.72085792,.72784585,.71790493,.72104663,.70985317,.70666623,.68681729,.70101041,.69710827,.68883401,.70320511,.70458186,.6855641
.80291826,.80013901,.7915414,.78579569,.7820012,.78530115,.7869885,.78559887,.77077228,.75126576,.77503508,.74943334,.74199402,.77221602,.75564075,.73710012,.71862954,.74887979,.72960716,.72772759,.70965052,.75246388,.71279824,.69133824
.77027678,.76449424,.76181549,.75771952,.76736963,.74689722,.74642909,.74100626,.73850501,.73400635,.73721528,.72434199,.72487319,.71762288,.71216154,.71441251,.73989296,.68085313,.71698427,.69900316,.70055592,.69576293,.69154358,.70280713
.75650793,.75052983,.74806064,.74374527,.74270487,.74091047,.73061067,.73737079,.73547757,.72046983,.71404499,.7034182,.70694619,.71170115,.71042126,.69832987,.70879555,.70180869,.68175334,.6889329,.67622036,.66578531,.66757065,.6615622
.81590611,.81331235,.80173749,.80549413,.80101138,.80650312,.78967887,.7749849,.78141165,.78832459,.77024591,.7674467,.75202948,.75000292,.73901606,.75159818,.76541984,.7585901,.73938888,.73896986,.7363236,.73095489,.73774415,.72656876
