se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.1931503,1.1867211,1.1855807,1.1788322,1.1810939,1.1600559,1.1525511,1.1549172,1.1636064,1.1306604,1.1335859,1.1369038,1.1258206,1.1085689,1.1101106,1.0984862,1.1167103,1.1077853,1.1198151,1.1681857,1.0967925,1.0537177,1.0893407,1.0373834
1.0794777,1.0755768,1.0628171,1.0782026,1.0516664,1.0460093,1.0473564,1.0554222,1.0624132,1.0234367,1.0427179,1.001312,1.0232365,1.0165113,1.0096859,.99333042,.97653866,.99471915,.98736584,1.0102916,1.0004482,1.0281522,.95670176,.95198458
.96925521,.94914776,.94866449,.96043515,.9523744,.95153761,.9457767,.96007347,.94883931,.94546521,.91487873,.9445647,.92195952,.88664013,.91457474,.8859691,.93289745,.90217024,.89058012,.90824103,.88796443,.80476081,.87209982,.88037014
1.1142226,1.1098527,1.080918,1.1104269,1.1063689,1.0880147,1.084558,1.0540581,1.0973092,1.0465702,1.0585773,1.066258,1.072684,1.0434572,1.0457652,1.090358,1.1162015,1.0559583,1.0012087,.99930209,1.0045114,.97130561,.97141218,.99963337
1.1535929,1.1481546,1.1189383,1.1308818,1.1485372,1.1134114,1.1187562,1.0943391,1.1112921,1.0728441,1.1239573,1.0774791,1.0863807,1.105864,1.0756105,1.0957125,1.0643055,1.0340189,1.0429974,1.0463686,.96192944,1.0696267,1.0120627,1.0272747
1.1505083,1.1420226,1.1577461,1.1390854,1.1234416,1.1250205,1.1137309,1.103242,1.0767281,1.0888804,1.0711353,1.0742273,1.0339758,1.0870272,1.054021,1.0417877,1.065763,1.0188453,1.0838262,1.0417196,.99144447,.9875319,.98028928,.98884547
.93927091,.94306278,.94384116,.94312078,.93044519,.92694718,.92631865,.91521907,.90389293,.88271821,.85809863,.90278351,.8731463,.89494878,.88537437,.86028153,.87128806,.86884642,.84735346,.8682161,.81446505,.83890808,.82739836,.86317086
1.4944329,1.4783552,1.4842774,1.4845266,1.4607506,1.4777793,1.4547265,1.4639419,1.4220858,1.4205302,1.4099957,1.4388592,1.4163719,1.3809063,1.3400059,1.4133034,1.3721799,1.3792664,1.3732506,1.3418117,1.3740512,1.3824712,1.3229541,1.3344136
1.1600014,1.161626,1.1413912,1.143471,1.1367223,1.1081074,1.1170876,1.12371,1.1239567,1.1107434,1.125477,1.1015592,1.0818452,1.1150098,1.0649575,1.0565786,1.0684237,1.0607033,1.064773,1.1026821,.98611093,.99703676,1.0774207,1.027189
1.5261075,1.5165806,1.5153334,1.5045891,1.4977371,1.4950174,1.4766756,1.48606,1.4693588,1.4824786,1.4531242,1.4269861,1.4531695,1.448882,1.4157919,1.4086666,1.384842,1.3971126,1.3978597,1.3866643,1.3984107,1.3807768,1.3560766,1.3773611
1.3602904,1.3560899,1.3504751,1.34626,1.3318057,1.3317826,1.3221639,1.3172572,1.3091162,1.2855852,1.3045337,1.2865411,1.2669616,1.2725868,1.263478,1.2739772,1.2519137,1.2756859,1.2446775,1.2365513,1.2330186,1.2495341,1.2002027,1.2170486
1.2318996,1.2293586,1.2144816,1.2205468,1.1988513,1.2087538,1.2117127,1.1660274,1.146453,1.1723922,1.1774013,1.160643,1.1362795,1.1416718,1.1396701,1.1490415,1.1147993,1.1548524,1.1188698,1.1363556,1.1199369,1.1239357,1.123389,1.1477704
1.0692836,1.0690572,1.0604028,1.0621078,1.0400927,1.0461249,1.04238,1.0332968,1.0340878,1.054253,1.0436807,.99534041,1.0126848,.97903776,1.0225294,.969935,.97546053,.97309995,.97580117,.95369411,.97086102,.97292721,.97063434,.90106237
1.0531776,1.0412844,1.0341516,1.0366025,1.037277,1.0835447,1.0363579,1.0468717,1.012069,.98891765,1.0144911,.98369455,1.0240899,1.010839,.97748053,1.0149598,.98757172,.95372319,.93558198,.92183483,.99169964,.99260575,.9491207,.90838313
.77299678,.76549041,.77775949,.76650012,.76716107,.74079698,.78495991,.74903083,.78617203,.7618109,.75091857,.73048669,.76723439,.75173688,.70691299,.70793945,.70908105,.73388404,.73163551,.76324254,.7181856,.74136323,.68762755,.71193874
1.2633442,1.2546812,1.2466027,1.2464608,1.2528342,1.227212,1.2354676,1.2250365,1.2146335,1.195457,1.1904697,1.1724718,1.1879945,1.1630316,1.2155046,1.1887009,1.1550815,1.1531931,1.1690521,1.1747094,1.1620425,1.1411545,1.1254262,1.1380818
1.2120609,1.2033458,1.204712,1.1854925,1.1983081,1.1713595,1.1700908,1.1553658,1.145362,1.1597506,1.1587337,1.147758,1.1573783,1.1417673,1.1071547,1.1391871,1.1046629,1.0994961,1.1244633,1.132141,1.056374,1.0700233,1.1058105,1.056495
1.0760223,1.0644114,1.0663412,1.0591916,1.050077,1.0783176,1.0468727,1.0545042,1.0419317,.99360573,1.0201194,1.0536176,1.0124232,1.0376368,.99823695,.97417563,.99990416,1.0056192,.95444977,.96038109,.97179985,.94665247,.92648596,.99811339
1.220904,1.2069134,1.2143306,1.2118254,1.2011582,1.1831324,1.2047696,1.1552594,1.1932158,1.172377,1.1451908,1.13625,1.1413977,1.1559706,1.0850919,1.1141384,1.1474649,1.1582896,1.084146,1.1014365,1.0777562,1.0743392,1.0678904,1.0510485
1.1378177,1.1356593,1.1357838,1.123384,1.1193421,1.100639,1.1078087,1.105269,1.0859787,1.1004565,1.0795603,1.0958104,1.0774901,1.0849283,1.0374608,1.0476557,1.0158966,1.0568612,.99501985,1.0717837,1.0249122,.98024124,1.0480753,.99805695
1.3189478,1.3118021,1.3105061,1.2954315,1.2856319,1.2490656,1.2649142,1.2831583,1.2428675,1.2683086,1.2740498,1.2911227,1.2361479,1.2545407,1.2204205,1.2231426,1.178268,1.2115774,1.2369523,1.2257371,1.116392,1.2111849,1.1639209,1.1979301
1.1544749,1.1446912,1.1558281,1.1370845,1.1281338,1.1368333,1.1363716,1.1142693,1.0962071,1.1583223,1.1074866,1.0748891,1.1076038,1.0740685,1.0553858,1.0754652,1.0966154,1.0709046,1.0655961,1.0511665,1.0696707,1.008932,1.0542386,1.0256373
1.0698565,1.0643997,1.0665123,1.0452514,1.05267,1.0274185,1.0455509,1.0224153,1.0309919,1.0221727,1.0354333,.99978167,1.0162134,.99031097,.97247517,.97362626,1.0029368,1.0003929,.9930073,1.0019015,.98071915,.97510785,.98594385,.9254629
1.0710227,1.0844975,1.080809,1.0707556,1.0489457,1.0500944,1.0356511,1.0036253,1.0205817,1.06196,1.0193141,1.0594054,.98162276,.99527675,1.0080634,.99410969,.9810937,.97625071,.98847467,1.0016676,.98766428,.97612745,.98755944,.9502905
1.0655518,1.0616614,1.0556951,1.0686791,1.0399282,1.0282222,1.0509856,1.0449383,1.0155962,1.0423363,.99854457,1.0334765,1.0258472,.97994334,.98910791,.98166615,1.0144697,.98991591,.95970249,.96662253,.98661423,.96602553,.95075852,.93267971
1.159041,1.1559155,1.1599691,1.1355346,1.1546593,1.1450452,1.1359004,1.1208025,1.1051452,1.0963478,1.0854663,1.1122731,1.0978367,1.0516173,1.0357255,1.0146966,1.0423738,1.0929451,1.096595,1.0657327,1.1014808,1.0131284,1.0418495,1.0489697
1.4072978,1.3991491,1.3899109,1.3891158,1.3519368,1.395121,1.3695347,1.3728371,1.3382269,1.3706686,1.3644757,1.3117467,1.3323559,1.321818,1.3511088,1.2596068,1.3460466,1.2937309,1.3267579,1.2893276,1.2750307,1.2788434,1.2994788,1.2550831
1.2395136,1.2232411,1.2447968,1.1861634,1.2146019,1.2147739,1.2222657,1.2280804,1.2028074,1.1892892,1.2186013,1.1812197,1.164973,1.1810565,1.1442814,1.1416306,1.084757,1.1123024,1.1239334,1.1209015,1.0947511,1.1287451,1.1302699,1.1064734
1.0248215,1.0139526,1.0271777,1.004444,.99094629,1.0105298,1.0167644,.99293339,.96121615,.98454177,.9702611,.94349998,.98694271,.95635962,.9412722,.95558792,.90909278,.95438695,.92995816,.954786,.92617351,.96668756,.91176862,.95452768
1.5132544,1.5067526,1.4848306,1.4785018,1.453137,1.4878695,1.458483,1.4803526,1.4486508,1.44023,1.4149497,1.4049803,1.44827,1.4396306,1.4242496,1.3970511,1.422839,1.4147457,1.3522772,1.3379244,1.4043825,1.3193766,1.3813487,1.3587267
1.7626535,1.7553028,1.7436316,1.7430221,1.7309117,1.7247626,1.6988324,1.7108438,1.712384,1.6951444,1.6631075,1.6683033,1.6635238,1.6313956,1.6432861,1.6580306,1.6149915,1.6279253,1.6122044,1.5827374,1.6355716,1.5822514,1.5630614,1.5529381
.82057625,.81192726,.80578893,.81385118,.80099148,.80913377,.78809452,.78768349,.78546673,.77914929,.77412534,.78432643,.75958645,.76970285,.76277125,.73429197,.78906149,.7685796,.74951452,.7470181,.73524338,.7491985,.72998989,.73275441
1.4190191,1.4066435,1.3913217,1.4044038,1.3966002,1.3951474,1.3688626,1.3571942,1.3659052,1.3778613,1.3503394,1.3483202,1.3511304,1.3356489,1.3433293,1.3338674,1.2809839,1.3079976,1.2877935,1.2615503,1.2475636,1.2456818,1.2566876,1.2736899
1.104429,1.0991683,1.0878714,1.0805389,1.0907021,1.0927888,1.0944262,1.0530245,1.0251876,1.0894449,1.0636079,1.0425822,1.0531948,1.0053432,1.024505,1.0173023,.98767614,1.0255352,.98603463,1.0264026,1.0160402,1.0840592,.95718628,1.0065435
.99979055,.9910478,.99245405,.99978685,.98706001,.95914131,.96447754,.96698904,.97521877,.95155728,.97029799,.94053465,.92940724,.94809848,.95749801,.942617,.92570496,.91377455,.89503443,.88513952,.91354775,.89628637,.90013647,.89742798
1.257719,1.2432832,1.2609833,1.2388041,1.2516493,1.2342002,1.225871,1.1812106,1.2109896,1.2202073,1.2268883,1.1882883,1.1989278,1.2117743,1.1606648,1.1207588,1.1895478,1.1537199,1.1617802,1.1283464,1.1389449,1.1433178,1.182286,1.1412718
.96027106,.95708323,.95746487,.96232939,.94181311,.93400341,.91102487,.90813524,.95059705,.93863428,.88182831,.90919,.87922263,.92181236,.92578775,.88326877,.88859826,.875597,.90957266,.87541151,.88299555,.86309862,.83003634,.85820466
1.1249199,1.1303155,1.1075295,1.11412,1.1016852,1.1242449,1.0870247,1.1044176,1.0912989,1.1057539,1.0398269,1.0574237,1.0639465,1.0637,1.0509528,1.0267843,1.0452942,1.0225651,1.0452883,.91101956,.99859118,.98634183,1.0684842,.9983657
1.4234051,1.4180708,1.4138048,1.4109596,1.4167994,1.3846296,1.3810288,1.3628371,1.4176435,1.3496821,1.3656499,1.3654592,1.3885167,1.3294141,1.3352326,1.3429371,1.2953409,1.3616054,1.3024069,1.2425849,1.3083878,1.2936068,1.2508647,1.2392564
.76256746,.76625669,.7354604,.74661767,.7702077,.75068992,.73969519,.7288388,.75550723,.75820333,.75491726,.72462964,.75184846,.70449132,.75886202,.70781511,.67191428,.68891394,.66847497,.73559612,.67630243,.70739299,.69893533,.69052941
1.1613714,1.1463201,1.1533753,1.1306742,1.1555183,1.1382645,1.1315337,1.1068419,1.1241927,1.0901346,1.0661808,1.0945866,1.1119394,1.0284332,1.0542047,1.0482965,1.0997878,1.0528947,1.0947365,1.0267916,1.0863137,1.0743649,1.0567139,1.0806056
1.2955966,1.2872864,1.2870635,1.2831088,1.2696991,1.2650629,1.2650592,1.2336109,1.2485304,1.2406175,1.2613726,1.2439691,1.2075677,1.1818521,1.2070466,1.2163726,1.215289,1.1726345,1.1842351,1.2240123,1.0947233,1.1521051,1.1548792,1.1563183
1.6336603,1.6282938,1.6042825,1.6085064,1.5761669,1.5953423,1.5880337,1.5813886,1.5698856,1.5565213,1.5491543,1.5620792,1.5445622,1.5273994,1.4876488,1.5089239,1.51454,1.4513131,1.4851909,1.5371293,1.494628,1.4924763,1.455947,1.4704
1.0128344,1.0024132,1.0122753,.9943592,.98331046,.99521995,.97580618,.97038275,.95610023,.99316001,.96132511,.93247145,.97870851,.94528347,.92150688,.94212621,.937536,.93401068,.92719501,.93859422,.94153786,.88849258,.90226388,.93649685
1.0534664,1.0421199,1.0592941,1.0432738,1.033711,1.0195265,1.0532601,1.0207447,.98419005,1.0394989,.96329117,.99755853,.98857057,.96754771,.98724121,1.002351,1.03671,.92707425,.98454028,.96126771,1.0080265,.96124887,.95198816,.93838179
1.3081727,1.3059348,1.2965591,1.2716672,1.2823205,1.2720094,1.2816445,1.2482808,1.2603862,1.2510015,1.2518578,1.2334452,1.2638137,1.2170168,1.2043246,1.2284321,1.212517,1.2204232,1.1843596,1.2105969,1.1816139,1.1635244,1.1588436,1.1650236
.9849413,.97879982,.96841937,.98503178,.97679442,.96515036,.93359375,.93395036,.95272058,.95164984,.95576286,.95671511,.93193656,.92636001,.92925429,.95034534,.93025088,.90959418,.91971684,.89876443,.8898266,.87702996,.8782618,.88926256
1.1267724,1.1228819,1.1127445,1.1144681,1.0978348,1.1008431,1.1102593,1.1045744,1.0937482,1.0681884,1.0675266,1.0647683,1.0698612,1.0358757,1.0607924,1.0395129,1.0446236,1.0566494,1.0616246,.99260771,1.0064392,1.0427833,1.0031493,.96375561
.85243297,.85246682,.83225876,.83822089,.84272099,.80498564,.82551384,.8123982,.84708577,.82756579,.80593556,.81637782,.79958433,.72706074,.8206023,.80982691,.79961139,.77740055,.77066201,.81513858,.77625418,.74423438,.76659697,.79509491
