se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.2257081,1.2250246,1.2170783,1.1994745,1.2063364,1.1953306,1.1770586,1.1990001,1.1689737,1.1728704,1.1642367,1.1695037,1.1591165,1.1528995,1.1305876,1.1416696,1.1302028,1.1240392,1.1068902,1.1391103,1.1100942,1.1008679,1.0582515,1.0762782
1.293463,1.2852163,1.2701119,1.2685477,1.2711797,1.2554443,1.2649298,1.2391185,1.2291671,1.2447236,1.2263256,1.2248411,1.2274013,1.1997143,1.2012409,1.1906015,1.1922362,1.1813606,1.1837509,1.193555,1.1624892,1.1803647,1.1405622,1.1478087
1.3322504,1.322611,1.3191398,1.3094653,1.3111584,1.302965,1.2851793,1.290725,1.2806419,1.2848115,1.272743,1.2701659,1.2528338,1.2373743,1.2636082,1.249336,1.2361889,1.2160999,1.2233018,1.2078705,1.2190018,1.1852534,1.2061297,1.1944562
1.1286418,1.1272213,1.1110929,1.1112994,1.1058515,1.1194967,1.0909836,1.0791887,1.0882653,1.0885696,1.0691835,1.0505413,1.0489229,1.0575531,1.0461098,1.0343486,1.0569556,1.0561329,1.0453366,1.0100036,1.0276927,1.0282265,1.0068173,1.001368
1.1374083,1.1324848,1.1269338,1.129972,1.1146148,1.12248,1.120829,1.1061214,1.0930035,1.0655355,1.0757279,1.0725722,1.0717386,1.0664182,1.0827874,1.0625774,1.0460982,1.0532992,1.0213867,1.0561683,1.025521,.98941386,1.0313214,1.0241477
1.0547217,1.0534304,1.0522044,1.0399214,1.0286838,1.0279946,1.0235311,1.0303973,1.0160999,1.0054706,1.0038427,.99716902,.98616254,.98363113,.98479337,.97355038,.97646761,.97998291,.93618035,.98284215,.92552495,.92908281,.94590044,.95451498
1.085876,1.0897777,1.072693,1.0722464,1.0713222,1.0583574,1.0469676,1.0479752,1.0493126,1.0438479,1.0142708,1.0266948,1.0359833,1.0220433,1.0141344,1.0130411,1.0229861,.97710735,.98828852,.99819928,.97458661,.95029521,.99149615,.9615562
1.3403672,1.3242919,1.3274406,1.3199404,1.3148777,1.3096946,1.3194411,1.2833319,1.300084,1.2692704,1.2645965,1.2704703,1.2769083,1.2441448,1.2045922,1.258652,1.250141,1.2325079,1.2017553,1.1959556,1.2328029,1.2377393,1.1640208,1.1998208
1.3742328,1.3726548,1.3628644,1.3510003,1.3446816,1.338833,1.3357841,1.3258451,1.3075497,1.3059798,1.3159195,1.2989377,1.2928115,1.2895191,1.2954673,1.2695947,1.2525787,1.2632747,1.2691537,1.2510098,1.2336036,1.23146,1.2168472,1.2181774
1.0422469,1.0332608,1.0323699,1.0236964,1.0202972,1.0309808,1.0075139,.98069578,.97285199,1.0076734,.98736542,.98725659,.99241036,1.0017077,1.0191406,.99623525,.94238108,.94518363,.97155696,.9460845,.93373823,.99368227,.90604246,.93735647
1.0905082,1.0846851,1.0763694,1.0815829,1.0750222,1.0569235,1.0566548,1.0584437,1.0499362,1.0376287,1.0266356,1.0169514,1.0315461,1.0217636,1.0355847,1.0176774,1.0030408,1.0196984,.96657765,.99479014,.98634356,.9576028,.98309201,.96706808
1.2955881,1.2872906,1.2855603,1.2786175,1.2789185,1.268393,1.2602043,1.2571795,1.2407317,1.2371287,1.2265594,1.2143396,1.2287532,1.2191713,1.2298596,1.1946898,1.2081883,1.1825696,1.1836282,1.1629771,1.1520395,1.1579827,1.1469465,1.1407564
1.1255457,1.1201001,1.111886,1.1102515,1.0966883,1.0935199,1.0940747,1.094469,1.0872599,1.066826,1.0656482,1.0563856,1.0670675,1.0564461,1.0514607,1.0453451,1.0522674,1.0250169,1.0290962,1.028091,1.0229565,1.0124905,1.0075353,1.0070193
1.1648682,1.1571252,1.149374,1.1533775,1.1526843,1.1419512,1.1409453,1.1326724,1.1115744,1.1150999,1.1128427,1.101388,1.100348,1.0812874,1.0860518,1.0718726,1.0808605,1.0722133,1.0543565,1.0679277,1.0571482,1.0423115,1.0337095,1.0274074
1.0611426,1.0598278,1.0510213,1.0439591,1.0360253,1.0256224,1.0533386,1.021782,.99533242,1.0166231,1.0081607,1.0179207,.97916359,.9878971,1.0007284,.99925971,.95578426,.96308458,.97012192,.99335039,.944444,.94874042,.94036293,.95418245
1.3132794,1.3070576,1.2833506,1.297838,1.2905669,1.2784343,1.2757674,1.278893,1.2822688,1.2536482,1.2203968,1.2512094,1.257934,1.2189417,1.2096112,1.1954305,1.2105476,1.2329571,1.1813201,1.1838862,1.1962839,1.1641268,1.1371329,1.1415859
1.3780714,1.3749609,1.3684176,1.3604605,1.3507607,1.3421385,1.339312,1.3395576,1.3295379,1.3164206,1.3034883,1.3132827,1.2996402,1.310783,1.3180486,1.2848411,1.2567787,1.2614017,1.2610444,1.241315,1.2338266,1.2116121,1.2405682,1.2014519
1.3014572,1.2994318,1.2955163,1.2896503,1.2664119,1.2550983,1.2648008,1.2639198,1.2620736,1.2384665,1.2422699,1.2399198,1.2293969,1.2241288,1.2113286,1.1944492,1.2037306,1.1790477,1.1801205,1.188416,1.1844596,1.1700933,1.1499697,1.1489233
1.1444644,1.1381145,1.1324834,1.1327915,1.1233208,1.1192354,1.1106763,1.1118625,1.0988729,1.0811837,1.0832818,1.0915346,1.082723,1.0850508,1.0791999,1.0572671,1.0753716,1.0633384,1.0435092,1.0694897,1.032055,1.0329417,1.0063903,1.0064692
1.0167643,1.0105947,.99651605,.98958266,1.0040541,.99226177,.97612131,.96087903,.97376692,.97674346,.95382673,.97667903,.97577554,.93691117,.96358877,.95876282,.93227243,.9448998,.90816706,.92294699,.92632532,.91038895,.927463,.91262919
1.6448475,1.636245,1.6277902,1.614126,1.616513,1.5919214,1.5947535,1.5914525,1.5806017,1.5718898,1.5654998,1.5698752,1.5595243,1.5301923,1.5240128,1.5249604,1.5037689,1.511916,1.4992789,1.5067456,1.4833329,1.4595436,1.4646848,1.4705253
1.1713145,1.1640421,1.1590182,1.1501735,1.1571164,1.150053,1.1402903,1.1359104,1.1213703,1.1136338,1.1129462,1.1069309,1.1021934,1.102622,1.084941,1.0962678,1.107416,1.0669916,1.0661964,1.062626,1.0492637,1.0640154,1.0510448,1.0218414
1.0930896,1.0858732,1.086007,1.0843204,1.0723085,1.074344,1.0751265,1.0566742,1.0615469,1.0537502,1.0277785,1.0317159,1.0121353,1.0449879,1.0076756,1.0327878,1.0196637,.99896902,1.0220212,1.0036308,.95283896,1.015286,.93981183,.97409129
1.1477304,1.1395807,1.136916,1.1325928,1.1322565,1.1055529,1.1153171,1.1143323,1.1007155,1.0751295,1.0748199,1.088589,1.1073157,1.0757787,1.0604665,1.0530632,1.0554127,1.0277755,1.0652735,1.0450315,1.0514455,.99776369,1.041433,1.0413194
.92927152,.93317652,.90842664,.90729594,.90710467,.90828502,.89839733,.9071849,.92534006,.87481302,.9034636,.85257792,.86366963,.87680167,.86211604,.8692748,.86484337,.82388604,.86703825,.87409228,.8217417,.82769024,.82033032,.81836361
1.2235633,1.218516,1.2136036,1.2034115,1.2107769,1.193082,1.1822798,1.1890179,1.1711622,1.1707326,1.1737672,1.1431227,1.1454251,1.1423649,1.1309782,1.1152128,1.1385772,1.1218573,1.1202266,1.1083519,1.1332023,1.101727,1.0773739,1.0689148
1.046378,1.045823,1.0384922,1.0332394,1.0204382,1.0211216,1.0247812,1.0114206,1.0060081,1.0101333,.98318553,.98959249,.97893709,.99183279,.99771661,.9731769,.94094902,.97628742,.98044527,.94871891,.94414288,.94859964,.92444205,.93468469
.90097499,.89769191,.89363879,.88377964,.87898612,.88523,.87248027,.8664909,.88509709,.84226954,.84896708,.85089338,.85130513,.83817065,.85345334,.81751454,.81762636,.83621705,.82757443,.84025204,.82017189,.81054705,.79507577,.79250193
1.1300257,1.120381,1.1155053,1.1079597,1.107163,1.0988222,1.0941594,1.101025,1.0781252,1.0631964,1.0828408,1.0850155,1.0475332,1.0549769,1.0378317,1.0497202,1.0519254,1.009753,1.0674498,1.0423012,1.029459,1.0204055,.9922747,1.0194225
1.0733439,1.0789754,1.0688047,1.038996,1.0547031,1.0551579,1.0271518,1.0279568,1.0299222,1.0402672,1.0167977,1.0347059,.98912007,1.0249709,.99406379,.99611676,1.0083623,.99954337,.98552346,.95522833,.98757529,.98444128,.9359718,.95586014
1.0594527,1.0567329,1.0477251,1.0478536,1.0400467,1.033866,1.0390571,1.0205073,1.0393612,.99512595,.99186403,1.0022385,1.0012093,1.0237011,.98403823,.98000491,.99399501,.97261012,.93821102,.9718228,.95275193,.93450606,.93527383,.9517498
.99213958,.98840505,.97861874,.97615552,.96949577,.96501094,.96382403,.95410383,.94904041,.95448226,.93365586,.92982101,.91818398,.92367584,.90672499,.90362281,.92782491,.93385482,.88143957,.91611826,.9034754,.91231078,.88313287,.89406139
