se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
3.422498,3.3822637,3.3426113,3.303808,3.3218048,3.2503169,3.2295682,3.1799104,3.1228483,3.1093524,3.0666394,2.9917779,2.9915776,2.9317791,2.930253,2.9440696,2.9379001,2.8690975,2.795923,2.7886202
2.6580157,2.6324158,2.6100767,2.5021398,2.4714625,2.6244543,2.5513098,2.5821228,2.4689128,2.4649873,2.4344561,2.6042399,2.5103283,2.3993895,2.3728034,2.1450291,2.2433755,2.265343,2.1543682,2.3570492
3.5956199,3.5675459,3.4812527,3.5481339,3.4100697,3.4456775,3.3717611,3.389462,3.3428068,3.2424035,3.215409,3.2531722,3.1806095,3.2327938,3.0389326,3.0834637,2.9981098,2.957571,2.8703856,2.9193194
1.5444906,1.5349969,1.5262178,1.451725,1.4787761,1.4772776,1.4954926,1.4512932,1.4938786,1.4532913,1.4643267,1.3978437,1.3981411,1.3759238,1.2064087,1.3551502,1.2607783,1.210573,1.2609102,1.3019761
3.4191148,3.3507013,3.3928783,3.287859,3.2852509,3.341413,3.2531922,3.2465298,3.1309035,3.1757255,3.0870383,3.0379996,3.0859473,2.9671497,3.0246768,2.9083805,2.7563159,2.8774149,2.8012605,2.8166678
2.2509935,2.2129948,2.215735,2.1786706,2.1882136,2.1341026,2.1713884,2.002394,2.0299289,2.0834188,2.0931623,2.0663667,2.093473,1.9956831,1.9438616,1.8827527,1.9213495,1.9105312,1.8931606,1.7882663
2.5564895,2.5264049,2.4620898,2.4297287,2.4938455,2.4968593,2.3755374,2.4111941,2.3614244,2.3202999,2.3940051,2.3255999,2.1776583,2.2651064,2.2444983,2.2347424,2.1957827,2.2484345,2.0565131,2.1256912
3.1139417,3.0701315,3.0498457,2.9477253,2.9669521,2.9226675,2.8537855,2.8544483,2.9064281,2.9240677,2.8304944,2.688323,2.7250769,2.8703294,2.7007847,2.6767037,2.7459271,2.5550072,2.6622517,2.4252844
2.9804194,2.9388595,2.9173522,2.9193022,2.8054578,2.7997777,2.8540297,2.7838323,2.8307531,2.7726219,2.6827016,2.5694323,2.6156759,2.6694896,2.6435294,2.5586314,2.6008263,2.4283786,2.4810543,2.3641584
2.6466796,2.5490708,2.6212966,2.5540669,2.611356,2.5541017,2.5347071,2.413219,2.5153966,2.3763094,2.427844,2.5417185,2.3295689,2.3092337,2.261663,2.4264343,2.3196592,2.2372155,2.4417479,2.1455936
