se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.81578594,.81194037,.80441678,.81271476,.79429787,.79334915,.80499798,.77610832,.77813095,.77890658,.78163975,.77181119,.79521453,.76260453,.75046176,.75243753,.74623269,.7499361,.7125082,.75814396,.73887354,.72942889,.74097788,.72285563
.97256315,.96609133,.95269275,.97009951,.94599706,.96539348,.93308723,.93280941,.93229622,.92589009,.93683612,.91818118,.90267181,.89994049,.89023179,.91984397,.91492093,.91393262,.90006763,.91049284,.89099598,.88842869,.84685224,.85984653
.82447892,.82088804,.81963456,.8140986,.80892974,.80069679,.79875213,.80448699,.79712248,.78707266,.77999526,.78574651,.77575678,.77491254,.77093089,.76856041,.77458131,.75873137,.77034211,.7251268,.73528844,.73187572,.74244773,.70315999
.85752535,.85536057,.85002542,.8364045,.84494907,.83180457,.83053863,.84704405,.81333375,.82487738,.81620967,.8040638,.78934115,.80961996,.78289109,.79917032,.79724932,.77044833,.76699662,.77754688,.79159027,.76589823,.78756738,.75413495
.93259358,.93113792,.92785197,.91270423,.90864879,.90608543,.90698844,.89208299,.89562088,.88302976,.88690937,.87978774,.86044568,.87308741,.86989301,.86868566,.86882156,.85426015,.84202641,.85005844,.82274789,.83481163,.84986717,.83764273
.71844023,.72056788,.70585793,.6946454,.70608747,.69241232,.69685453,.70221847,.69653183,.70202464,.67835349,.66478533,.6783725,.68542653,.66889602,.66825962,.64485836,.66652888,.64931756,.66637474,.62406069,.64518088,.65494418,.6403715
.71474129,.71088493,.70099694,.70027512,.70408094,.69212258,.69703346,.69245547,.68851727,.67961234,.68168432,.66942507,.66417933,.65694827,.67599785,.67383653,.67364234,.64454573,.64458728,.65785015,.65289384,.6473363,.67653745,.65534073
1.2656459,1.258119,1.2546272,1.2515926,1.2436838,1.2310872,1.2211987,1.2077841,1.1984632,1.2309005,1.198404,1.2007842,1.1840423,1.1820467,1.2035416,1.1673312,1.1569471,1.1706388,1.1413674,1.1314964,1.1434441,1.118673,1.1308941,1.1541125
.9005031,.8954311,.89116722,.88992769,.88164937,.88182223,.87973416,.86852556,.8604486,.85617405,.84913087,.84817106,.85079712,.8542105,.84697896,.85440946,.82436597,.83356571,.81696129,.7973302,.82356209,.82044119,.80842656,.80753136
.92485434,.92264968,.91580337,.90496731,.90800196,.89848012,.89245635,.88322806,.90048635,.87119573,.87258732,.87133431,.8685298,.86543602,.87795639,.84703314,.86832899,.85134786,.84776211,.83611029,.82370371,.8196876,.8350606,.80544394
.82481283,.8241474,.81659991,.8122617,.80630749,.79589272,.80632198,.79950738,.79539794,.79388744,.78223151,.76308817,.78502005,.77084118,.77369511,.74977547,.75789309,.74625248,.74675387,.76088488,.75984234,.77056658,.72202075,.74367535
.97177112,.97050583,.966326,.95197356,.95644569,.94130063,.943528,.9188779,.93521345,.9327423,.91906667,.92135358,.89658523,.93268341,.90893394,.91034514,.90996259,.88584536,.88344979,.84954715,.88218218,.86979944,.87944722,.84915763
.97420067,.96825105,.96525073,.95513171,.9421804,.95067,.96394318,.96323597,.9326961,.94166583,.93871802,.90277034,.90687883,.91063702,.87403697,.9331075,.89114749,.88803875,.86362797,.87292045,.89706594,.85900903,.86340207,.887137
.83049262,.8272239,.82490271,.82784277,.80875587,.81170869,.7999894,.79235852,.80212903,.78919506,.7876606,.79655761,.79132354,.76513791,.76430255,.77600747,.7691133,.75909764,.7557261,.76298678,.73647726,.74130058,.73672807,.72764301
.94104999,.93552566,.92575723,.93446356,.91988081,.9185009,.92612571,.93361121,.91729569,.90927297,.90347141,.8963272,.8720482,.88688505,.86136609,.89202315,.85389745,.83892381,.85569364,.87387937,.84788197,.84947199,.85355216,.83705765
