se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0523913,1.0448271,1.0437051,1.0411047,1.0371069,1.0291959,1.0183183,1.0171382,1.0090722,1.0099832,1.0070075,.9879182,.99799454,.98174787,.98361897,.97720778,.97386092,.96178335,.97618032,.94549727,.94991434,.94320023,.9358843,.94508368
1.0307111,1.0243127,1.0200565,1.0101671,1.0078884,1.0089437,1.0066521,.99850798,1.00106,.97406214,.97277236,.97267586,.96848923,.96447426,.96908414,.97543168,.94565511,.94062692,.94182813,.92694211,.94155914,.93299502,.93417853,.91731888
.86347276,.85994452,.85588884,.85013908,.84193879,.84344846,.84154618,.83206069,.8383978,.83122629,.82153243,.81718248,.81516278,.80015236,.8017416,.79924756,.78685975,.79078084,.78758776,.7840634,.79837149,.77226824,.77055109,.75706637
.78680098,.78809875,.77927256,.78066128,.7808522,.76956701,.76349121,.75525182,.76571888,.76940054,.74784702,.75419015,.7339285,.7417562,.7350623,.71309787,.73433864,.71638489,.72824711,.7057178,.71143562,.68547153,.71064514,.71486765
1.0115834,1.007902,1.0067306,.99994224,.98912865,.9854331,.98258388,.97586268,.9670288,.96914458,.94939977,.95138741,.96969527,.94214314,.95351344,.92818141,.93896824,.91882777,.93329978,.93638694,.93339586,.91158825,.90551794,.88610303
.89478153,.89228797,.88703334,.87657261,.87028646,.86986327,.87533092,.87176549,.86224836,.86040825,.85171634,.84976989,.85289598,.84955096,.84300929,.82622498,.83382589,.82511032,.83223855,.81452453,.79863673,.81019884,.80332124,.79862148
.89346802,.88996875,.88480937,.88041955,.87432688,.8635422,.86367214,.86581963,.85372263,.8626647,.85064495,.85068703,.83852309,.82408011,.83120674,.84234792,.82064629,.82528853,.82628685,.82651836,.78846449,.78322828,.79837346,.80040246
1.0551726,1.0488584,1.046373,1.0390185,1.0309173,1.0281845,1.0170665,1.0201235,1.0112762,1.0116942,1.0077889,.97281373,.99425775,.97802037,.98811203,.99843472,.95359683,.96485567,.98182625,.96836448,.93679363,.94910419,.90433717,.94360125
.89378518,.89109159,.88667136,.8785795,.87890905,.87353605,.87006468,.85779113,.86442065,.85470802,.84840149,.84008276,.8463344,.83051562,.83343548,.82507741,.81327575,.81497717,.80821085,.80267775,.78799826,.80768299,.79304504,.79292846
.77801758,.7737323,.77912796,.75598484,.7636227,.7589882,.76447678,.75966334,.75081056,.75175101,.72786486,.73774046,.74273652,.74247384,.72899085,.73237735,.7281884,.70025557,.71376485,.72860485,.68892097,.70271337,.69841069,.7093094
.9448306,.9412185,.93273723,.93190503,.92747039,.91892648,.92299861,.92315418,.90990144,.89543724,.8981902,.90702689,.89545977,.8785398,.87156129,.84902906,.8566432,.85663038,.84155899,.85507524,.84397084,.86389041,.86503363,.85366988
1.0344239,1.028523,1.0252329,1.007135,1.0104611,1.0049869,1.0003805,.98445201,.99444616,.99333298,.97161168,.98231292,.9586882,.97278613,.9663018,.94994622,.95039338,.95436949,.9496367,.93432564,.9208684,.94321436,.931804,.92037022
.9640041,.96148765,.95007855,.94632477,.9430542,.9374783,.93783188,.93042427,.9343645,.92341095,.91273761,.91353655,.91197479,.9098419,.90817326,.89608097,.88715166,.88789624,.86595261,.85219169,.8493185,.87072378,.85977626,.87691605
.87072158,.86747193,.86360866,.85836762,.84806824,.84669399,.84560925,.83342737,.8420918,.83423048,.81607771,.83940572,.82496351,.81899655,.80307198,.81194621,.81055421,.80121756,.78116417,.78810489,.80936301,.78189641,.8058778,.7856741
.92159909,.92360651,.91308534,.91363996,.89984602,.90405637,.90458089,.89412981,.8844133,.88682783,.87111306,.87005597,.86590898,.8697176,.8514173,.85248905,.84685874,.85372519,.83782142,.82653505,.83150405,.81335813,.80370569,.84501714
