se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.86241174,.86156434,.85622442,.84415001,.83974874,.85269344,.84424084,.83058357,.82908523,.85073924,.83289278,.83556294,.79340476,.82671463,.80348861,.79193586,.7914477,.8029294,.81006485,.77296478,.7943939,.74765146,.74932748,.74831647
.89572704,.88819504,.88153177,.8732928,.88588071,.87140751,.87093478,.86056393,.86658597,.86395192,.84974289,.84320712,.82544798,.85587364,.8278529,.8100912,.83856571,.847166,.82843864,.79767752,.8150968,.80490041,.80813688,.76580513
1.209916,1.2030938,1.2054802,1.1911072,1.183187,1.1839614,1.1770626,1.1794484,1.1635933,1.1487834,1.1517822,1.1537235,1.1334237,1.1231251,1.1370059,1.1233181,1.1344657,1.1095486,1.0993503,1.1058717,1.0934069,1.0869752,1.0765783,1.0587522
.86653626,.86548108,.86327362,.86122137,.85725218,.8437981,.8425771,.86280864,.84329545,.82183111,.83067757,.8308236,.82144445,.80251902,.82625228,.79057926,.78115153,.80097795,.80645323,.80937171,.80442303,.8002274,.7944473,.76634383
.84633732,.84837681,.8343398,.83577091,.83304793,.81956965,.82245928,.80884492,.83943385,.80684268,.80292261,.79569805,.79598385,.80279255,.7719897,.77639306,.79583687,.78715301,.75895292,.76678264,.76318383,.76175213,.7938832,.78033793
.84336442,.84691083,.83128142,.82174498,.82849538,.81662917,.83223051,.82157743,.80588353,.80868328,.82699984,.80800891,.78649628,.78770363,.78226417,.77561361,.77247608,.78157479,.7706582,.78539133,.76103687,.75205106,.75730741,.74914563
.88990676,.88611245,.87784576,.88676679,.87851554,.8715288,.86801678,.86115319,.83442485,.86389083,.82643801,.85123014,.83836704,.83658296,.82039475,.81959152,.81945813,.82482058,.82776952,.81247377,.78365755,.80533171,.80894315,.76925403
.9975999,.98395926,.98049605,.97233754,.97105581,.97310752,.97540736,.99680728,.98143512,.96059775,.95715559,.97307855,.89338458,.96198213,.91808641,.93212163,.89878458,.93817383,.95680255,.94316065,.92568165,.94047797,.92337269,.92628682
1.1868128,1.1831629,1.172542,1.1652275,1.1561043,1.1632817,1.1583471,1.1398437,1.1507717,1.1371064,1.1337521,1.1219933,1.1145267,1.109959,1.1138701,1.1049242,1.0967959,1.0747616,1.0642118,1.0778682,1.0874864,1.0823603,1.0613637,1.0346755
.8651374,.8565315,.85900229,.85719138,.85279238,.83945572,.83888906,.83892691,.8427819,.81695199,.82680827,.8266722,.79173571,.80070394,.81193763,.81799263,.8130908,.78493142,.77704287,.79242367,.77752048,.76212716,.79898071,.78659952
