se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0835954,1.0774096,1.0793668,1.0612904,1.0597323,1.0530097,1.0491598,1.0347496,1.0330788,1.0131969,1.0332453,1.0262967,1.0150948,1.0212244,1.0056916,1.0127729,1.0170499,.99740577,1.0203866,.99918824,.93525851,.96650982,1.0034148,.93872094
1.1644753,1.1600692,1.1469707,1.1437168,1.1290294,1.1371987,1.1428978,1.1525843,1.1060346,1.1105647,1.1332402,1.0927238,1.0969167,1.0889033,1.0427108,1.0684544,1.0755919,1.0518544,1.0459973,1.0502541,1.0489558,1.0377545,1.0522211,1.0601075
1.0022484,.99691176,.99448168,.98724633,.97789234,.97512144,.96994978,.9722771,.97558659,.95019031,.93493104,.93929052,.9489308,.95462424,.9445715,.92245644,.94705796,.90439969,.9345665,.90707594,.88493854,.89991814,.9098829,.89633578
.98356712,.98182917,.96456724,.97347176,.9715175,.95973164,.95322281,.94713169,.95930856,.94557852,.93534046,.92976421,.92925745,.92234349,.938209,.90888256,.87935096,.91250306,.90410846,.89638108,.91502422,.87469596,.85172349,.86769265
.99457538,.99478257,.96663857,.98920989,.97066414,.96809894,.96619916,.98271513,.93889153,.95282954,.943591,.95296818,.9470098,.90279323,.95810378,.90149319,.93208539,.90805739,.91067183,.90500599,.92198068,.91494805,.85572511,.86071497
.93296343,.92744315,.92533886,.91269785,.906636,.91410261,.90568179,.8835088,.90234333,.91204262,.9099713,.9079023,.89745283,.87509596,.87355292,.89625621,.85509861,.86298025,.83242631,.82138425,.82440758,.84292227,.8540116,.80649292
.85135436,.84547663,.84170645,.82910126,.84146917,.82230616,.84773237,.82353711,.82268852,.8164441,.80895877,.81122935,.81387943,.78934675,.78153527,.80991578,.78330475,.79186851,.77430207,.781183,.764229,.78065431,.77226633,.74308491
1.4174569,1.4067141,1.4095775,1.3903718,1.3939772,1.3950729,1.3656875,1.3544171,1.3834285,1.3647726,1.3561727,1.3353162,1.3121727,1.2959868,1.3373097,1.3035148,1.3030628,1.293134,1.3192227,1.2694367,1.2855725,1.260305,1.270721,1.2593712
.94959426,.94804674,.94040388,.942936,.92114556,.93868172,.92644352,.93498081,.92093545,.91614109,.90640372,.89421678,.90480024,.89399916,.86725843,.85652488,.88264883,.8532936,.87513149,.84959924,.8714667,.83838016,.8608613,.84627461
1.113453,1.1088463,1.1226224,1.0908235,1.1047993,1.1063136,1.0776666,1.0674103,1.0409994,1.0659642,1.0303887,1.0287389,1.0713929,1.0633843,1.0178348,1.0363748,1.033468,1.0430952,1.0268736,1.0130745,1.0270195,1.0092732,.98088175,1.008594
