se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
2.9233758,2.9181674,2.8986602,2.8884106,2.8538542,2.8479908,2.8196661,2.8431404,2.7963531,2.786535,2.7585924,2.7540131,2.7293267,2.7095716,2.7733612,2.7500477,2.7626989,2.6572988,2.6549418,2.6994071,2.6394517,2.5726535,2.5865996,2.6075091
2.7744064,2.7572639,2.7587826,2.7005208,2.6988947,2.7022772,2.7260282,2.6700773,2.7057979,2.6326222,2.5962453,2.6628423,2.6096203,2.6160328,2.5749996,2.5673516,2.5565608,2.5657389,2.5029769,2.5184107,2.5335169,2.5331211,2.5487599,2.539691
3.7700512,3.7621331,3.7305465,3.7143865,3.7076998,3.6488829,3.6572418,3.6471703,3.6375906,3.6215184,3.576158,3.5346041,3.5384483,3.5339322,3.483887,3.4830611,3.4239028,3.4412525,3.4402852,3.4321423,3.4172471,3.3975871,3.3306026,3.3202901
2.7022645,2.6991606,2.6640115,2.647845,2.6908801,2.6519027,2.6262462,2.6185164,2.603837,2.6107547,2.6291771,2.5526969,2.5401697,2.5610209,2.619498,2.5377955,2.434593,2.4956477,2.4577267,2.4393718,2.5115325,2.4531338,2.4799356,2.4818506
2.6575296,2.6559031,2.6106424,2.6294739,2.6140287,2.5934181,2.5878413,2.5561509,2.5699799,2.5031807,2.5642629,2.4767947,2.52143,2.5002759,2.5445764,2.4761078,2.4366355,2.4355891,2.3986526,2.4008076,2.3192062,2.3906488,2.3400838,2.4111462
2.7788711,2.7851987,2.738606,2.7374661,2.7165577,2.7136981,2.6828914,2.6652629,2.6507373,2.6610079,2.6539617,2.6416483,2.5384741,2.5635962,2.6238508,2.588661,2.5517004,2.5502582,2.478303,2.5537975,2.459656,2.4417384,2.5940781,2.4776351
2.293746,2.280818,2.2757456,2.2732587,2.2497516,2.2223732,2.2154191,2.2261245,2.1767054,2.2262001,2.2076042,2.2179615,2.1666002,2.1398516,2.1508448,2.1520002,2.1134582,2.1068299,2.048131,2.0914998,2.019979,2.03882,2.0304811,2.0657301
3.3730812,3.3478482,3.3348401,3.3351231,3.2706966,3.2759988,3.2848597,3.2091842,3.283783,3.2352171,3.1974282,3.1476164,3.2276273,3.1894379,3.115304,3.1489801,3.0790884,3.1439362,3.0778146,3.0962954,3.0152802,2.9547091,3.0886395,2.9591129
4.2645121,4.2584095,4.2294469,4.2369494,4.174016,4.1304879,4.144486,4.0848284,4.0974193,4.0940571,4.0673156,4.010838,4.0590839,3.9698863,4.0237489,3.9653401,3.9591141,3.8821547,3.9326012,3.9404554,3.8694959,3.844214,3.7921753,3.7362235
2.6361165,2.6097794,2.6005833,2.6211824,2.5639784,2.552994,2.5758629,2.5273964,2.5371907,2.4708099,2.4880295,2.4730875,2.51667,2.4609766,2.4626873,2.4260697,2.4247322,2.5107496,2.4288235,2.405067,2.3522599,2.4583981,2.3335428,2.2703795
2.3222811,2.3148482,2.2982938,2.2867754,2.2640445,2.2457135,2.2717471,2.2222733,2.2122178,2.2721138,2.1958938,2.2163463,2.2270472,2.2434766,2.2059772,2.1090212,2.1585121,2.1113827,2.0947821,2.0912542,2.1010163,2.0683556,2.0729911,2.0590115
2.6988425,2.6883829,2.6596122,2.675667,2.6425703,2.6383808,2.6051536,2.6036012,2.5915809,2.57306,2.550252,2.598732,2.5798337,2.5381699,2.5148413,2.501642,2.5193205,2.4379508,2.4708538,2.4190784,2.4312885,2.4251745,2.3964529,2.3984234
3.3077962,3.287451,3.2870083,3.2610166,3.2549846,3.2322438,3.2181878,3.1810095,3.183466,3.1807318,3.1542921,3.1351953,3.1075819,3.1317787,3.1038158,3.1076069,3.03385,3.0436924,3.0001814,3.0133486,2.9948673,2.9639087,2.9687078,2.9551909
3.000006,2.9954214,2.9680431,2.9460728,2.935024,2.916909,2.923888,2.8816433,2.8645258,2.8697252,2.8382576,2.8619063,2.8437483,2.8566682,2.7779641,2.7834675,2.7836652,2.6990278,2.7296855,2.6819718,2.7062652,2.7062895,2.7321882,2.6406927
2.3364699,2.3210917,2.3059859,2.3072133,2.3005998,2.2926099,2.277956,2.2512167,2.2427938,2.2668533,2.252641,2.1747627,2.2354951,2.1385202,2.2048144,2.1700251,2.1455703,2.0880485,2.2112467,2.1142406,2.1359143,2.0290501,2.1416523,2.0613701
2.4119692,2.389828,2.4161835,2.3886986,2.3333471,2.3691864,2.3646042,2.3099108,2.3791404,2.3084569,2.2845237,2.2936423,2.2369409,2.2917852,2.2044659,2.280478,2.1681187,2.2855053,2.1933682,2.1963456,2.1892719,2.1291587,2.1531222,2.0959902
