se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
5.1385574,5.1334753,5.0787492,5.0692606,5.0819106,5.024652,4.9740653,4.9782901,4.9614978,4.8632946,4.7975121,4.8281035,4.7959309,4.9203696,4.8227444,4.8738923,4.8506627,4.9054565,4.7189574,5.0463338,4.8557215,4.6884441,4.6781459,4.6533065
7.8178687,7.8112893,7.7646165,7.8078771,7.6650696,7.6907415,7.6873121,7.614893,7.6165071,7.673439,7.3386025,7.3311296,7.4125566,7.4820309,7.3712411,7.5214715,7.5556245,7.4470925,7.4921155,7.2972555,7.2457285,7.2368383,7.2017703,7.2694116
4.2952094,4.3104219,4.2492495,4.2381167,4.2797112,4.2804384,4.2099094,4.0894184,4.072258,4.1824627,4.4002042,4.2664318,4.2210841,4.2434769,4.0564699,4.0990009,4.1227136,4.1334763,4.194633,4.135613,3.969559,3.8595891,3.8784583,3.7989967
4.2368836,4.1655436,4.2332163,4.2455506,4.215467,4.1240101,4.1424279,4.1471982,4.0778575,4.0971322,4.1649137,4.0705123,4.1504326,4.0613456,3.9053197,3.9930453,3.9068668,4.0240741,3.8833871,4.1010652,3.9096739,3.9937301,3.8964603,3.9542606
5.1208429,5.073163,5.0063081,5.0756073,4.9698505,4.9993825,5.027648,5.0752192,5.1662869,5.1440783,5.0404124,4.9429688,4.9122033,4.7921362,4.8708811,4.8976722,4.8521633,4.750896,4.7730732,4.8476629,4.885776,4.9652567,4.8395939,4.978157
4.2649755,4.2388678,4.2623959,4.277873,4.1396284,4.1327085,4.2416286,4.2051606,4.1847138,4.1784353,4.1821284,4.0688987,4.0695143,4.0495262,3.9449613,4.0853634,4.1634736,3.9472046,4.0387368,3.8680058,4.1263266,4.2114196,4.0003304,3.9671016
4.374876,4.3591323,4.3899632,4.3286757,4.2824168,4.3034482,4.2211471,4.0821528,4.208868,4.0998306,4.1792107,4.3896151,4.3785796,4.4378862,4.1909876,4.0972605,4.0653114,4.0875535,4.3999138,4.3062415,3.9876275,3.9422741,4.1770959,3.9947102
6.677165,6.6769581,6.6195202,6.6091175,6.5129957,6.4398475,6.4933386,6.4514837,6.5591383,6.582243,6.3380113,6.3555808,6.4618249,6.4180431,6.3526549,6.3345237,6.2544198,6.2199044,6.3341517,6.3303733,6.0920372,6.1800919,6.1886978,6.0990586
4.2585559,4.2044544,4.2410336,4.2743344,4.152977,4.164175,4.2222214,4.2866974,4.0590711,4.1580396,4.1869488,4.1687951,4.0073419,3.9940076,4.1971574,4.1101913,3.8795767,4.1048851,4.0584631,4.1203895,3.7156291,3.9079611,3.969187,4.0856824
4.9073105,4.9057121,4.8901415,4.8911743,4.8592286,4.8503242,4.7963886,4.8123636,4.8566022,4.7548299,4.9003081,4.8881989,4.7850857,4.8195353,4.6712923,4.7087822,4.7148046,4.6780834,4.6032577,4.7061925,4.702158,4.7410812,4.4267826,4.7169685
5.9961615,5.9492984,5.953794,5.8909731,5.9326067,5.9188762,5.8795738,5.8597016,5.7789631,5.8172488,5.8153815,5.8750358,5.6485305,5.7282901,5.726645,5.6601782,5.7437077,5.6060691,5.5756865,5.6928697,5.5662117,5.5337296,5.4921288,5.4197512
4.9405961,4.9343476,4.8844705,4.8075204,4.95965,4.7848625,4.8193955,4.8789406,4.9552569,4.8288765,4.863287,4.7879677,4.9802265,4.8970828,4.8053322,4.7641239,4.7779889,4.8516536,4.652565,4.5711246,4.6351666,4.4165683,4.673141,4.9677396
4.4590969,4.4447846,4.4185143,4.3904333,4.4963846,4.3289733,4.5521078,4.3663077,4.2562861,4.3419986,4.1414714,4.5047135,4.2223945,4.1769404,4.3095713,4.2170887,4.0560355,4.2262177,4.1774244,4.1105361,4.4154325,4.0045328,4.2130222,3.9136453
4.9156222,4.8483825,4.853426,4.9251237,4.8330979,4.7988443,4.8641081,4.873703,4.8970103,4.7946982,4.8030047,4.7449193,4.6617031,4.7934408,4.7497625,4.7968616,4.7012177,4.7649279,4.5398216,4.7460995,4.5399737,4.7411957,4.4898396,4.6050205
4.4521918,4.446734,4.4282885,4.4518704,4.3484259,4.3764381,4.4015017,4.4537058,4.1364145,4.4354038,4.6059136,4.4747295,3.9769211,4.2475829,4.1996417,4.1764855,4.116941,4.1601982,4.1908259,4.3711929,4.3765206,3.9674771,4.3433924,4.0181074
4.9957762,5.0007534,4.9386225,5.0187869,5.0133672,4.8511076,4.9509392,4.9105687,4.6941085,4.8660593,4.9432573,4.7615752,4.7938042,4.6466136,4.787148,4.9573913,4.7763896,4.7387905,4.8821106,4.5926366,4.5888495,4.7705941,4.5718122,4.5979862
3.9603498,3.9592526,3.963943,3.927237,3.9200537,4.0191765,3.6261232,3.8436973,3.7987726,3.8163209,3.7996428,3.9678364,3.8764746,3.900197,3.9360499,3.7129815,3.8514321,3.819586,3.7225645,3.7295167,3.5697877,3.7039917,3.6782842,3.6679246
6.0210328,6.0130148,6.0735078,5.9056544,5.9143791,5.9860463,5.97191,5.9771466,5.8893251,5.8604598,5.7343602,5.7614212,5.5908241,5.8154173,5.7300191,5.8785663,5.6987324,5.6682744,5.7212467,5.6103106,5.8067441,5.7256484,5.5376973,5.6236029
3.918395,3.9043374,3.928458,3.9496033,3.9235821,3.830457,3.7892191,3.9939609,3.8873353,3.9279592,3.668426,3.7440181,3.7279899,3.8401794,3.7872465,3.9399533,3.7429428,3.8117843,3.6037672,3.6463957,3.7981529,3.726398,3.5527184,3.6593513
3.9473639,3.9300065,3.9869547,3.9672427,3.913434,3.929111,3.7218997,3.7522404,3.8085811,3.8238783,3.7302248,3.5611594,3.8240697,3.8180342,3.7013786,4.0363383,4.0227256,4.0157199,3.739737,3.7771311,3.7749631,3.5417891,3.5667071,3.7509394
