se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
2.2814038,2.2654648,2.2430022,2.2668786,2.2468944,2.1954319,2.2351341,2.1757681,2.1589067,2.2171583,2.1581144,2.1298594,2.1310546,2.1532781,2.1080086,2.1332381,2.0914123,2.1208394,2.1034801,2.1079175,2.0131106,2.0857122,2.056541,2.0471277
2.2073488,2.1878188,2.1876996,2.169106,2.165513,2.1454058,2.1592934,2.1048632,2.1268616,2.0776746,2.1160405,2.0882866,2.0972598,2.058044,2.1071358,2.0463753,2.0244312,2.0439036,2.0317285,2.020606,1.9921237,2.010026,1.9811324,1.9917452
2.2363853,2.2356503,2.1985662,2.1860693,2.1904039,2.1796286,2.1792517,2.1339176,2.117708,2.1238978,2.0782173,2.103837,2.119813,2.0619395,2.052789,2.0687258,2.0717633,2.0786505,2.0863831,2.0994582,2.0155272,1.9294074,1.9481846,1.9512661
2.2778893,2.2588596,2.2586393,2.297004,2.2127173,2.2092335,2.2417312,2.1995313,2.1933827,2.1466293,2.2168424,2.1830378,2.0583296,2.1845918,2.1119182,2.1430833,2.0909274,2.0361407,2.073056,2.0324509,2.1254635,2.0215306,2.0934005,2.0469038
1.9422578,1.9358766,1.8984207,1.9229594,1.9084027,1.921343,1.8701072,1.8610407,1.8426664,1.8297575,1.8233905,1.8260853,1.8199434,1.8173145,1.821862,1.7948101,1.7961385,1.7613376,1.8156598,1.7742881,1.800053,1.714886,1.7247176,1.7262635
1.8988664,1.881101,1.8772436,1.8826277,1.8445268,1.8531774,1.8617951,1.83329,1.8164805,1.8127953,1.7896298,1.7440891,1.8308055,1.7258533,1.8479477,1.7985092,1.7848551,1.7782521,1.74546,1.748142,1.7629899,1.6412365,1.7440304,1.7447392
1.8847536,1.8738356,1.8688432,1.836845,1.8494833,1.8647591,1.8404557,1.7884125,1.7960259,1.8203034,1.7674605,1.7617086,1.7766601,1.7857083,1.7243713,1.7275056,1.768344,1.7441736,1.7092819,1.6560315,1.7861829,1.6464151,1.590294,1.6349816
2.0538564,2.0338356,2.0287185,2.0244222,2.0131974,2.0224066,2.0298643,2.0354481,1.9044623,2.0437584,1.9668294,1.9694128,1.9635534,1.9511148,1.8997953,1.8475269,1.884331,1.9383343,1.9357257,1.8515093,1.8264275,1.875543,1.8182493,1.7835336
1.3628083,1.3606033,1.3470961,1.3487469,1.3455762,1.3286525,1.2915936,1.3328029,1.3086576,1.2957168,1.319187,1.2619886,1.3149481,1.311676,1.3116459,1.2382997,1.2382652,1.2483521,1.2810421,1.2207694,1.2116597,1.2252828,1.2491122,1.231214
1.4857361,1.480135,1.4901311,1.4604456,1.4162258,1.4580703,1.4386641,1.422107,1.4437803,1.4399955,1.4303654,1.414892,1.3588544,1.4106605,1.3874257,1.3986599,1.3399521,1.4420444,1.4013342,1.2790703,1.3520417,1.475014,1.2877299,1.3881031
1.6938972,1.6810665,1.6703256,1.6748776,1.6624527,1.6653349,1.6200629,1.6275536,1.6338485,1.6391279,1.5922172,1.5840787,1.58854,1.5486023,1.555702,1.5856346,1.5702771,1.5481666,1.589625,1.5245303,1.5661274,1.5200131,1.5401762,1.4890527
1.7049781,1.6906649,1.6766634,1.6515862,1.6731257,1.6754229,1.6839312,1.6516417,1.6219902,1.6137468,1.6407607,1.5928003,1.6903532,1.5809482,1.5881335,1.5968945,1.5979382,1.6244161,1.5732379,1.5340091,1.530345,1.5920902,1.5305153,1.5683565
1.708636,1.7152141,1.6944162,1.6877252,1.6596888,1.6916405,1.6898642,1.6232109,1.679471,1.6472942,1.6736373,1.589342,1.5940086,1.6563822,1.5845673,1.6086488,1.5599905,1.6168678,1.5310953,1.5496479,1.5260246,1.5402189,1.521489,1.5963224
1.9700065,1.9631619,1.9700626,1.9475851,1.9234203,1.8980238,1.8876104,1.8975811,1.9104217,1.8752403,1.8945369,1.8175417,1.8979989,1.8029817,1.8804241,1.8117038,1.8225775,1.8516835,1.7939785,1.7664337,1.7477113,1.8040224,1.7406552,1.7160827
2.0244105,2.0162516,2.0019224,1.9756287,1.9910977,1.9531748,1.9875761,1.9677283,1.9262793,1.9283869,1.907439,1.951599,1.8789798,1.9298899,1.9123063,1.8778063,1.8722421,1.8769865,1.914601,1.7462953,1.8482418,1.8072032,1.8400377,1.7747964
1.7405668,1.7350385,1.7293221,1.7177795,1.679287,1.6774361,1.6848739,1.6839947,1.6618999,1.6753216,1.6560845,1.6547544,1.66953,1.6271111,1.6770047,1.6237432,1.5532957,1.6304621,1.6239944,1.642859,1.5498112,1.5429389,1.6327354,1.4945278
2.0242918,2.0086076,1.9924822,2.0017986,1.9849477,2.0272825,1.930486,1.9625442,1.946197,1.946245,1.9494067,1.9722598,1.9471829,1.9229517,1.8727123,1.7961004,1.9116622,1.851951,1.8271152,1.8810697,1.8375582,1.7783121,1.8358611,1.8992393
2.2866328,2.2760277,2.2690313,2.2507684,2.2182069,2.2190137,2.2361591,2.2062893,2.1849926,2.212064,2.2314398,2.1719768,2.1312175,2.1377921,2.1200202,2.1063421,2.1106455,2.0932908,2.0890205,2.1060932,2.0454082,2.053726,2.0319333,1.9932203
1.4513111,1.4450994,1.4588706,1.4263799,1.4266752,1.3969862,1.4076844,1.4076008,1.4166046,1.3756912,1.412872,1.3562344,1.3833306,1.3539338,1.3160502,1.33813,1.344312,1.3240228,1.3129631,1.3179722,1.3442641,1.296046,1.3066543,1.2841784
1.8709707,1.8710583,1.8566293,1.8308662,1.8182167,1.8215712,1.8353759,1.7650847,1.7871476,1.7795432,1.7461402,1.7663074,1.7650481,1.735361,1.767303,1.7037476,1.7022101,1.7305166,1.6710715,1.735986,1.7300833,1.6871639,1.7018578,1.6881794
1.7303767,1.7127322,1.7062947,1.7553645,1.6938319,1.6835015,1.6850728,1.6996306,1.6038083,1.6425996,1.6293107,1.6675905,1.5923574,1.6353314,1.5953972,1.6629074,1.5410963,1.5086905,1.5302664,1.5388668,1.6082329,1.5847386,1.495976,1.4486001
2.0004547,1.9968497,1.9985968,2.0038393,1.9601964,1.9478436,1.9457694,1.9156457,1.937503,1.878601,1.8846942,1.8902856,1.9197241,1.8633674,1.8636756,1.8776295,1.816348,1.8325349,1.7670627,1.7653484,1.7962338,1.765535,1.7753721,1.7894719
2.2064981,2.1895268,2.1914642,2.1655641,2.1724119,2.1832652,2.0918374,2.0929151,2.1156976,2.1227877,2.1137798,2.064924,2.1095576,2.0234232,2.0809431,2.0739651,2.0278635,2.0402532,1.9351569,1.9351933,1.9794742,1.9588513,1.9998294,1.9762846
2.2062166,2.2086358,2.1883631,2.1717954,2.1673448,2.129406,2.134681,2.099683,2.1229362,2.1405826,2.104459,2.1101165,2.0725822,2.0687728,2.0313938,2.0363772,2.001138,2.0075226,2.0367079,2.0293946,1.9865742,1.969232,1.9684808,2.0419631
1.9202173,1.9152191,1.886135,1.8751003,1.907223,1.8829399,1.8624269,1.9054441,1.8211792,1.8386446,1.8727463,1.8270012,1.79521,1.7660363,1.7824078,1.8108493,1.7583817,1.7661906,1.6943601,1.7687936,1.7364773,1.759118,1.6505167,1.6823043
1.760978,1.7404591,1.7154573,1.7293936,1.7372308,1.7272191,1.6980172,1.6945027,1.7276919,1.6885651,1.686821,1.6700613,1.6694069,1.6489609,1.6352292,1.6654577,1.625021,1.6699382,1.5886256,1.6437309,1.5808928,1.5714178,1.6957864,1.5734386
1.6973586,1.6965268,1.6860424,1.6689446,1.6577461,1.6437824,1.6479,1.6472064,1.6564785,1.6352646,1.6574379,1.6281304,1.6207873,1.586059,1.5193039,1.560097,1.6174783,1.5665613,1.5378829,1.5201967,1.5010079,1.4423883,1.5747097,1.5071951
1.7467955,1.7443442,1.7386292,1.7333593,1.7302092,1.6724365,1.7080861,1.6776699,1.6227859,1.6806092,1.6322269,1.6303805,1.6626745,1.6054249,1.579384,1.5933886,1.6435814,1.6228921,1.5699059,1.5707488,1.670305,1.5404207,1.5725588,1.5461851
1.7473558,1.7260762,1.7317321,1.7103,1.7097321,1.7043284,1.6956587,1.7056941,1.6428857,1.6648949,1.6720071,1.6547761,1.6467322,1.6363363,1.6161695,1.6443664,1.6021059,1.6173593,1.6043619,1.5893681,1.5959784,1.6097586,1.6035616,1.5045235
1.8609874,1.8688085,1.8474619,1.8277086,1.8105441,1.8197165,1.8239567,1.8151593,1.8181479,1.7691283,1.7204032,1.7482241,1.748818,1.7440478,1.7144656,1.6952029,1.7499458,1.6986706,1.6318208,1.6651284,1.6887619,1.6843135,1.6244743,1.643078
1.8404094,1.8279852,1.8235486,1.7921257,1.7931048,1.7808311,1.8280219,1.8007718,1.8169073,1.726949,1.6891557,1.704384,1.7409582,1.7195967,1.7095256,1.7427924,1.7263794,1.6568881,1.7329955,1.6188736,1.6348146,1.6832477,1.6728041,1.6535769
