se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.9639941,1.9564811,1.9492722,1.9357085,1.9330195,1.8924102,1.9221485,1.9135078,1.8621926,1.8543547,1.8650546,1.8541573,1.8785551,1.8592081,1.7679386,1.793767,1.8095186,1.8366042,1.812867,1.8657788,1.7832197,1.7398018,1.7155933,1.7082453
2.4732065,2.4625189,2.4445696,2.4401214,2.4196088,2.4032404,2.4077768,2.3960626,2.3828523,2.3600404,2.3696957,2.3170307,2.3254747,2.3202868,2.3043499,2.285707,2.2646081,2.2535124,2.2637351,2.2572651,2.2328496,2.259336,2.207463,2.1772192
1.0330752,1.0259131,1.0195961,1.0258797,1.0015157,.99396282,1.0053489,.97551793,1.0085363,.96815974,.97168326,.98049891,.98135191,.98266506,.9555487,.98593974,.96933609,.96929389,.96748853,.94762927,.92867494,.91757119,.92237091,.9100551
1.307242,1.2992952,1.2815248,1.2818749,1.2954949,1.2898146,1.2581859,1.2926096,1.2496957,1.2139378,1.229889,1.2514253,1.2257259,1.2346395,1.2327052,1.1895753,1.2344285,1.1994962,1.2330523,1.1839567,1.194309,1.1993623,1.1644552,1.1967888
1.1739863,1.1702391,1.1575019,1.1374388,1.1638002,1.1451327,1.1542294,1.1321435,1.1380991,1.1465118,1.1548882,1.1161466,1.1429347,1.0947773,1.0955381,1.0721371,1.1285185,1.1215317,1.0631948,1.05818,1.0129211,1.0543553,1.0735362,1.0493231
1.3090318,1.3106579,1.299601,1.2650717,1.2708436,1.265026,1.2829437,1.2508154,1.2716248,1.2687988,1.2144288,1.2664293,1.2436993,1.2291085,1.1895434,1.2452326,1.2049036,1.2178717,1.1977181,1.1976889,1.1762048,1.215914,1.1525947,1.1825575
1.3843311,1.3827853,1.372018,1.3709726,1.3578136,1.3424298,1.3586001,1.3286518,1.3376929,1.3264138,1.3139625,1.3061435,1.3089598,1.3215019,1.287384,1.3059605,1.2846087,1.2534525,1.2593886,1.2787802,1.2429714,1.2453816,1.2497234,1.2053227
1.819393,1.7930815,1.8032948,1.8179388,1.7965534,1.80019,1.7538977,1.7398318,1.7283908,1.7404548,1.7067,1.734067,1.7547921,1.6794162,1.6111457,1.7383127,1.6544812,1.6617826,1.6810101,1.6608719,1.6573973,1.6514685,1.5789293,1.6182736
2.1847968,2.1765447,2.1636949,2.1517646,2.1380072,2.1330588,2.1206164,2.103096,2.1029317,2.0867469,2.0868263,2.0722709,2.0475307,2.0444474,2.0383303,2.0075936,1.9992731,2.0106828,1.9684752,1.9722816,1.9876926,1.9595494,1.9590065,1.9552739
1.4728531,1.4625269,1.450101,1.4440403,1.4563324,1.4367269,1.4304124,1.4316804,1.3998988,1.4227194,1.4022281,1.4142369,1.396324,1.3718706,1.386434,1.3778143,1.3808247,1.3448446,1.3364871,1.3466733,1.3507448,1.3153735,1.3044721,1.3170494
