se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.9261986,.9221403,.91891903,.91857564,.90051049,.89260149,.89163822,.91827977,.89666045,.89806396,.88921613,.85782391,.85610527,.84569091,.88070625,.87607944,.85509759,.88267803,.84074515,.84263855,.83141494,.81565785,.81574231,.80901289
1.1920307,1.1855413,1.1758363,1.1843567,1.1788595,1.1479511,1.1654891,1.1373332,1.1482871,1.155798,1.1480877,1.1286912,1.1265724,1.1171241,1.1102175,1.1036445,1.0857176,1.0852717,1.0855614,1.0988562,1.0949355,1.0701258,1.0652713,1.0389931
.73585093,.73590273,.73315811,.71647245,.72842944,.71833897,.71438259,.72081524,.71540445,.71932077,.70327091,.70702702,.6958456,.6940937,.7021516,.70061958,.68354607,.64928043,.67895204,.66599739,.67778111,.65244561,.68113387,.67085427
.98542523,.98655397,.9667424,.97024375,.9709124,.97452807,.96305555,.95035565,.95076811,.94651556,.94326788,.91431981,.92094558,.91996312,.92037606,.90131241,.89460021,.90495545,.90481162,.89192182,.88545394,.86638373,.89098191,.88345444
1.0410241,1.0338743,1.0307412,1.0395736,1.0185827,1.0240241,1.0177294,1.0140272,1.0168834,.98256046,.99477679,.98551846,.97546595,.9944585,.98232317,.98415262,.93651932,.95485789,.92206639,.96892035,.96317792,.90866756,.93950099,.90216064
.98605275,.98198849,.98371083,.97510868,.96602601,.96156299,.97446638,.96093857,.94213074,.93888944,.95275855,.91905493,.92136383,.9337129,.91390181,.92942101,.93031901,.90566665,.88670057,.90070158,.89985967,.88593179,.88332343,.87381858
1.0481439,1.042011,1.0387156,1.0330598,1.0384409,1.022987,1.0185438,1.0093572,1.0021886,.99735314,.98929894,.99208099,.98943448,.96646011,.95692396,.96137029,.95840096,.96708834,.99303347,.93569291,.94012803,.93149251,.9309417,.92874926
1.4538532,1.4459267,1.4417131,1.4300272,1.4384035,1.4133811,1.4233115,1.3875937,1.3834894,1.3853443,1.3942051,1.3798034,1.3659396,1.3538622,1.3561617,1.3442692,1.3268526,1.3320839,1.3254539,1.3410292,1.3432136,1.3373257,1.2765957,1.302117
1.2726635,1.2676523,1.2545929,1.2596636,1.2432209,1.2478931,1.2481531,1.2191662,1.21288,1.227264,1.2133038,1.187804,1.1931407,1.1973301,1.1842307,1.164501,1.1694633,1.1591423,1.1541672,1.1622612,1.1379472,1.1087773,1.1698189,1.1547538
.98876601,.97876024,.97112846,.97454542,.97403693,.96642131,.95093781,.94155771,.93619817,.96448177,.94004393,.92397165,.92559981,.93811953,.95345539,.92502767,.89125705,.90526032,.92497325,.90465158,.88758731,.92300057,.85533959,.90255576
1.0128391,1.001254,.99969745,1.0020735,.9972586,.97606868,.96923995,.98179001,.98055685,.97626013,.94747525,.95789391,.96004695,.95347214,.94740099,.92480922,.93768942,.93044138,.90337366,.92664081,.9135074,.9082436,.91911596,.92023069
.91445088,.90823025,.90858138,.89596993,.89684325,.88833612,.89465958,.88978255,.88168544,.87105197,.86927223,.87867212,.86600238,.87379861,.85633504,.83670735,.8701387,.84129643,.84629399,.81692481,.82051456,.83574116,.81520009,.84240979
1.1958951,1.1887763,1.1864654,1.1802244,1.1685567,1.169897,1.1599185,1.1538792,1.1580557,1.1256131,1.1138288,1.1438656,1.1432815,1.1341331,1.1282297,1.0826054,1.0990469,1.0745262,1.089023,1.082042,1.0677978,1.0516016,1.0817258,1.0777392
.96304214,.95975798,.95018828,.95252514,.95051175,.93917567,.94479293,.92182094,.92873019,.91510153,.90767986,.91869527,.88603479,.89864814,.91603601,.91272515,.89906687,.87824905,.8781141,.88755685,.85825592,.8265785,.85921657,.80338085
1.0306534,1.0279984,1.0164373,1.004948,1.0105002,1.0062194,1.0099945,.97986966,.98825449,.99987918,.98967719,.9812535,.97302073,.94546223,.96113175,.98294783,.93974471,.94334829,.96768534,.93994725,.90923637,.91374606,.94238967,.91493011
.92223996,.91813236,.8987512,.92119694,.92387813,.90749168,.89271092,.90498728,.91289145,.8845458,.86513174,.86756194,.87668997,.85848731,.8376807,.8755365,.8506763,.88958025,.85468656,.83041036,.83298731,.80868697,.7906149,.80930179
1.269899,1.2631737,1.2550937,1.2567006,1.2452049,1.2393258,1.2347717,1.2360876,1.2116116,1.2032397,1.207095,1.1948441,1.1853672,1.2049593,1.1909481,1.1697778,1.1571872,1.1676414,1.1541519,1.1660035,1.142647,1.1296507,1.1434124,1.1239568
1.1845316,1.179125,1.1723735,1.1675965,1.1588737,1.1479623,1.1501848,1.1483846,1.1339132,1.1480637,1.1250604,1.1338475,1.1287369,1.0865713,1.0909414,1.0786569,1.0992205,1.0842185,1.0797932,1.0691905,1.0252198,1.0758315,1.0692284,1.061533
.85057223,.84634346,.85129225,.84523237,.82881039,.83741909,.82379419,.81643152,.80897337,.81100959,.80906588,.80906951,.8193953,.81403005,.79474318,.8016156,.82010257,.81795669,.79737395,.80733544,.78298247,.75834036,.72214818,.75325328
1.0173821,1.0135543,.99535269,.99672866,1.0083039,.98930824,.98078984,.96487474,.98371625,.96901494,.95819271,.98485011,.96520102,.95082825,.94977248,.93025506,.94080293,.89776844,.93542731,.92151952,.89643776,.91751903,.90789628,.90874177
1.2232116,1.2143334,1.208216,1.2062007,1.1983342,1.1857942,1.1972467,1.1839727,1.1771389,1.1699233,1.1606801,1.1406404,1.1659933,1.1543006,1.1478113,1.1160071,1.1029991,1.1151983,1.1067644,1.100065,1.1423583,1.0964109,1.1118913,1.0980778
1.2567823,1.2503213,1.2506301,1.2375345,1.2356596,1.2321223,1.2250639,1.2151644,1.1994421,1.2117188,1.2028469,1.1919459,1.1789786,1.1582122,1.1557626,1.1593409,1.172664,1.1367952,1.1406646,1.1300671,1.127539,1.1265825,1.1258552,1.1083629
1.0036108,.99719393,.99254137,.99874288,.98351949,.98036325,.97615153,.97842777,.9485327,.95897341,.94946772,.9608624,.94695091,.96355224,.92740726,.93249875,.92210793,.91324186,.94409096,.90274996,.87466127,.89699107,.89190269,.89623904
1.0605319,1.0494781,1.0622232,1.0459627,1.0214745,1.0449609,1.0189717,1.02233,.99946707,1.0301162,1.0189426,1.0053906,1.0237378,1.0028803,.99894816,.98576373,.97765356,.9559927,.98241627,.98509246,.97961164,.91934144,.96592194,.94991225
1.0924944,1.0871692,1.0742087,1.0766675,1.0625852,1.0649576,1.0626086,1.0513233,1.0453799,1.0473571,1.0428741,1.0383734,1.0153456,1.0369183,1.0088228,1.0131066,1.031491,1.0069439,1.0125812,.99462551,.97881395,.99928886,.95480472,.9869312
1.0604602,1.0602527,1.0621469,1.0413375,1.0673226,1.0350358,1.036419,1.0332816,1.031229,1.0108309,1.0045953,1.0011914,.97659475,1.0053889,.98921537,.95861447,.97828645,.97410131,.98757619,.9742983,.98749977,.95406699,.9466452,.93068767
1.0647789,1.0622686,1.0536286,1.056582,1.0462835,1.0440741,1.0347265,1.0343413,1.0221499,1.0044543,1.0144235,.99300289,.98720747,1.0014663,1.0009391,.99757588,.97924614,.97579104,.98660016,.98693806,.96410167,.96958649,.93653131,.93198502
