se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
4.3090062,4.2968059,4.2806377,4.2483611,4.2303634,4.1730409,4.1633229,4.1406469,4.1366973,4.1397724,4.0988517,4.0715055,4.0187268,4.0037479,4.0321045,4.0154138,3.954926,4.0221748,3.9720783,3.8417175,3.9019363,3.8726058,3.8516245,3.8257699
3.6587527,3.6509595,3.6529429,3.6069908,3.6050744,3.5761228,3.5665493,3.5354915,3.5946763,3.4671235,3.4904461,3.4640615,3.3926194,3.4242351,3.4073379,3.361285,3.4335375,3.3602688,3.3849506,3.3067865,3.1950655,3.2093947,3.3310249,3.2954042
3.1459923,3.1316197,3.1044714,3.0936799,3.0815313,3.0903292,3.0577443,3.0291481,3.0198455,3.0134933,2.9901435,2.9766073,2.9919839,2.9469924,2.965142,2.9022224,2.9161243,2.827528,2.8611975,2.8650777,2.8386569,2.7539597,2.8046217,2.7855656
2.7604096,2.7578397,2.7409234,2.7288411,2.7413893,2.6705549,2.6959522,2.6455507,2.6489162,2.6309505,2.6271708,2.58954,2.5480442,2.5512183,2.5832772,2.521318,2.5710239,2.5326443,2.5728915,2.4187229,2.5309279,2.3832169,2.433639,2.4612286
2.698519,2.6909254,2.6597261,2.6511166,2.6430979,2.6180043,2.6426797,2.6216705,2.5962276,2.5633845,2.5715072,2.5645771,2.5719025,2.5229628,2.4930265,2.5155642,2.4974666,2.4921443,2.4300313,2.4838469,2.4403002,2.449264,2.3932407,2.379076
2.1302114,2.1325867,2.1047115,2.094758,2.0716839,2.0950711,2.0706611,2.0652514,2.0505409,2.0282972,2.0590582,2.0327685,2.0425992,2.0390658,1.9403418,1.9750943,1.9705566,1.9029204,1.9414345,2.0091252,1.9518993,1.943607,1.8158981,1.8699374
2.2194777,2.2061026,2.1937852,2.1795197,2.1739738,2.1433012,2.1494656,2.1645331,2.1036367,2.1261213,2.0697033,2.0966375,2.104068,2.059515,2.0746951,2.0357635,2.0700593,2.045342,2.0593724,1.9939111,2.0235813,1.9932903,1.9894407,1.9697516
4.0898671,4.0635085,4.0376797,4.0102668,3.9579477,3.9662468,3.9744041,3.9433415,3.8867359,3.8139248,3.8522756,3.8191009,3.8902552,3.8406236,3.8217213,3.8577282,3.8208194,3.7880633,3.775949,3.6981885,3.6552405,3.6750405,3.5719247,3.5671396
4.5795441,4.5596337,4.5191879,4.5229683,4.4923315,4.4214201,4.44872,4.4139247,4.4102049,4.3673344,4.3667669,4.3193622,4.24967,4.2738366,4.2489953,4.2667809,4.1837158,4.1871219,4.1606779,4.1349683,4.0863905,4.0878377,4.1185842,4.0692821
3.6444073,3.5598505,3.5476964,3.5806761,3.6272776,3.4259186,3.5953619,3.4973423,3.620811,3.4871397,3.410486,3.5958269,3.3273611,3.3358786,3.4122686,3.547575,3.4840622,3.3756425,3.3206062,3.2038147,3.1727405,3.2834685,3.3036919,3.0366602
3.0211112,2.9981258,3.0393479,2.9844587,2.9116933,2.8857517,2.9512904,2.9840617,2.9165101,2.8915918,2.8692815,2.88274,2.8429565,2.9417932,2.9303291,2.8238838,2.7895498,2.6503448,2.7947202,2.7415295,2.7456388,2.7279932,2.6553857,2.5443985
3.3356843,3.2949879,3.3135288,3.2228649,3.3220675,3.2995729,3.2950201,3.2196224,3.2795708,3.1779234,3.3090503,3.1401763,3.3662629,3.0088303,3.0407796,3.0944104,3.1573403,3.0162919,3.0139072,3.0390916,2.9744411,3.0346911,3.0742874,3.0924706
2.3347194,2.3279121,2.3146667,2.2689822,2.3160839,2.3083148,2.2576897,2.2338762,2.252846,2.2177789,2.2296112,2.2389627,2.1890421,2.1497316,2.1847937,2.1485057,2.0809126,2.1670475,2.1396754,2.1142826,2.1382501,2.1106114,1.9983007,2.0859475
3.9470029,3.927438,3.9011917,3.8783035,3.8603916,3.8153844,3.8097324,3.8019466,3.7927804,3.7630274,3.7616217,3.7389638,3.7265892,3.7388146,3.6694901,3.64691,3.6447363,3.6540604,3.6016531,3.5804021,3.5126638,3.5340917,3.5177958,3.4655371
2.4813309,2.4702249,2.4636364,2.413136,2.4159951,2.4215593,2.3989706,2.3886571,2.3880587,2.3558066,2.4154868,2.3587732,2.3454237,2.3202302,2.3322954,2.3176312,2.4062576,2.3041236,2.2379346,2.2120571,2.2404482,2.1847858,2.1727178,2.174849
4.4037457,4.419384,4.3164916,4.3516378,4.3666234,4.3111539,4.2782893,4.231739,4.2307558,4.2571239,4.1938,4.1759596,4.1294975,4.2132144,4.0964789,4.153337,4.051827,4.0264621,4.0159473,3.8769774,3.9822845,3.9077973,3.8109584,3.815764
4.4966755,4.4717593,4.4410796,4.4161224,4.408783,4.3673048,4.3828764,4.3239098,4.3010449,4.2955914,4.2742901,4.2646437,4.2920566,4.2243571,4.2016077,4.1309552,4.0953531,4.1128054,4.1171341,4.0376129,4.0634227,4.0272422,3.9810133,3.9738603
4.5222359,4.4921036,4.4901338,4.4420257,4.4139299,4.3557072,4.4972014,4.4220657,4.2788076,4.2908716,4.3979187,4.2797651,4.3390203,4.1577477,4.1664877,4.1802721,4.2925096,4.0647035,4.0130768,4.1062756,4.1542382,4.1930213,3.9299111,4.0907655
3.1490121,3.120333,3.1137502,3.0913167,3.0998964,3.0586827,3.0634382,3.040967,3.0341105,3.0157058,2.9884455,3.0091019,2.948298,2.9773123,2.95031,2.8963482,2.8908775,2.8894904,2.8552568,2.8485351,2.7971761,2.821136,2.8366604,2.7894969
3.9507918,3.9304593,3.9212885,3.8923318,3.8936739,3.8468208,3.8261328,3.8184459,3.8047926,3.8018742,3.7545896,3.7409458,3.7181396,3.6704738,3.6276882,3.644645,3.6323161,3.5686049,3.5968142,3.6080987,3.5719714,3.505002,3.5006704,3.5694265
2.2395213,2.2296705,2.2065449,2.2278543,2.2133348,2.1692636,2.189595,2.1913872,2.1431315,2.180779,2.1916611,2.0856876,2.1153994,2.1710098,2.1456857,2.1185424,2.0241032,2.0402062,2.030441,2.0309708,1.9538066,1.9706343,2.0270762,1.9793675
3.0497096,3.040472,2.9936373,3.002089,2.9802926,2.9846253,2.9521415,2.8976891,2.8891778,2.8733327,2.8605704,2.8639934,2.8821998,2.8616383,2.8248756,2.8146403,2.7889023,2.8071446,2.8370631,2.7276928,2.793798,2.743268,2.6856031,2.7648697
2.6691275,2.6603913,2.6472449,2.6296875,2.6033084,2.6481047,2.5659726,2.5744696,2.5528612,2.5495436,2.5247726,2.5343642,2.4604228,2.4598098,2.4845767,2.4697151,2.5395854,2.4717257,2.4605367,2.4350247,2.4174404,2.3796835,2.3802249,2.4247727
3.851953,3.8364174,3.8226843,3.7830689,3.780262,3.7943814,3.7364154,3.6893377,3.6914032,3.6926467,3.6942129,3.6323485,3.6235042,3.5956714,3.6140106,3.5537341,3.5098801,3.490268,3.452446,3.4670875,3.4510503,3.4831879,3.4121242,3.4539828
2.847373,2.849417,2.8229089,2.8054016,2.7818663,2.7739329,2.7656124,2.7147889,2.7436206,2.7770073,2.7426183,2.6873322,2.6935318,2.6898363,2.6342533,2.6399691,2.6580999,2.6000814,2.6126809,2.5795345,2.5752468,2.5232239,2.5538104,2.5448997
3.3579206,3.3413355,3.3254366,3.3108356,3.285877,3.2415509,3.2521892,3.2043986,3.2164824,3.2197585,3.1701021,3.1872044,3.1996007,3.172539,3.1095994,3.1021333,3.0586429,3.0914321,3.0298121,3.0877352,2.9793005,3.0077305,2.9610748,2.9824979
3.6293559,3.6121864,3.590862,3.5787296,3.5616889,3.5425594,3.5229864,3.5004578,3.5076523,3.4835627,3.4870524,3.432524,3.4499559,3.3979597,3.3852482,3.3215952,3.3298357,3.3454854,3.2835898,3.3296082,3.2988067,3.2293787,3.2539227,3.1994159
2.1965148,2.1759741,2.1765459,2.1529553,2.1602752,2.1755357,2.1307082,2.1052876,2.08883,2.1168158,2.0490437,2.0988038,2.1129999,2.0632682,2.123888,2.1408153,2.047631,2.0066705,2.0667727,1.9426595,1.8944761,1.9772553,1.9584137,1.9208692
3.5978248,3.5735557,3.562484,3.5489364,3.496094,3.469965,3.5076392,3.5228171,3.428899,3.4071038,3.4055657,3.4447708,3.4456844,3.3151309,3.3901341,3.2978125,3.3839049,3.3277357,3.187499,3.2977211,3.2835438,3.1619534,3.1399298,3.2527626
4.7624259,4.7337704,4.7139482,4.6944594,4.6747661,4.6391268,4.6277452,4.6106596,4.5684648,4.5575938,4.512598,4.5125723,4.4774904,4.4533997,4.4187346,4.399663,4.3885059,4.3444471,4.3297033,4.3276005,4.2910891,4.2604432,4.2330189,4.2081275
3.5529079,3.5401683,3.5186334,3.5194123,3.4788756,3.470768,3.4665468,3.4080312,3.417511,3.4209108,3.3612375,3.3601274,3.3764358,3.3280892,3.2868981,3.288614,3.3057454,3.2578306,3.2129667,3.1976361,3.2257473,3.1384833,3.1362064,3.1585686
2.7676449,2.7510326,2.7431798,2.7234342,2.7340775,2.6629288,2.6876855,2.6718712,2.6472228,2.6643558,2.6551764,2.6250286,2.6047337,2.6084471,2.5409746,2.6077442,2.5645974,2.5555351,2.4987264,2.5394607,2.5322964,2.4672427,2.4777527,2.464922
4.3251295,4.3067608,4.2835689,4.2419653,4.254745,4.2250338,4.2076569,4.2085528,4.1835189,4.1590099,4.2072415,3.9607704,4.1513429,4.1226773,3.9867232,4.036448,3.972882,4.1010652,3.8810294,4.0560136,3.8943422,3.9526708,3.7400148,3.7286744
5.1458941,5.1164837,5.0841007,5.0707526,5.0289879,5.0278258,4.9847417,4.969635,4.9156404,4.9091496,4.8703766,4.8434005,4.8209596,4.8102932,4.7648807,4.7132401,4.7464137,4.6921062,4.6484256,4.6403151,4.6204481,4.604218,4.607841,4.5627365
2.692075,2.6830137,2.663717,2.6588478,2.646291,2.6531639,2.6027038,2.609067,2.5936553,2.5795138,2.5198045,2.5215268,2.5776262,2.5600891,2.5143225,2.5211856,2.4900098,2.5131469,2.4745414,2.4386497,2.3969676,2.4795005,2.4356625,2.3919022
