se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.3750758,1.3676808,1.3648651,1.3593674,1.3464416,1.3389051,1.3355099,1.343266,1.3194437,1.3245207,1.3041198,1.2982543,1.3074054,1.278352,1.2863787,1.2818981,1.2714665,1.2568247,1.2687857,1.2342938,1.2503603,1.2492862,1.2545201,1.2236015
1.2907275,1.2820643,1.2720929,1.2724245,1.2737806,1.2661699,1.2456799,1.247062,1.2411976,1.2395716,1.2309781,1.2350162,1.2034324,1.2024537,1.2162884,1.1926409,1.182362,1.1904291,1.1848817,1.1712229,1.1577948,1.1679106,1.1421977,1.1544658
.78428352,.78178281,.78581911,.77017379,.77992058,.76035482,.76415926,.75721449,.75058985,.73582637,.73910576,.73509026,.75099355,.73773199,.7317363,.73455578,.69715786,.72180378,.68595248,.72150195,.69449341,.70192099,.69711375,.6973924
.70182669,.69972652,.69061768,.68299216,.69140214,.68628091,.69039142,.69184929,.65207636,.67464334,.67486018,.663333,.64628875,.65881038,.635333,.66290575,.66452146,.64899546,.61065507,.63194531,.64008319,.63926423,.66485792,.64353991
.70269358,.70196974,.69662666,.68563372,.68899989,.69103754,.68681496,.67606008,.68601435,.67736357,.67246807,.6616838,.67093885,.67893237,.65841872,.65024406,.681081,.65255475,.64688051,.64454275,.6330893,.61417931,.64993387,.62678522
.76761299,.76573849,.75882614,.75150859,.75195384,.74486488,.74785256,.73926842,.73321307,.74105352,.73131478,.73137033,.72502059,.7250216,.72100598,.7113812,.71318752,.70423371,.6952458,.69656032,.68547785,.69433457,.68469203,.70217621
.6234377,.62276179,.6169439,.61953467,.60644984,.61496347,.60269117,.61007071,.60556024,.59415209,.59529471,.579153,.60384363,.5775252,.57311368,.58249664,.58399951,.56234139,.56452835,.58436477,.55552375,.54232132,.54020441,.58261812
.82667333,.81980467,.82501417,.82260317,.83036989,.81474662,.79449266,.82228106,.79651785,.79034829,.78259623,.78318143,.77819484,.78046715,.78575486,.75196695,.78273904,.77128363,.74093544,.73805523,.71737164,.74703568,.76658088,.74786848
.66090423,.65906602,.65959889,.66218626,.65505683,.64433664,.64689922,.62967819,.63282257,.65211999,.61326873,.62073195,.60895097,.62192649,.62085551,.61110383,.60539275,.61149466,.63158149,.61452824,.58995712,.57799488,.58131039,.61410207
1.2182659,1.2113231,1.2062677,1.2011728,1.193812,1.1861656,1.1813622,1.1775485,1.1702864,1.1633953,1.1575335,1.1500186,1.1451931,1.13919,1.1361029,1.1285366,1.1197815,1.1125441,1.1183593,1.1094053,1.0901943,1.0905751,1.0934856,1.0847834
.91553754,.91188675,.903965,.90267032,.89710027,.89141411,.88852078,.89220804,.87593323,.87384218,.87440395,.85254025,.87036526,.87298542,.85425228,.8637085,.82866824,.8235122,.8350656,.84645963,.83132762,.83944607,.80152977,.82657427
1.0217537,1.0151824,1.0103009,1.0070297,.99455523,.99914968,.98870409,.9968003,.97623557,.98315316,.97997528,.96332341,.96579951,.95381355,.95502961,.95048505,.93842578,.93835789,.93603736,.94192094,.92272228,.9227612,.91595101,.90000826
.95358521,.95093489,.94356555,.940826,.93586904,.94585758,.92491746,.918378,.92119867,.90759158,.91328996,.90559942,.87698686,.89134806,.88183105,.89653105,.86324507,.88868946,.84214449,.85587424,.85264152,.85465735,.86567628,.84955823
.86867839,.86303049,.85748941,.85449803,.85627836,.84271371,.84776598,.84352893,.83399564,.81971675,.81333715,.81574064,.80827302,.81841427,.80473429,.81284732,.79647607,.79574084,.79149276,.78573745,.78321242,.7888521,.78190488,.79062343
.64220142,.63780963,.62586337,.63790017,.62555557,.62402999,.63020068,.64071971,.62063235,.61770105,.60784429,.62242651,.59971398,.63589454,.60690212,.60483795,.564331,.5717907,.57919055,.60241914,.58997816,.58883822,.57708681,.56912839
.80250728,.79472095,.80635571,.78814822,.79256952,.78357202,.78513098,.77876681,.75593984,.79195905,.7432065,.76347584,.74144202,.74866897,.74366987,.73340428,.77047586,.7218948,.70387256,.70762944,.72072178,.71333241,.71314842,.69222993
.65309364,.64233953,.64756429,.65601063,.64482236,.66212696,.64428234,.62978911,.63271779,.63211596,.63213742,.62274772,.62211752,.61873871,.63006419,.59542948,.60610336,.62838006,.59808457,.62268877,.58825237,.5897631,.58757198,.56446666
1.1157395,1.1115016,1.1063478,1.100621,1.0979086,1.0852011,1.0877458,1.0728154,1.0734354,1.062301,1.0539485,1.0585649,1.0528022,1.0364375,1.0339668,1.0385507,1.0209918,1.0144094,1.0151833,1.0112157,1.0155067,1.0065883,1.0189698,1.0061859
.73667163,.73455,.72934484,.72286409,.72790599,.71714669,.71346778,.71119666,.69941205,.6948474,.69572234,.69568652,.66675645,.68366551,.67701989,.67558128,.68802834,.67678654,.65762329,.6706869,.65459186,.66249293,.64005631,.66721213
1.2320145,1.2274503,1.2177416,1.2136049,1.2128366,1.2001033,1.1965631,1.1855308,1.1777799,1.1755396,1.1657339,1.1620981,1.1624039,1.1535815,1.1337707,1.1401106,1.1259791,1.1392107,1.1369077,1.1177807,1.1163383,1.1064383,1.0989227,1.0956905
.72036874,.71702874,.70609897,.71775275,.71557778,.70090854,.69202846,.68638504,.69788098,.69717783,.68441081,.69107801,.68669391,.6795364,.6750679,.66265243,.67112774,.66639,.65741152,.65921688,.66082519,.6699537,.64612091,.6352973
1.0431657,1.0382549,1.033066,1.0338757,1.0184432,1.025566,1.0169641,.99979895,1.0103877,1.0105762,.99426168,.97861069,.98142004,.97701144,.95834678,.96042961,.96226817,.95849538,.94540113,.94496131,.9422878,.93899786,.93445963,.92167604
