se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0726508,1.0667397,1.0606704,1.0570598,1.0519643,1.0446551,1.0373974,1.0396706,1.0264125,1.023777,1.0212989,1.0100691,1.0056632,1.0007786,.99253756,1.0017542,.98509586,.9902873,.97271043,.9588716,.96728712,.95620412,.94847959,.95084697
1.1728835,1.165063,1.1618654,1.1568575,1.1526455,1.1461463,1.1310258,1.1365638,1.1222676,1.1229483,1.1139112,1.1065004,1.1061025,1.1014453,1.0871391,1.0863378,1.0754663,1.0749701,1.0640475,1.0625705,1.0593396,1.0570716,1.0429045,1.0441524
.605488,.604976,.60335428,.59779221,.59933108,.59408867,.58698142,.58771414,.5827381,.57888079,.57204825,.57509142,.5664947,.56427801,.57089287,.56996983,.55847174,.56048888,.54801214,.54955512,.54387861,.54283893,.53862941,.54196584
.66647851,.66078645,.66004282,.65664309,.65436798,.65908563,.64185393,.64319587,.62945509,.64245397,.64696252,.63218731,.6224339,.62794292,.61152232,.6173926,.62567335,.61831248,.61497152,.60802907,.58823711,.59861112,.59563476,.57958061
.6554625,.65279281,.64906335,.64634711,.64557433,.63824505,.62948275,.6367622,.6245541,.63674515,.62025678,.63093841,.61335582,.62089872,.61440647,.60076481,.5958631,.60032582,.59495598,.60567439,.58995122,.58797914,.5832569,.59156847
.60515648,.60485208,.59730321,.59627384,.59159982,.59524554,.59631938,.58806086,.58593267,.57053965,.58008426,.56681716,.55787146,.5798617,.56351501,.56246352,.55976444,.54539293,.55394852,.56005663,.54772949,.55067253,.52936435,.53881752
.60638541,.60330319,.60023654,.59885442,.59387445,.58383733,.58322525,.58130479,.58957702,.5752793,.5774107,.57790357,.57539952,.56710637,.56573218,.57689333,.57157671,.56655473,.56120819,.55218786,.5394482,.54234093,.54591167,.55659848
.96846777,.96408111,.95940912,.95071101,.94970745,.95224673,.93010163,.93628579,.92993027,.93042707,.91684622,.90394932,.89961553,.90535498,.90547031,.89390165,.88237798,.87241668,.86950547,.88285369,.87254322,.87475598,.88771796,.85128617
.60331905,.60108012,.59895384,.58713734,.58645451,.59334695,.58995199,.59039062,.57983774,.57318753,.56500751,.56012499,.57804692,.57010758,.55040771,.56760794,.55389988,.54022187,.55646765,.5383603,.54638892,.56061995,.55710268,.53721219
1.0350784,1.0315161,1.0220182,1.018798,1.0148525,1.0103236,1.0007552,1.0014195,1.0004512,.9859466,.98588508,.98488539,.97640014,.96937996,.97174966,.95599049,.95460439,.95797861,.94599783,.93673086,.93652588,.92544109,.91892892,.90773332
.65101779,.64662927,.64511347,.63539088,.64334565,.63255513,.62967253,.62563026,.62104368,.63631076,.60745281,.61373949,.61005306,.60717881,.60407627,.61754358,.61009759,.57508695,.59546685,.60008889,.5918178,.58986121,.57886559,.59254861
