se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.81691164,.81109411,.80723888,.80663645,.80217749,.79721653,.79203928,.79672664,.77673829,.78429371,.77783954,.7665143,.7705946,.75635147,.74994832,.76679951,.74987805,.75906754,.73015541,.7205863,.73799783,.72924292,.71140736,.7334587
.93469083,.92768115,.92408919,.9213509,.92021173,.91338295,.89958102,.90471458,.89623606,.89556092,.88704252,.88035578,.88131952,.87781864,.8632347,.86579186,.85571086,.85569763,.84449297,.84837121,.84434021,.8412028,.8291117,.8345893
.56328166,.56384933,.56248796,.5568642,.56044656,.55406106,.54679316,.54875797,.54521662,.54096967,.53155321,.53642386,.52676684,.52304947,.53153843,.53355563,.51971865,.52226317,.50843382,.51008129,.50468433,.50453264,.49972925,.50608796
.59190476,.58595872,.58693784,.58378881,.57588434,.58270705,.56531441,.57403594,.5451442,.56465864,.57419997,.56865197,.53940606,.55976486,.54878449,.53955775,.54384971,.55600584,.5547393,.54091728,.50664365,.52993399,.54024881,.51690668
.5882256,.58661884,.5852561,.57965386,.58084583,.57319808,.56327927,.56921321,.56092882,.57070267,.55250633,.56816936,.5502364,.56117928,.55459332,.537314,.54127222,.53833073,.5312407,.54553092,.53399539,.52919739,.5306477,.53104019
.55272496,.55377173,.54498965,.54494262,.54100394,.54635441,.54730773,.53395122,.5302487,.5247348,.53321314,.5217914,.50411481,.53300107,.52210891,.51370043,.51380342,.49180356,.5047769,.50732756,.50843453,.50079256,.48733062,.48256081
.54151607,.54004455,.53894675,.53472155,.53048593,.52011949,.51965368,.5176304,.5238111,.51064688,.5206818,.521258,.50981319,.50442171,.5075326,.51048642,.51530355,.49652335,.49648026,.49720278,.48806745,.47240862,.48053694,.50011659
.72845525,.72377491,.72145981,.71353579,.71352035,.71495402,.70114654,.70563591,.70100683,.70391959,.68951851,.67830092,.67456543,.68357116,.68137866,.67313981,.66369867,.65190119,.65033227,.66287231,.66126299,.65927827,.67781407,.63898611
.56692195,.56470853,.56298757,.55201763,.55126613,.55830437,.55316681,.55396336,.54190534,.54262084,.52750313,.5298602,.54100806,.53210938,.52148789,.53349811,.51948005,.51011574,.52758586,.50341725,.51589161,.52692515,.52420366,.50506246
.85474074,.85173476,.84281939,.83884722,.83832431,.83696383,.82361329,.82700956,.82590204,.81606513,.8134613,.81516188,.80783647,.80494589,.8002246,.79006952,.78467453,.79002666,.78473061,.77973628,.77604645,.76470363,.75625831,.75039816
.59604716,.59183717,.59083283,.58216518,.58963895,.57921624,.57726949,.57314873,.57122958,.58183503,.55636239,.56178129,.56180912,.55729777,.55429262,.56087899,.5601362,.52559358,.5489648,.54537117,.53998339,.54423761,.53141016,.54223043
.82413679,.82159048,.81970435,.81144738,.81391877,.80909872,.80084455,.80255538,.79506832,.78359073,.79184723,.77758682,.77345675,.77225274,.76696479,.76346833,.76174068,.75250602,.7513141,.75632703,.74655795,.73772305,.73676813,.74071568
.72269636,.72552401,.7133894,.71361816,.71899277,.70713943,.7061367,.69432008,.70245212,.6896916,.70065552,.68003196,.67420894,.6808843,.68533182,.67125267,.68297547,.66704291,.6717968,.66462159,.64740068,.66177589,.65701747,.63897192
.59541154,.59772885,.58889151,.58451444,.58124506,.58159828,.57812494,.57348782,.57574123,.56630582,.57123715,.56870341,.55635637,.54450864,.56023103,.54976308,.55686903,.53840619,.54933304,.54098463,.53483897,.54613119,.536753,.54795647
