se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.59094274,.58704585,.58279294,.58309948,.58055037,.57383507,.56787133,.57797986,.56204665,.56270725,.56423926,.55302805,.5496121,.54910964,.54069322,.56197566,.54053628,.55457312,.53272647,.51386559,.53724253,.52167177,.51515949,.52645069
.61406565,.60668945,.60980648,.60803097,.6081543,.60358804,.58204824,.60146379,.58252394,.59134722,.58249098,.57679653,.58315414,.58323759,.56409544,.57113814,.55790085,.56430197,.55109125,.55752182,.55862284,.56193155,.54482555,.5559932
.69790262,.69647014,.69406039,.68886703,.68881297,.68358654,.67650431,.67615622,.67082697,.66682136,.6601851,.66230637,.65350693,.65086669,.65554887,.65366054,.64338791,.6441254,.63256031,.63314486,.62790823,.62526625,.62202603,.62286204
.60396624,.59816867,.59813827,.59496021,.59362483,.59953517,.5807144,.58321875,.56821805,.5837577,.58941782,.57278264,.56265312,.57023293,.55124307,.55948675,.57036662,.56112534,.55894423,.55210871,.53047943,.5429095,.540452,.52241153
.63136727,.62881202,.62505817,.62259179,.62214911,.61461627,.60584652,.61392719,.60115051,.61433333,.59712809,.60853076,.59027797,.59849417,.59184277,.57805115,.57292372,.57818317,.57263893,.58484507,.56840354,.56638384,.56152099,.57138789
.57529807,.57528281,.56759053,.56697035,.56208092,.56626225,.56749672,.55915993,.55759275,.54147977,.55171615,.53759032,.5294168,.5520488,.53477865,.53489244,.53270537,.51821536,.52666253,.53371549,.52131808,.52440166,.50204587,.51316398
.615183,.61205566,.60898185,.60734135,.60240984,.59238273,.59168327,.58988535,.59817213,.5836705,.58607465,.58616811,.58387327,.57540524,.57391173,.584822,.5796203,.57506108,.56941229,.5598954,.54734355,.55096805,.55400974,.56390595
.68958378,.68647689,.68336064,.67486411,.67628402,.68420357,.65574777,.66793573,.66265249,.66661507,.64972293,.63557839,.63269132,.64445698,.64879441,.63539088,.6219967,.61065906,.60989094,.63341218,.62120825,.62829161,.65028816,.60047114
.58739936,.58557427,.58316678,.57087147,.57090658,.57856554,.57493138,.5757246,.5648241,.55775887,.54973745,.54433441,.56407452,.55519843,.53501058,.55342168,.53926462,.52429157,.5413782,.52300555,.53121871,.5481295,.54472089,.52380806
.60533017,.60496801,.59472758,.59472281,.59449244,.59213376,.58186924,.58842415,.59186381,.57383686,.57865232,.58370167,.57585168,.56914556,.57738602,.55878836,.56056887,.57223976,.55832946,.54802936,.55231273,.5401209,.53275895,.52132648
