se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.3015161,1.2977887,1.2881348,1.285129,1.2755835,1.2675604,1.2629246,1.2532008,1.2446252,1.2411331,1.2454728,1.2378674,1.2249049,1.2212656,1.2171243,1.2070262,1.197234,1.1863799,1.1854932,1.187502,1.1710143,1.1683728,1.1503725,1.1536111
1.3735548,1.3662574,1.3580739,1.3417221,1.3503182,1.3375958,1.338659,1.3322108,1.3188306,1.3119159,1.308669,1.2998393,1.2952548,1.2848101,1.2827669,1.2773163,1.2609326,1.2584349,1.2441437,1.2300026,1.2400674,1.2450807,1.2232052,1.2097696
.98568946,.98140097,.97795981,.97149128,.96671706,.95715851,.95258415,.9498775,.94720817,.94590992,.94408995,.92276901,.91888225,.92820293,.91465235,.91394943,.89355439,.9030748,.89657861,.91055965,.88375342,.88144273,.88494432,.85324204
.97985536,.97623515,.9682622,.96457928,.96069807,.95936948,.94374746,.95037937,.93853396,.9560259,.93246794,.93660229,.90954196,.92802757,.91316634,.90078604,.89887685,.90608323,.89996409,.87571633,.88031089,.87222862,.88476533,.89776075
.92145276,.91555053,.91351527,.9077428,.89827675,.89910382,.88652205,.88475639,.89258498,.88926929,.87837768,.87961251,.86669552,.8589505,.86149645,.84826255,.85241085,.85013258,.84463835,.83363414,.83689713,.83603764,.81815666,.80987662
.90854341,.90424597,.90287107,.88864768,.88765949,.88550526,.88787252,.88146544,.87459952,.87367749,.86998433,.8532691,.86220324,.87262249,.84811318,.84706986,.84542668,.84523076,.81613529,.83318734,.83030063,.82355011,.80109435,.80749631
.90360177,.89514393,.89684427,.89073628,.88213414,.86761618,.87359166,.87046123,.86660385,.8656621,.8611446,.85394865,.83019739,.8483116,.86137629,.84737962,.84695143,.84277916,.82205164,.79810482,.81400627,.80780822,.79267544,.81227428
1.2266023,1.2230254,1.2137195,1.1923987,1.2045933,1.1890417,1.1919416,1.1956934,1.1627541,1.173686,1.1720542,1.1479152,1.1483434,1.1442635,1.1396009,1.1553284,1.1248362,1.1149882,1.1165773,1.1000162,1.1065357,1.103588,1.0987713,1.07042
1.0902489,1.085583,1.080606,1.0716348,1.0689383,1.0576813,1.0498919,1.050851,1.0573459,1.0325499,1.0370743,1.0228165,1.0291508,1.0082834,1.0308218,.99559867,1.001139,.99686581,.9952333,.99283844,.97576433,.9812485,.97339803,.96984172
1.3535491,1.3464429,1.3391662,1.3354417,1.3314819,1.316867,1.3141304,1.3090351,1.2986895,1.2960656,1.2863222,1.2705483,1.2682174,1.2760077,1.2581989,1.2522246,1.2383161,1.2195811,1.2330552,1.2236136,1.2268159,1.2148162,1.1957952,1.1996971
.90335935,.89784569,.88734114,.88503587,.88707078,.88377059,.890993,.88554233,.87837219,.86309832,.85316366,.88006938,.8502211,.85767525,.8185727,.81934702,.83428448,.80257446,.78633875,.81049234,.81076252,.81208307,.82862294,.81076348
1.166806,1.1623632,1.1530699,1.1508466,1.1461455,1.1364152,1.1349796,1.1313922,1.1262864,1.1215049,1.1108273,1.0935248,1.100377,1.1002237,1.0828528,1.0823238,1.0792422,1.0697738,1.0611788,1.062796,1.0442909,1.0447838,1.0503411,1.0224134
1.1942209,1.1894195,1.1787713,1.1875315,1.1702331,1.1631237,1.153507,1.1648344,1.1495159,1.1502255,1.1377434,1.1375705,1.1161649,1.1160101,1.1074989,1.1191093,1.1077297,1.1148328,1.096589,1.0954715,1.064019,1.0699805,1.0735101,1.0740937
.95497876,.95045626,.94242662,.93587542,.92592311,.92715633,.91758758,.91369539,.9163025,.91625094,.89622146,.91290396,.90872538,.88781798,.88904089,.89974141,.88500059,.87355876,.86215967,.86773771,.8625586,.84501475,.85757965,.86924422
1.0132986,1.0107532,.99929404,1.000246,.99310279,.98962677,.9917016,.98166198,.97039831,.95736706,.96257699,.94959038,.95298272,.95275462,.94015861,.93324226,.92888725,.91994172,.93929541,.90362972,.9022792,.89912575,.89222682,.91209322
.99773937,.99375987,.98891813,.97655231,.96993124,.97740293,.96028495,.9792943,.974383,.95394367,.93908828,.94475538,.94559759,.95496434,.92835402,.91613233,.91743135,.92463011,.91821265,.86926466,.9239037,.90186912,.90488952,.89644128
.93298012,.92727369,.91897982,.918926,.90181738,.91744745,.90448093,.92735618,.89435285,.8892709,.89782786,.89403725,.8738237,.86470848,.87981421,.86037922,.8570115,.85664403,.85221416,.85394007,.8391822,.84083688,.8258006,.8344999
1.3634621,1.3555871,1.3474647,1.3375304,1.3406529,1.3300873,1.3330519,1.3131576,1.3034669,1.3032025,1.2931293,1.2875627,1.2819903,1.2797289,1.2786676,1.2653488,1.2423792,1.2547314,1.2488399,1.2461739,1.2228683,1.2082582,1.2170501,1.2329731
