se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0952275,1.086385,1.0836436,1.0763339,1.073961,1.0711349,1.0610476,1.0639385,1.0513279,1.0616164,1.0476078,1.0432013,1.0379323,1.0174413,1.0248426,1.0032463,1.0038298,1.0051965,1.0110106,1.0039778,.97559917,1.0036623,.96819264,.98360968
1.7927854,1.7858794,1.7735175,1.762376,1.7603998,1.7481313,1.7425742,1.7250775,1.7103659,1.7234176,1.7051255,1.6916374,1.6789398,1.6845348,1.6632898,1.6460698,1.6464682,1.6471119,1.6325206,1.6123792,1.6096128,1.6013899,1.5995071,1.5751547
.83463287,.83284444,.83359021,.82159513,.812639,.81830055,.81136709,.79720736,.80279779,.79270571,.80926353,.79022694,.78979349,.78325307,.77635407,.77136207,.76699251,.77704865,.74926275,.75178164,.75308907,.75347465,.74345398,.76053834
.9616226,.95964438,.95871109,.94995171,.95011365,.93419772,.93733788,.95526159,.93129563,.91421521,.91775715,.91900665,.92265737,.89223593,.90567744,.87841505,.87054545,.88384581,.91094333,.88905334,.87915021,.88719738,.87623036,.85315007
.77663845,.77529645,.76056176,.77090591,.75862324,.75844413,.75479925,.73652864,.7600252,.75623131,.73215258,.74864614,.73783696,.71777517,.72180015,.71208507,.71185124,.7119723,.72162598,.71133578,.7041778,.70378608,.72427559,.71108443
.85913783,.85624099,.84629142,.84095448,.84033155,.82982284,.8411051,.84268612,.81220055,.81451803,.84464753,.82786983,.81311077,.79186022,.78486872,.78676724,.78684908,.78923571,.78564548,.77822495,.79628885,.78268242,.77391684,.77717566
1.013172,1.0073595,.9993782,1.0012388,1.0012939,.9928351,.98162758,.97397178,.95499855,.96614236,.96650243,.97756642,.95844144,.94194376,.93960541,.94479907,.92621952,.93252212,.9277634,.92503148,.91415477,.92951864,.91614598,.90214998
1.1496869,1.1404066,1.1464996,1.1319971,1.1465967,1.122309,1.1099982,1.1144086,1.118891,1.1049067,1.1141262,1.1225617,1.0385058,1.0998187,1.0645573,1.0665479,1.0381062,1.0391855,1.0476241,1.0513798,1.0414288,1.0372567,1.0240287,1.0301903
1.0743414,1.0680711,1.0606309,1.058455,1.0549984,1.0443431,1.0353986,1.0381988,1.0271591,1.0203991,1.0215266,1.0126243,1.0130042,1.0099725,.99593115,.99923962,.98912615,.98553491,.9902212,.97696537,.9595834,.96415496,.96116734,.97366631
1.2090436,1.2008594,1.187386,1.192325,1.186051,1.1839651,1.1757739,1.163698,1.1709644,1.1508855,1.1470889,1.1510428,1.1443363,1.1102021,1.1153684,1.129477,1.1097449,1.0897791,1.1013438,1.1017972,1.1243331,1.0863099,1.1121993,1.081136
.9700653,.9635157,.95807076,.94393939,.95896405,.95052564,.9448027,.94526505,.93042707,.9365589,.91862655,.91476709,.92415679,.90873927,.88009334,.88942027,.89411402,.90262663,.88141739,.87406349,.8661595,.8760249,.87985086,.83201659
.83601946,.83105534,.82581902,.81456965,.80746222,.82462001,.8210972,.82673419,.80708128,.79857105,.79770654,.80920213,.78943563,.77299583,.78598988,.77109283,.78027666,.77862519,.74427783,.76553935,.75847697,.76156008,.7728855,.74991453
1.0174975,1.010873,1.016223,1.0013369,.996521,.98720086,.98184907,.97729671,.97434527,.96508449,.94961745,.95749879,.95975173,.94500321,.93728966,.9463833,.95041639,.94569033,.95517367,.92330348,.90910244,.91145641,.9348197,.91951758
.99249816,.9892928,.98596364,.98596781,.98211497,.9675104,.95820749,.95841473,.95047152,.9408856,.95283389,.93424052,.94853705,.92013061,.91653657,.93424571,.91646385,.89931142,.89998984,.89971536,.88212377,.87800145,.87941211,.88697016
