se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.3126646,1.3047377,1.3009515,1.2927626,1.2823676,1.2680601,1.2714201,1.2556442,1.270656,1.2477207,1.2506738,1.2464961,1.2491126,1.2244496,1.2134061,1.2075068,1.2050188,1.2080617,1.219118,1.1891967,1.1818212,1.1607656,1.1859519,1.1586136
1.2918248,1.2851545,1.2767712,1.2689242,1.2701135,1.258973,1.2559909,1.2576195,1.2375778,1.2282332,1.236281,1.2266095,1.212323,1.1939262,1.1919513,1.1914124,1.1912018,1.1885446,1.1796012,1.1623989,1.155501,1.1521468,1.1748855,1.1362562
.72646731,.72488689,.72417814,.71490031,.71614254,.71524954,.70252353,.70525241,.69938171,.68827289,.69407517,.69017559,.67581606,.68478054,.67908156,.68365818,.6671617,.65460962,.66699314,.67201418,.64945024,.65774256,.6439082,.63787234
.765697,.76484221,.74866724,.76195604,.75341785,.75362843,.73683733,.73260653,.74938196,.72834742,.72815776,.69883782,.73596174,.71623707,.73800451,.6945653,.70650816,.7198863,.71149093,.69745559,.72108626,.69171458,.65358317,.69160658
.67409319,.67363089,.67272902,.66173804,.6609903,.67678362,.65570945,.6519556,.65331388,.65713722,.64708662,.63066345,.6318208,.64467728,.64794391,.61735547,.63641447,.61613661,.61714637,.63583022,.61116254,.57514256,.60697323,.60103756
.60292727,.59930408,.59453589,.59339786,.58371168,.59009969,.58265376,.57722139,.58057731,.56716949,.56555885,.57726508,.57073092,.56023002,.59674215,.57602143,.54380417,.55367321,.56217605,.53974354,.54001617,.52909797,.55747789,.55020422
.55077916,.549869,.5516035,.55107439,.55751455,.53633755,.53077233,.53846443,.54320014,.51312339,.50502098,.5481959,.52882677,.5267005,.53104794,.49409404,.50552577,.50245571,.50887024,.48633328,.5059917,.49068561,.51114565,.52707928
.96867603,.95631152,.96352226,.95081532,.94603741,.94482505,.9391005,.94894731,.9301362,.93383378,.92319971,.94118553,.91006601,.89465719,.92384493,.89571083,.89158428,.91066372,.87727642,.88848829,.8869704,.88063425,.90166718,.86639428
.5604105,.55611944,.55783468,.56077588,.55826783,.55646878,.55444252,.56882465,.54868388,.53052485,.53319138,.56583929,.53213578,.52763253,.52788866,.4943614,.52241009,.49217552,.5116986,.49434584,.48873457,.48531502,.48256782,.5031141
1.0533894,1.0469351,1.0477263,1.0466975,1.0379673,1.0302142,1.0165641,1.0215392,1.0226483,1.0085433,1.0140439,.99264359,1.0148976,.991436,.96786457,.99344277,.97256994,.97208166,.95467931,.95411849,.99669784,.94645137,.94600922,.93092132
