se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
2.6174648,2.6105378,2.5891032,2.5861065,2.5635936,2.5496349,2.5194705,2.5406044,2.4959962,2.4905281,2.4870715,2.4812593,2.4628036,2.4403982,2.4539051,2.4586256,2.4523058,2.3838303,2.3962104,2.3839586,2.3520312,2.3265994,2.3392813,2.3427958
2.2361267,2.2323215,2.2414339,2.1855707,2.1720653,2.1758528,2.1870494,2.1501563,2.1847601,2.1271358,2.1137426,2.1183221,2.0897598,2.0995467,2.040463,2.1283064,2.0520363,2.0702786,2.0364962,2.0149469,2.0379298,2.0814183,2.0694273,2.0568321
1.9271394,1.9205434,1.9238226,1.9094863,1.8790751,1.8665526,1.835286,1.8609669,1.8353701,1.8786508,1.8169832,1.8175365,1.8151327,1.824085,1.8093013,1.7683916,1.7818696,1.7353305,1.7964871,1.7508805,1.7235181,1.7977631,1.7137281,1.7002085
2.0261323,2.0198088,1.9984527,2.0153821,2.0094824,1.994153,1.979673,1.9306716,1.9476103,1.9513098,1.9568671,1.8774449,1.9155602,1.9328258,1.9150165,1.8853127,1.8425461,1.9188223,1.8729452,1.8524632,1.8613324,1.8226517,1.8222479,1.8869122
1.9016007,1.8992447,1.8629644,1.8859094,1.8643739,1.8470217,1.8446984,1.8354877,1.8246523,1.8131148,1.8385264,1.7969595,1.766297,1.7828045,1.8034139,1.7797606,1.735472,1.7160813,1.7240165,1.6977694,1.7020956,1.7046626,1.6905143,1.7335832
1.8269621,1.8247834,1.7921354,1.8128893,1.8104209,1.7758902,1.7737244,1.7563344,1.7458171,1.7659111,1.7352763,1.7169673,1.6725652,1.6767728,1.7242447,1.7050844,1.7168375,1.6657505,1.6424037,1.6769441,1.6526849,1.6249229,1.6853312,1.6527851
2.1963482,2.1830595,2.1739473,2.1699879,2.1713879,2.1451504,2.1476362,2.1274209,2.0923398,2.1536009,2.0939114,2.1105435,2.0674913,2.0591533,2.0599203,2.073441,2.011071,2.0235896,1.983409,2.0171528,1.9616197,1.9847797,1.9547216,1.9542272
3.8052893,3.7884429,3.7675719,3.758388,3.7093854,3.7168605,3.6970129,3.6688645,3.6665492,3.6581399,3.6504962,3.5820246,3.6043508,3.5717523,3.501631,3.5287812,3.5102775,3.5115731,3.4637659,3.4868517,3.4369802,3.4167578,3.3875732,3.3921177
2.4957118,2.486346,2.4603097,2.4566774,2.4485686,2.4221227,2.4362485,2.432152,2.4303236,2.364562,2.3805397,2.3610389,2.3275645,2.3444517,2.3727825,2.2774293,2.2931979,2.3031521,2.2650511,2.2775245,2.2245665,2.2154875,2.2622678,2.2490542
3.1362453,3.114728,3.0795848,3.0996361,3.0525675,3.0478408,3.0642142,3.0257251,3.0284686,2.9702816,2.9721861,2.9566016,2.9717071,2.9307446,2.9133778,2.9350431,2.893764,2.9411609,2.8914735,2.8382154,2.8339806,2.8244476,2.7675087,2.7490201
2.0828824,2.0719435,2.0419896,2.0443935,2.0569961,2.029089,2.0391533,2.02195,2.0177724,2.0102227,1.9817591,1.946628,2.0233066,1.9946429,1.971935,1.8948009,1.9173442,1.9175104,1.8564084,1.8135109,1.8598611,1.8634928,1.8580601,1.7750467
2.0276902,2.0024054,1.9949007,1.9853457,2.0087357,1.9681216,1.9884875,1.9389081,1.9626293,1.9186846,1.94883,1.9142203,1.9510791,1.9583061,1.9193585,1.8622551,1.8491008,1.8769302,1.8949265,1.8290174,1.8726764,1.8616898,1.8240662,1.8215808
2.1734822,2.16751,2.1530581,2.1264908,2.1775117,2.131676,2.1172416,2.0823419,2.1017044,2.056906,2.0318766,2.0503194,2.0785184,2.0864124,2.0680809,2.0444393,2.0059252,1.937114,1.9557859,2.0169773,2.0012908,1.9106619,1.9510884,1.9545728
2.2132421,2.2109179,2.1963661,2.1747894,2.170188,2.151325,2.1522169,2.1409793,2.1266849,2.1104159,2.0956635,2.1004717,2.0695477,2.1129515,2.0679677,2.0903802,2.0457497,2.024318,2.0372465,2.0061369,2.0211647,2.0077686,2.0055358,1.9703616
2.4929955,2.4815814,2.468617,2.4621687,2.4417505,2.4544387,2.4285767,2.4256561,2.392683,2.3981941,2.4362195,2.3605924,2.411581,2.2852645,2.404108,2.3079834,2.2951849,2.2478628,2.3087354,2.2500632,2.2520688,2.1883972,2.2538228,2.2484875
2.7150621,2.6975555,2.7217927,2.6713789,2.6040308,2.6552775,2.6716137,2.6260052,2.6279333,2.5773442,2.6114476,2.5544701,2.5026355,2.5922003,2.5332181,2.5335708,2.4753149,2.505847,2.46297,2.4033101,2.4833424,2.423542,2.4268289,2.3929698
