se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
7.8044038,7.8078618,7.7617631,7.7495484,7.720799,7.6058569,7.6640201,7.5810633,7.5541162,7.6347036,7.4932547,7.5210814,7.4693699,7.4989724,7.3146105,7.4431186,7.3619881,7.4208484,7.4677706,7.4094267,7.180788,7.2034855,7.2427335,7.3578005
6.6976681,6.6513195,6.595335,6.6601243,6.6485438,6.5298467,6.5977411,6.5008507,6.4933286,6.5385847,6.4520779,6.3499775,6.3271437,6.4601865,6.41574,6.3641129,6.2898769,6.3507576,6.3818088,6.2327261,6.2686129,6.2161055,6.3076754,6.2059321
4.2062325,4.2143035,4.2141013,4.1672144,4.0743003,4.1410294,4.1373076,4.1178041,4.1913733,4.1238613,4.1672158,3.9779873,3.90605,4.0757108,3.9203973,4.1172848,3.985462,3.8952165,3.917151,3.8806467,3.9214256,3.8878872,3.8363364,3.8340631
7.1239018,7.0728788,7.067811,7.0661826,7.0573797,6.9471807,6.9948778,6.8703742,6.9386678,6.8344889,6.9188404,6.8525333,6.7282124,6.7945266,6.7022986,6.6997824,6.6488051,6.6233587,6.5838351,6.6494074,6.5447764,6.5380745,6.4494624,6.423553
5.7995925,5.7729645,5.7186823,5.7253852,5.738327,5.6772919,5.6526651,5.7600503,5.6494484,5.6262603,5.6279135,5.5768552,5.5412741,5.5532455,5.4715447,5.5980959,5.4443026,5.4748087,5.4590516,5.3174777,5.3272738,5.4950562,5.4082775,5.328084
5.6278305,5.6183996,5.6091046,5.5949821,5.5007873,5.5099554,5.6280718,5.523654,5.4945188,5.5396118,5.5255976,5.4000225,5.3349705,5.2914743,5.3119226,5.3994913,5.4329643,5.2835407,5.395081,5.1732306,5.3966703,5.4116721,5.1996655,5.2794399
7.6169767,7.5434003,7.5735869,7.5681849,7.4928937,7.4511585,7.4845605,7.2954278,7.3880057,7.3848672,7.2440944,7.381978,7.4469953,7.2588491,7.2515407,7.2646627,7.274713,7.2533998,7.1187086,7.2234926,6.9668303,6.9965968,7.1873169,7.009757
10.390275,10.371339,10.314647,10.321495,10.112368,10.172791,10.089643,10.091651,10.006559,10.044371,10.00209,9.9713697,10.00596,9.7964954,9.7941246,9.8420248,9.8711634,9.6453981,9.7395658,9.7653751,9.775115,9.4825583,9.4599876,9.5254889
6.6069455,6.5839725,6.5576801,6.5568042,6.4532275,6.4353352,6.4711046,6.4440942,6.4101334,6.3904796,6.3608508,6.3695903,6.2464409,6.2297068,6.2508216,6.2457509,6.0283251,6.2518759,6.2801552,6.1286201,6.039979,6.0139008,6.032567,6.0099177
6.681314,6.6703963,6.5677567,6.5029826,6.54281,6.5792904,6.5287709,6.5147066,6.5553331,6.4980578,6.5253453,6.554647,6.4350877,6.2937407,6.2610416,6.1513615,6.3200626,6.2666378,6.1406884,6.3097787,6.272429,6.2547631,6.0777912,6.3413577
