se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.3912458,1.3834461,1.3688358,1.3810322,1.3757088,1.3427825,1.3451239,1.3448484,1.3292181,1.3557343,1.3207402,1.3171951,1.3586342,1.3092519,1.2864518,1.304633,1.3014491,1.290047,1.2925792,1.2801481,1.2779377,1.2872233,1.2757121,1.3599641
1.3317927,1.3337294,1.3156377,1.322812,1.2982379,1.2995343,1.2697474,1.2536684,1.2899646,1.2972944,1.2362853,1.2768945,1.2934467,1.243511,1.2867818,1.2352524,1.2373333,1.2299519,1.2469723,1.2368922,1.1742536,1.2635003,1.2233115,1.2165819
1.4815638,1.4780324,1.4677026,1.4594254,1.452109,1.4472712,1.4289079,1.4301329,1.4113574,1.4068649,1.4183898,1.3948829,1.398536,1.3891805,1.3801081,1.3905456,1.3511666,1.3821967,1.3759701,1.3697212,1.3316458,1.3044904,1.3128182,1.319811
1.2220434,1.1988057,1.2222154,1.2298722,1.1947628,1.1902128,1.1683575,1.1183476,1.182735,1.1560247,1.1713758,1.2013642,1.1156191,1.2053133,1.0956929,1.1219518,1.1201972,1.1203548,1.0552107,1.1309814,1.1598409,1.0359117,1.1220891,1.0877874
1.0682454,1.0659931,1.0480334,1.0193496,1.0553347,1.0217249,1.0235279,1.0507272,1.0122522,1.030123,1.0641261,1.019045,.96833825,.97414309,1.0269222,.96223491,.9754343,.9555918,.93779588,.96343797,.95205116,.93921739,.89703655,.90709794
1.0406339,1.0286343,1.0212756,1.0369241,1.0453534,1.0195967,1.0340821,1.0275314,.99348897,1.0212715,.9747746,.97731286,.99117768,.9538694,.99867404,1.0096822,1.0480978,1.0077089,.89608496,.97184473,.99249989,.95243204,.89313012,1.0558312
1.5395875,1.5301206,1.5227467,1.5114976,1.5300287,1.5118706,1.5061297,1.4980857,1.4762793,1.5055138,1.4657475,1.4521863,1.4316102,1.4229506,1.4848007,1.4614183,1.4915984,1.4181318,1.4536537,1.3947945,1.4422115,1.3872581,1.3775322,1.3869426
2.8748791,2.8596578,2.8518054,2.8221977,2.8136234,2.8145401,2.8022809,2.7819011,2.7348616,2.7281535,2.7244534,2.7223728,2.698194,2.6872909,2.6883984,2.7058179,2.6229455,2.6494813,2.6369226,2.654238,2.6096289,2.5890405,2.5605998,2.5549433
1.0276997,1.0179532,1.0058155,.99141842,1.0155554,1.0244236,.98979986,1.0738537,.99595106,.99543685,1.0162089,.97867185,.95366192,.98399782,.89345533,.97643524,.94789129,.95296395,.94899774,.91367185,.95100379,.96767372,.96823746,.96413565
1.5599937,1.5670356,1.544377,1.5139635,1.5143182,1.5098658,1.5177352,1.4976829,1.5072932,1.4782556,1.4701666,1.4749832,1.4654316,1.4515482,1.4664701,1.4341564,1.422459,1.4528154,1.3959715,1.4359462,1.4052991,1.4488128,1.4127454,1.4257259
1.1441091,1.1271493,1.1092796,1.1235609,1.159723,1.1173078,1.1202074,1.1232368,1.1108868,1.0961205,1.066195,1.0663263,1.0359523,1.0445073,1.0473115,1.1254537,1.0703006,1.0709652,1.0583291,1.0682399,1.0524863,1.0479647,.97454506,1.0420223
1.3989775,1.3894271,1.3826736,1.3652486,1.375993,1.3624823,1.3727752,1.3696641,1.3415954,1.3107727,1.3370321,1.3209821,1.3096015,1.3256494,1.274794,1.2947904,1.3003956,1.2840685,1.2762632,1.3239763,1.3058895,1.2733812,1.2769822,1.2789809
1.4045013,1.4065403,1.3822337,1.3663791,1.4016113,1.3824428,1.3755527,1.3786397,1.3331409,1.353377,1.3400322,1.3703395,1.3667483,1.3350693,1.3225943,1.3042799,1.3228703,1.2768607,1.245971,1.2794904,1.2749336,1.2937905,1.2662798,1.2953739
1.0286517,1.0352894,1.0206674,1.0359482,1.0011411,.99387187,.97951913,1.0137821,1.0116147,.97746903,.98093462,.94307631,.97676808,.93203592,.99342895,.96588904,1.0025884,.9583087,.95261121,.96400064,.91577727,.97198004,.93103659,.94153488
1.273001,1.262134,1.2696842,1.2680669,1.2569106,1.2499164,1.2410305,1.263255,1.2061639,1.2812623,1.1595396,1.2135161,1.2375323,1.2257726,1.2003103,1.1969132,1.2393793,1.1455359,1.2264924,1.2238985,1.1300964,1.2438238,1.1143842,1.14451
1.921314,1.908614,1.9149716,1.8863753,1.8580596,1.8801651,1.8608124,1.8521494,1.8266674,1.8546137,1.811916,1.8197498,1.8173381,1.821388,1.8145137,1.795525,1.7851156,1.7838793,1.7928245,1.7761828,1.74454,1.7168175,1.7944911,1.7471186
1.4842509,1.4720497,1.4589272,1.467676,1.4453467,1.4588239,1.411678,1.4464803,1.4112757,1.4315172,1.4291215,1.4098524,1.4266391,1.434884,1.351037,1.3603123,1.3927835,1.3333063,1.3813492,1.329849,1.3522439,1.3176764,1.3200148,1.4395711
1.4639134,1.4593863,1.4372764,1.445659,1.4556906,1.4419832,1.4289316,1.4181596,1.4115964,1.3919263,1.3846849,1.3923371,1.3877436,1.4131037,1.3601288,1.3753902,1.3677582,1.3505368,1.3229055,1.3132203,1.326421,1.3409311,1.3284129,1.3274395
.88860679,.89340889,.89838785,.8619312,.86563826,.86965442,.88111001,.82195437,.87065321,.88001519,.85291368,.828991,.8376767,.84064978,.87109506,.86301053,.82998806,.83666044,.80271184,.79098916,.85396373,.76489496,.77258384,.88875598
1.2184275,1.2103878,1.1948197,1.18756,1.1886717,1.2174826,1.1995128,1.193204,1.1713502,1.1689035,1.1642532,1.1624943,1.1531619,1.1589425,1.1898214,1.1010797,1.1494125,1.1015438,1.0790792,1.1343914,1.1107937,1.1260728,1.0562099,1.0517635
1.2958095,1.2969335,1.2546582,1.296453,1.2815776,1.2583643,1.274192,1.2535127,1.1970048,1.1972358,1.224524,1.2236151,1.240617,1.2138588,1.2686484,1.2018272,1.1906546,1.159176,1.1821827,1.2029151,1.1501135,1.1864276,1.1746264,1.1753387
1.2212704,1.21529,1.2124242,1.2083249,1.191373,1.1862897,1.2247201,1.1576074,1.1545545,1.1681575,1.178759,1.1658272,1.2201049,1.1798275,1.1317219,1.1312641,1.0844051,1.0970478,1.0822357,1.0905972,1.1472982,1.115407,1.0569438,1.1119566
1.6290511,1.6188154,1.6181543,1.5956985,1.6043795,1.6018935,1.5720711,1.5710311,1.5913266,1.549729,1.5383999,1.5353204,1.5903379,1.5649168,1.5638433,1.5681614,1.5364872,1.5395486,1.4922931,1.4559271,1.4741607,1.4848818,1.5317107,1.4759285
1.4184607,1.425815,1.4011947,1.4041131,1.389209,1.3649698,1.3658108,1.3697147,1.3527977,1.3335582,1.3547729,1.3524526,1.3499403,1.3307641,1.3228816,1.3020957,1.3104883,1.3253738,1.2601371,1.3383775,1.3085021,1.3123307,1.2277886,1.2716575
1.2450339,1.2396928,1.236662,1.2124416,1.217994,1.2194291,1.215927,1.2279215,1.194858,1.2150019,1.1947671,1.2112993,1.1830939,1.1516937,1.1866603,1.1508793,1.1246754,1.1560698,1.1478356,1.1412997,1.1435114,1.1549038,1.1328555,1.0972973
1.2693747,1.2575539,1.2537774,1.2539495,1.2623159,1.2579533,1.2269226,1.2142271,1.2804643,1.2253422,1.204774,1.2256001,1.1917753,1.1857466,1.1894813,1.2021103,1.1499828,1.2081244,1.1881388,1.1480186,1.191144,1.1728555,1.2388772,1.1713655
1.9866624,1.9733332,1.9675652,1.9714649,1.9479617,1.9385209,1.9345107,1.9414148,1.9202356,1.9071553,1.929962,1.8699894,1.8553419,1.8497721,1.8680146,1.8399686,1.8602103,1.8354962,1.8218741,1.8189684,1.8047789,1.7598982,1.7614694,1.7668736
1.1773099,1.1722568,1.1678603,1.1522714,1.1397547,1.1352899,1.1507746,1.146988,1.124653,1.120257,1.1282009,1.1187658,1.1045765,1.110539,1.1210454,1.1043224,1.0904139,1.0880458,1.0955764,1.0579951,1.0690609,1.0594672,1.0682663,1.0035442
1.2673479,1.256199,1.2644945,1.2542503,1.2506704,1.2455889,1.2317911,1.2327328,1.2283663,1.2100874,1.2165841,1.2139392,1.2091234,1.1883544,1.2009761,1.1881629,1.176191,1.1647891,1.1918772,1.1634202,1.1558868,1.1650312,1.1708325,1.0986607
1.5044185,1.4876564,1.4940715,1.4906321,1.4627275,1.4407415,1.457974,1.4481988,1.4846321,1.4125861,1.4362535,1.4251075,1.3995855,1.4534001,1.3924676,1.4497331,1.407276,1.3400782,1.3687514,1.3413118,1.3459103,1.3817172,1.289077,1.3760358
1.2602032,1.2602017,1.2517352,1.2405131,1.2419329,1.2317778,1.220008,1.2124752,1.2221528,1.1863847,1.1526917,1.200443,1.2045221,1.2107246,1.1420547,1.2023976,1.1411597,1.1820588,1.1381643,1.1296459,1.1266317,1.1839377,1.1658555,1.0859751
1.1630768,1.1558853,1.1501268,1.1448863,1.1240035,1.1482784,1.1314942,1.1147631,1.1263998,1.1367084,1.0818707,1.0955623,1.0986488,1.1191779,1.0755464,1.0951612,1.0901698,1.0577182,1.0499004,1.0481514,1.1118432,1.0425284,1.0454813,1.0553076
