se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
.74366778,.73108757,.72718304,.72743249,.70919269,.72505349,.6903066,.70639318,.68399566,.66164792,.66378796,.66433811,.67166543,.6350491,.65364838,.65122503,.64136946,.64572573,.60969001,.61662501
.6651597,.66672808,.65176433,.65195298,.6306957,.62646717,.6346184,.60238308,.61563545,.57130903,.60361409,.59878534,.57276684,.60753298,.55120856,.56939352,.55342782,.57100666,.54696423,.55682319
1.1758187,1.1576154,1.1516459,1.1506361,1.1313838,1.1191617,1.087389,1.1051613,1.0955771,1.0781879,1.0251502,1.0794338,1.0515064,.99565256,1.0186777,1.0022409,.98648316,.99582779,.9695015,.89958972
.59786057,.58864325,.58592319,.57809848,.57065588,.56388307,.56711179,.56486702,.54849565,.55606139,.54351181,.5395118,.53055817,.5207479,.51994282,.49840865,.49241912,.49875468,.49268284,.48120141
.59845781,.58675003,.58209646,.58194464,.597287,.5599305,.56801814,.56154484,.55538523,.54387546,.54854304,.52649862,.5391528,.54062772,.53604221,.50253135,.49630028,.4866755,.49242613,.46371588
.59807318,.5911333,.58022398,.59027249,.59184414,.5593552,.55411261,.5691945,.55159885,.53885144,.53731,.52676404,.54004031,.52327853,.52269524,.51678032,.51306653,.4904483,.47503281,.50185341
.75380993,.75028437,.74052274,.73926747,.74973345,.71965909,.71572852,.69571882,.68542272,.70142579,.65702736,.66799283,.68792689,.66460121,.6549235,.61200333,.66064179,.66213977,.6029917,.60982436
1.0258958,1.011681,1.0070213,.99940544,.97057617,.9677555,.94576001,.96896881,.9636395,.91153693,.92482084,.91714627,.91046739,.928298,.88272274,.88440001,.87625772,.82019913,.84764355,.81174362
.69324589,.68730092,.67348838,.66920882,.67665416,.65130168,.6610145,.66254789,.65315849,.63066322,.64452839,.60176098,.60943723,.57097781,.60196066,.62640774,.57029861,.57695335,.55874586,.58753675
.51643658,.51126856,.50737596,.5159989,.50297892,.48416036,.48989233,.4755035,.45945361,.46099532,.48866025,.44499084,.43679225,.46103027,.45027578,.44905123,.44238251,.42307037,.4479652,.42351833
.57826173,.58053535,.56160718,.55761915,.55026162,.54971015,.54216433,.53953224,.54402643,.51888257,.54020119,.48986563,.51082313,.49140096,.4988142,.49984434,.48799735,.4594737,.49935827,.48713389
.57477766,.56875849,.56405711,.56389558,.55296361,.55938637,.53631026,.54252982,.53357565,.53220266,.52337134,.51459056,.51599258,.50963503,.50014114,.4856388,.48730871,.46962434,.49120551,.46046349
.50600654,.50251967,.50632054,.48831236,.48237905,.49551776,.47248214,.48458913,.47397667,.46911973,.45113826,.43750766,.45504326,.43696448,.42035565,.42138132,.43171248,.41516283,.43436745,.41251692
.79974031,.79296219,.78072715,.77909154,.77418321,.76056343,.76376462,.75689286,.72673762,.73840481,.70910072,.71204853,.71057749,.70093447,.69132036,.69117022,.66376686,.6676234,.64286268,.65490478
.6776281,.66264766,.668293,.64953399,.6421873,.64920366,.64328188,.61941922,.62517327,.6084646,.61414671,.60740769,.59406775,.58889365,.58031929,.57685924,.5785504,.59565669,.57760763,.57737738
.84983224,.84053582,.85034686,.82509214,.81306297,.79870272,.7967484,.78641069,.78039467,.75125188,.76574624,.7648468,.72710031,.7079156,.73488772,.73691612,.70621753,.683761,.69473398,.69623506
.77243453,.76505113,.76180595,.75229174,.7374112,.73884434,.73844123,.73608685,.71644169,.70182526,.69840437,.67073905,.67565638,.66964179,.67000967,.6941905,.63180768,.64209652,.65331334,.63151777
.54014885,.53844774,.52966595,.52904159,.52211946,.49841666,.50086904,.52898371,.49726236,.48737484,.47739792,.48802593,.46460345,.47695273,.46241996,.46971884,.45580986,.47226071,.46725214,.45718479
.4040595,.40065134,.39382058,.39330491,.39654809,.38240609,.38314393,.38363451,.36791968,.35184896,.36885419,.38364738,.34575266,.32903522,.35542485,.33991486,.35679126,.35349163,.35214004,.32761583
.53627485,.52961278,.53520983,.51843739,.5182302,.50468767,.52008253,.51909333,.46929076,.47751471,.46249822,.48359516,.48431817,.45943579,.46194455,.45026189,.46441692,.43517169,.45508516,.42856443
.75539982,.74947274,.74492651,.73339117,.72742128,.71354377,.71847081,.70531976,.71887249,.70117015,.69559336,.68267941,.63403499,.65010846,.63710499,.639741,.63599908,.60151672,.62321162,.61452317
.81326264,.80595392,.80650872,.79846686,.78707027,.76410836,.75854808,.76922518,.75624621,.7345925,.73123401,.73976141,.71546751,.71241361,.7048471,.70056969,.67041379,.69963551,.65983224,.64803672
.47041708,.46684441,.47272754,.45466116,.46587065,.45724547,.45157287,.42485225,.443001,.42293221,.41509107,.44000483,.39676157,.42366579,.39817366,.4263474,.42566952,.42508161,.38844499,.38964909
.54105097,.54265177,.52987546,.52780581,.52875239,.51276386,.51470947,.50684196,.50424236,.5040195,.5074088,.47358161,.49079081,.46415538,.45179337,.48455122,.46392852,.46568623,.45343938,.44475049
.77158171,.76216924,.75614989,.75011855,.73179621,.73230004,.70686036,.72345108,.7033177,.70127326,.67881453,.67309403,.67189711,.67859137,.63766712,.64805424,.6479733,.6394701,.62742716,.62551248
.48095235,.47929913,.47269744,.4737494,.46850845,.46081159,.46908134,.43486491,.41973287,.43939957,.42704552,.42231515,.44313923,.41887355,.40083221,.36989683,.3934865,.39124587,.40475115,.35587665
.5946278,.59351403,.57999873,.57723445,.58853585,.57759851,.55856639,.54596508,.545214,.55063099,.53711146,.5225535,.5067327,.52447826,.51583457,.50954229,.50977737,.49700537,.48517051,.50977534
.68896884,.68006372,.66965342,.66185051,.66111165,.67244661,.63738847,.63540381,.6428622,.62162095,.61870152,.64541596,.59220028,.58957928,.59569472,.59735632,.55150545,.5875544,.59154254,.55783594
.43865713,.43222398,.42904702,.42789805,.41881442,.41938713,.41229939,.42107067,.40900004,.40292606,.40948725,.38800451,.38582319,.39544183,.37292859,.38504243,.38613522,.3674027,.35127109,.36022654
.59841275,.59127486,.58837897,.58182973,.57296538,.56582636,.55260634,.56355506,.57059753,.53528118,.56838173,.54279929,.54646564,.53613549,.53962833,.52790558,.4994483,.48753694,.4768185,.47892103
.71613669,.70679694,.70795947,.71183664,.70028341,.68325669,.68934989,.64427853,.64858985,.67918062,.64383119,.64507437,.61624461,.59324276,.6297586,.58203286,.5774895,.58746266,.60765958,.59154779
.33995345,.33432993,.33433008,.34378803,.3362979,.33531323,.32273093,.31483376,.30629569,.32601362,.32138884,.32282302,.31217161,.30157617,.30023521,.30375186,.30002129,.28477451,.28033534,.2960937
.77359688,.77515495,.75673467,.74306506,.74880207,.740031,.71876878,.69513589,.70174021,.69136137,.71016699,.69978929,.68024862,.67501503,.68338722,.64511973,.66038817,.67850727,.61530864,.66925728
.77133358,.76349205,.76142013,.75106764,.75046325,.74015361,.73420876,.72852409,.70035464,.71561533,.70479763,.68368477,.68548357,.67767209,.66506469,.66149271,.66416872,.64189231,.63996327,.64435172
.70229554,.69566,.69053304,.67806911,.6647647,.68618912,.66405118,.64408153,.66192442,.66514915,.620601,.63866323,.62245345,.61561853,.61150813,.56705892,.5998897,.58515835,.6027903,.58795756
.63923007,.63289517,.61837989,.61640358,.61468077,.59856826,.58946383,.59114867,.59012282,.56507075,.57092577,.56614184,.56571364,.56184661,.53394163,.56508416,.55017781,.54220146,.53050023,.53667068
.70129985,.69061697,.68392557,.69017619,.67944062,.68121928,.67023861,.64978421,.64618802,.63033515,.63584965,.64423704,.60443258,.61771977,.61125386,.59053332,.6078189,.58182758,.58940703,.58810979
.55406159,.5491578,.54348427,.53372395,.5394485,.53136742,.51379836,.49369183,.50905794,.49930498,.49700895,.52107704,.50378793,.46738631,.49086562,.43406513,.45909208,.45908746,.45484063,.44405842
.91883016,.91052264,.90051788,.89232379,.88369042,.87531418,.86334544,.84313571,.84443176,.81720531,.82191694,.80759156,.80770677,.80852586,.78639698,.78720695,.75833929,.76743257,.74175447,.76337779
.51647979,.51770848,.51305294,.49379158,.49819517,.50145233,.48595676,.4789356,.47338501,.47158608,.46448091,.46965754,.4785414,.46328416,.43897876,.42901087,.43043324,.44683415,.40984288,.43190366
.76693797,.75741112,.75591147,.74271458,.72687662,.72307646,.72714353,.71971136,.70877922,.72352093,.69563735,.69324464,.68732429,.67905885,.65749222,.6514219,.6404385,.65440702,.63193578,.63533527
.51218516,.50612342,.49738312,.50383776,.49021086,.47556055,.4924469,.47895062,.48360953,.45988482,.46540886,.45789987,.44519296,.43554088,.47334629,.44152683,.43458718,.43853647,.39776662,.40849629
.82446891,.81490749,.81013554,.8006466,.80073959,.80556071,.77211118,.75349206,.74849755,.74861056,.7410633,.72383255,.72707248,.74058372,.7052294,.69431388,.69085139,.69051641,.6768949,.67264062
.59213269,.58687943,.58729804,.57154936,.56788462,.56874537,.55253798,.54510427,.56118089,.5344286,.53546757,.52916831,.52496964,.51370823,.51320499,.53078395,.49732187,.48084509,.47228593,.50310647
.75795871,.74389535,.74775928,.74279761,.73040408,.73991507,.71406358,.69144851,.698053,.68646926,.68166894,.68777448,.67261618,.65330231,.64027083,.64284241,.6465472,.63785404,.63897526,.62681347
.71999395,.71769607,.70022184,.69900113,.6894058,.67581123,.68432367,.66291922,.6617071,.67031723,.65986347,.64044946,.62432218,.62796623,.6400755,.61670625,.60835695,.63250983,.56693232,.60687661
.67678583,.66774374,.66040891,.66060507,.65501863,.64445728,.62736517,.62306285,.63818377,.61721331,.60976517,.59564191,.59799612,.58715856,.58870029,.57872111,.58351684,.57449996,.54758614,.53735691
.89919966,.88269454,.87559152,.90032095,.85036504,.88933802,.84867054,.84568071,.84761763,.84274,.81232113,.79783654,.79903603,.79280865,.74898815,.78605044,.76428223,.73836803,.73855996,.72918016
.65059787,.64891571,.63423753,.63728678,.62045354,.62738663,.61443263,.61067861,.59866214,.59645873,.58133668,.57351768,.57261825,.56513792,.54158336,.55632728,.54904169,.56951529,.51718777,.52599204
.87319887,.8683579,.86240715,.83978903,.83533305,.83362907,.81718141,.80906087,.80084676,.81204355,.79043859,.76942348,.76138198,.76391655,.76018828,.75049525,.74015778,.7204141,.71172369,.73343074
.98735052,.97738272,.96735853,.96433491,.93976337,.93753839,.93085307,.92425668,.92311072,.87394297,.89498574,.88099974,.87041938,.87233979,.86396849,.82722938,.81683618,.81113714,.79451442,.79552668
.49945366,.49163386,.48977146,.48214695,.48766324,.47689033,.47111726,.48433056,.45189807,.44811216,.44819906,.48318461,.44319418,.4386206,.44277984,.42256573,.43459675,.43025073,.40449944,.41709644
.70236939,.70144224,.68020308,.6661911,.66666335,.67061573,.65071303,.66873777,.63832247,.63802534,.64634556,.62656379,.62482047,.6098299,.59252572,.61103046,.66209763,.59121031,.55999327,.61692268
.72461033,.71314406,.71070993,.71523893,.68574458,.680911,.66354257,.66247386,.6478321,.67552221,.68008965,.65216148,.63126093,.66824865,.6514563,.59480959,.5857029,.58909643,.5982191,.59159559
.57165498,.56898236,.56136036,.55890906,.54150599,.53777993,.54524493,.54165804,.5102843,.51095259,.50662845,.53601313,.49505827,.49049371,.47822073,.48052558,.48336574,.4833138,.48576507,.47676978
.74142718,.7334165,.72613698,.72584051,.71856719,.69937128,.70614004,.69140309,.6923117,.69272667,.69981235,.661605,.65453422,.66286671,.61324632,.61592281,.60136682,.63403672,.63797843,.59885037
.56218892,.55878526,.55254537,.55008721,.53601933,.5399875,.53120661,.5335632,.51045066,.49514541,.50485617,.49725363,.49538726,.4963581,.48207942,.47320932,.45625636,.4646818,.50065255,.50788581
.48320001,.48047891,.47785547,.48018089,.46731842,.46179441,.45805097,.45004037,.45022294,.41509247,.41872728,.41944784,.43540514,.42516997,.39755064,.41838643,.40037999,.38374326,.3800157,.39498493
.48888659,.48760015,.48035413,.4755809,.47212467,.46956724,.45630971,.45286712,.44347033,.45539936,.45086217,.44477627,.452555,.42035547,.43602329,.4307,.41628876,.40205398,.4132421,.40150601
.86900151,.85614127,.85408962,.843665,.83435303,.82488483,.81614983,.8156637,.80144173,.79763722,.7887969,.7837218,.76524621,.76759422,.74724269,.73353708,.72703928,.7225101,.71915233,.68752491
.66466123,.65374643,.66062772,.65417624,.63826638,.6366806,.62835354,.60817009,.60660219,.59015006,.60690886,.61128157,.60378551,.56933451,.57121783,.56604302,.54260808,.56122988,.54335463,.54804659
.61679119,.61010838,.5997861,.59432626,.60161048,.59672707,.57919711,.57701594,.56217462,.54121929,.54305089,.56136328,.53343636,.55858094,.53440374,.50337166,.50892532,.48936349,.4602128,.51723236
.61796051,.60800874,.61204749,.60143059,.61422819,.58672595,.57747471,.58813328,.5646649,.58003008,.55353957,.54534525,.52838504,.53842378,.53266627,.52267671,.5596981,.46913069,.50574672,.45550635
.58159095,.57209235,.56919968,.56109965,.55481911,.54947573,.56647599,.5581485,.54038358,.52710813,.52490419,.51850003,.50806814,.49898338,.50759703,.5072608,.49554881,.50315243,.47881889,.46199012
.65786958,.64806032,.641473,.6376515,.62116754,.62678725,.61531651,.60890341,.6107378,.59673727,.5853532,.60861057,.59733689,.57918316,.55283839,.56627518,.54290628,.55796921,.53183436,.52740651
