se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
2.0000691,1.9810848,1.9715099,1.9483384,1.9132785,1.9129682,1.892053,1.8527403,1.8330942,1.8225269,1.7955039,1.8010831,1.7539462,1.7565656,1.7213273,1.7270221,1.6726087,1.662011,1.6268039,1.593794
1.4719315,1.4674501,1.4334531,1.4408078,1.4048367,1.4288908,1.4034437,1.3643841,1.3598964,1.338268,1.3299023,1.3118355,1.300333,1.2559988,1.2881807,1.255087,1.2209505,1.2096913,1.1816218,1.2472142
2.3373175,2.3136008,2.2957721,2.2806988,2.2519336,2.2196465,2.2157619,2.1762285,2.1546648,2.1196771,2.1274121,2.0957558,2.0353608,2.0508578,2.0306921,1.9789003,1.9336752,2.0240836,1.9510324,1.8957916
1.9605058,1.9396961,1.9158156,1.9062185,1.8875705,1.8659008,1.82989,1.8251586,1.8012238,1.7934812,1.7675084,1.7283217,1.7310356,1.7107308,1.6833981,1.6771388,1.6626159,1.6096677,1.6188616,1.5716712
1.8380196,1.8172196,1.8022093,1.7736706,1.7708054,1.758473,1.7236397,1.6994182,1.6785614,1.6802707,1.6591101,1.6241107,1.6200649,1.5724739,1.5682815,1.5642173,1.5552815,1.5149196,1.502719,1.4957452
1.3876925,1.3766669,1.3538557,1.3507792,1.31951,1.3169155,1.3029523,1.3052914,1.2675236,1.2521439,1.2364694,1.2434107,1.2301751,1.2117049,1.1956439,1.1983939,1.1713122,1.1479834,1.1350343,1.1541625
2.0212255,2.0054297,1.9829352,1.9513632,1.9764134,1.9043063,1.9077982,1.9065959,1.8838128,1.8466396,1.8506238,1.7912613,1.7629275,1.7562727,1.7262695,1.7180539,1.6794866,1.6903069,1.6527784,1.6935154
3.556145,3.5172114,3.4751878,3.4588814,3.4380481,3.3866692,3.3364608,3.3025918,3.2602997,3.2222018,3.2144988,3.2006207,3.1623356,3.1001542,3.0634997,3.0000033,2.9796431,2.9560285,2.9105456,2.8594606
2.1053576,2.0837743,2.0732188,2.0491815,1.9992808,1.993307,1.9983405,1.9511417,1.9324819,1.9078416,1.8897735,1.8908923,1.863525,1.8566855,1.778235,1.8220482,1.7756375,1.7672588,1.7751771,1.7106967
2.3358071,2.3138509,2.2893481,2.2603562,2.247416,2.2260222,2.1941545,2.147928,2.1404176,2.1197259,2.0689244,2.0591943,2.0507762,2.0236893,2.0375071,2.0382037,1.9508487,1.9371414,1.8749844,1.8832833
